市町村コード,都道府県名,市町村名,地域,施設名,年度,利用者数（人）
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2005(平成17),"53,179 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2006(平成18）,"65,237 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2007(平成19）,"55,880 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2008(平成20）,"54,876 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2009(平成21）,"54,380 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2010(平成22）,"50,936 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2011(平成23）,"49,743 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2012(平成24）,"57,722 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2013(平成25）,"50,739 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2014(平成26）,"41,112 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2015(平成27）,"52,018 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2016(平成28）,"41,905 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2017(平成29）,"44,219 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2018(平成30）,"43,562 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2019(令和1）,"27,668 "
05212,秋田県,大仙市,大曲地域,市民会館大ホール,2020(令和2）,"6,222 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2005(平成17),"22,524 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2006(平成18）,"34,505 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2007(平成19）,"30,769 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2008(平成20）,"42,651 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2009(平成21）,"38,255 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2010(平成22）,"37,164 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2011(平成23）,"28,798 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2012(平成24）,"37,511 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2013(平成25）,"39,330 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2014(平成26）,"28,550 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2015(平成27）,"26,893 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2016(平成28）,"31,135 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2017(平成29）,"23,370 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2018(平成30）,"17,565 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2019(令和1）,"17,072 "
05212,秋田県,大仙市,大曲地域,市民会館小ホール,2020(令和2）,"5,905 "
05212,秋田県,大仙市,大曲地域,女性センター,2005(平成17),"9,640 "
05212,秋田県,大仙市,大曲地域,女性センター,2006(平成18）,"10,112 "
05212,秋田県,大仙市,大曲地域,女性センター,2007(平成19）,"8,971 "
05212,秋田県,大仙市,大曲地域,女性センター,2008(平成20）,"9,438 "
05212,秋田県,大仙市,大曲地域,女性センター,2009(平成21）,"9,325 "
05212,秋田県,大仙市,大曲地域,女性センター,2010(平成22）,"8,020 "
05212,秋田県,大仙市,大曲地域,女性センター,2011(平成23）,"5,841 "
05212,秋田県,大仙市,大曲地域,女性センター,2012(平成24）,"5,127 "
05212,秋田県,大仙市,大曲地域,女性センター,2013(平成25）,"6,129 "
