９６　世帯の主な働き手の通勤時間,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,平成３０年１０月１日現在,,
住宅の所有の関係,総数,通　　　　勤　　　　時　　　　間,,,,,,,,,"平均
通勤
時間　　（分）",,
,,自宅,15分未満,15分～,30分～,45分～,60分～,90分～,120分,不詳,,,
,,住み込み,,30分未満,45分未満,60分未満,90分未満,120分未満,以上,,,,
"家計を主に支える者が
雇用者である
普通世帯総数","67,900 ",610 ,"20,350 ","31,500 ","8,900 ","2,700 ","1,910 ",380 ,430 ,"1,120 ",20.9 ,,
持ち家,"42,480 ",350 ,"10,600 ","20,550 ","6,490 ","1,980 ","1,590 ",360 ,380 ,180 ,22.4 ,,
持ち家以外,"25,420 ",260 ,"9,740 ","10,950 ","2,410 ",730 ,320 ,20 ,50 ,940 ,18.1 ,,
公営の借家,"2,540 ", 30 ,670 ,"1,330 ",400 ,70 , － , － , － , 30 ,21.2 ,,
"都市再生機構・
公社の借家", － , － , － , － , － , － , － , － , － , － , － ,,
民営借家,"18,860 ",110 ,"7,840 ","7,980 ","1,650 ",510 ,260 , － , 50 , 460 ,17.3 ,,
給与住宅,"3,260 ",90 ,"1,030 ","1,330 ",210 ,80 , 60 ,20 , － ,440 ,18.2 ,,
"同居・住宅以外
に建物に居住",770 ,30 ,200 ,310 ,160 ,70 , － , － , － , － ,22.4 ,,
資料　総務省統計局「住宅・土地統計調査報告」,,,,,,,,,,,,,
注）　標本調査であるため、個々の数値と総数は一致しない場合がある。,,,,,,,,,,,,,
,,,,,,,,,,,,,
