指定緊急避難場所一覧,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NO,施設・場所名,住所,対象とする異常な現象の種類,,,,,,,,指定避難所との重複,想定収容人数,緯度,経度
,,,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,,,,
1,旧川添小学校グラウンド,秋田県秋田市雄和椿川字長者屋敷36-1,○,○,,○,,,,,,"9,055人(2㎡あたり1人）",39.62174283,140.1591997
2,旧戸米川小学校グラウンド,秋田県秋田市雄和戸賀沢字金山沢20,○,○,,○,,,,,,"9,７45人(2㎡あたり1人）",39.57246403,140.1981036
3,旧大正寺小学校グラウンド,秋田県秋田市雄和新波字寺沢32-8,○,,,○,,,,,,"10,200人(2㎡あたり1人）",39.52639479,140.2351415
4,雄和花の森野球場,秋田県秋田市雄和石田字蟹沢39,○,,,○,,,,,,"6,920人(2㎡あたり1人）",39.59377604,140.1740793
5,雄和新波野球場,秋田県秋田市雄和新波字寺沢31-1,○,○,,○,,,,,,"5,755人(2㎡あたり1人）",39.52730923,140.2360427
6,竹の花公園,秋田県秋田市雄和新波字清水木233,○,○,,○,,,,,,"2,500人(2㎡あたり1人）",39.52599552,140.240462
7,雄和ふれあいプラザ敷地(一部）,秋田県秋田市雄和妙法字上大部46、47-2,,○,,○,,,,,,"1,269人(2㎡あたり1人）",39.59163563,140.1706908
8,秋田県農業試験場駐車場第1駐車場,秋田県秋田市雄和相川字源八沢34-1,○,○,,○,,,,,,"1,120人（2㎡あたり1人）",39.57482248,140.1944965
9,秋田県立中央公園,秋田県秋田市雄和椿川字駒坂台4-1,○,○,,○,,,,,,"38,500人（2㎡あたり1人）",39.6236222,140.208684
10,秋田なまはげ農業協同組合雄和支店駐車場,秋田県秋田市雄和石田字中大部3,,○,,○,,,,,,"2,890人（2㎡あたり1人）",39.59188975,140.1671614
11,秋田なまはげ農業協同組合大正寺資材倉庫駐車場,秋田県秋田市雄和新波字本屋敷1-1,,○,,○,,,,,,"1,000人（2㎡あたり1人）",39.53057021,140.2298285
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
