質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,919 ,15 ,49 ,79 ,131 ,134 ,205 ,183 ,108 ,217 ,195 ,412 ,493 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,484 ,11 ,31 ,35 ,76 ,70 ,108 ,102 ,44 ,104 ,100 ,204 ,273 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.7%,73.3%,63.3%,44.3%,58.0%,52.2%,52.7%,55.7%,40.7%,47.9%,51.3%,49.5%,55.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",89 ,1 ,4 ,8 ,19 ,20 ,20 ,16 ,1 ,24 ,6 ,30 ,59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.7%,6.7%,8.2%,10.1%,14.5%,14.9%,9.8%,8.7%,0.9%,11.1%,3.1%,7.3%,12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．高齢のため福祉サー
　ビス必要",77 ,0 ,0 ,1 ,3 ,5 ,10 ,20 ,33 ,19 ,43 ,62 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.4%,0.0%,0.0%,1.3%,2.3%,3.7%,4.9%,10.9%,30.6%,8.8%,22.1%,15.0%,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．障がいのため福祉
　サービス必要",45 ,0 ,0 ,4 ,7 ,1 ,8 ,14 ,10 ,17 ,15 ,32 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.9%,0.0%,0.0%,5.1%,5.3%,0.7%,3.9%,7.7%,9.3%,7.8%,7.7%,7.8%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．子育て中のため福祉
　サービス必要",44 ,0 ,3 ,27 ,10 ,3 ,1 ,0 ,0 ,1 ,0 ,1 ,43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8%,0.0%,6.1%,34.2%,7.6%,2.2%,0.5%,0.0%,0.0%,0.5%,0.0%,0.2%,8.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．病弱のため福祉サー
　ビス必要",25 ,0 ,1 ,2 ,1 ,1 ,2 ,7 ,10 ,7 ,12 ,19 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.7%,0.0%,2.0%,2.5%,0.8%,0.7%,1.0%,3.8%,9.3%,3.2%,6.2%,4.6%,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．ひとり親家庭のため
　福祉サービス必要",20 ,2 ,0 ,1 ,4 ,8 ,1 ,2 ,2 ,3 ,2 ,5 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.2%,13.3%,0.0%,1.3%,3.1%,6.0%,0.5%,1.1%,1.9%,1.4%,1.0%,1.2%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．生活が困窮している
　ため福祉サービス必要",21 ,1 ,1 ,1 ,4 ,0 ,6 ,5 ,2 ,8 ,4 ,12 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.3%,6.7%,2.0%,1.3%,3.1%,0.0%,2.9%,2.7%,1.9%,3.7%,2.1%,2.9%,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．身近に福祉サービス
　を受けている人がいる",192 ,2 ,11 ,14 ,24 ,31 ,61 ,32 ,15 ,58 ,26 ,84 ,107 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.9%,13.3%,22.4%,17.7%,18.3%,23.1%,29.8%,17.5%,13.9%,26.7%,13.3%,20.4%,21.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．その他,37 ,0 ,0 ,0 ,7 ,7 ,8 ,8 ,7 ,6 ,12 ,18 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0%,0.0%,0.0%,0.0%,5.3%,5.2%,3.9%,4.4%,6.5%,2.8%,6.2%,4.4%,3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,34 ,0 ,0 ,1 ,0 ,4 ,6 ,11 ,11 ,10 ,16 ,26 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.7%,0.0%,0.0%,1.3%,0.0%,3.0%,2.9%,6.0%,10.2%,4.6%,8.2%,6.3%,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,性別,,職業別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男性,女性,有業者,,,,,無業者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,雇われている人,会社・団体の役員,自営・家族従事者,"その他
有業者",(小計),学生,"専業
主婦","年金
生活者","その他
無業者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,365 ,541 ,366 ,19 ,54 ,22 ,461 ,24 ,101 ,294 ,18 ,437 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．関わりはない,211 ,267 ,198 ,10 ,31 ,12 ,251 ,19 ,55 ,143 ,7 ,224 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57.8%,49.4%,54.1%,52.6%,57.4%,54.5%,54.4%,79.2%,54.5%,48.6%,38.9%,51.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．福祉に関わる仕事・
　ボランティア活動",31 ,58 ,56 ,2 ,8 ,2 ,68 ,1 ,7 ,13 ,0 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
