１５２　福祉医療費受給者証の交付状況　  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,各年度末現在　単位：人,,,,,
制度別,,,平成30年度,,,令和元年度,,,２,,,,,,,
,,,総数,国保,社保,総数,国保,社保,総数,国保,社保,,,,,
総数,,,"35,768","5,945","22,327","35,057","5,785","21,784","40,884","6,080","27,433",,,,,
福祉医療　　,県,65歳以上高齢身障者,709,626,83,725,644,81,739,652,87,,,,,
,,０歳～74歳の重度身障者,"3,793","2,223","1,570","3,760","2,182","1,578","3,735","2,183","1,552",,,,,
,,未就学児,"12,414","1,108","11,306","12,045","1,000","11,045","11,671",906,"10,765",,,,,
,,小中学生,"7,873","1,010","6,863","7,619",977,"6,642","12,569","1,220","11,349",,,,,
,,母子家庭の18歳未満の児童,"2,979",906,"2,073","2,916",913,"2,003","3,086",948,"2,138",,,,,
,,父子家庭の18歳未満の児童,178,52,126,184,46,138,208,60,148,,,,,
,,"65歳以上高齢身障者
※（後期)","2,279",-,-,"2,285",-,-,"2,260",-,-,,,,,
,,"65歳以上重度身障者
※（後期)","5,217",-,-,"5,203",-,-,"5,111",-,-,,,,,
,,小計,"35,442","5,925","22,021","34,737","5,762","21,487","39,379","5,969","26,039",,,,,
,市,"２歳未満児の入通院
および未就学児入院
（未就学児所得超過分含む）",326,20,306,320,23,297,"1,505",111,"1,394",,,,,
資料　秋田市障がい福祉課,,,,,,,,,,,,,,,,
注）　１　制度別の県は「県制度活用部分」、市は「市単独制度部分」,,,,,,,,,,,,,,,,
　　　２　制度改正により令和２年度から「未就学児所得超過分」が「市単独制度部分」となった,,,,,,,,,,,,,,,,
