,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
  平成２５年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"133,325 ","321,631 ",2.41 ,905.67 ,355.1 ,,前 月 分,"133,380 ","321,764 ","151,327 ","170,437 ",,,,,
,,,,,,,増 減 数,-55 ,-133 ,-39 ,-94 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"133,325 ","321,631 ","151,288 ","170,343 ",北部地域,北部地域計,"31,810 ","80,920 ","38,081 ","42,839 ",,,,,
,,,,,,,寺      内,"3,802 ","9,266 ","4,534 ","4,732 ",,,,,
中央地域,中央地域計,"34,488 ","73,292 ","34,546 ","38,746 ",,外  旭  川,"5,077 ","12,759 ","5,933 ","6,826 ",,,,,
,大　    町,"1,476 ","2,726 ","1,214 ","1,512 ",,土崎港中央,"1,879 ","4,645 ","2,077 ","2,568 ",,,,,
,旭      北,410 ,712 ,393 ,319 ,,土崎港  東,"1,153 ","2,862 ","1,353 ","1,509 ",,,,,
,旭      南,"1,293 ","2,719 ","1,147 ","1,572 ",,土崎港  西,584 ,"1,348 ",669 ,679 ,,,,,
,川      元,979 ,"2,091 ",981 ,"1,110 ",,土崎港  南,"1,224 ","2,894 ","1,336 ","1,558 ",,,,,
,川      尻,"2,136 ","5,462 ","2,857 ","2,605 ",,土崎港  北,"2,478 ","6,031 ","2,797 ","3,234 ",,,,,
,山   　 王,"2,934 ","5,661 ","2,767 ","2,894 ",,土崎港その他,"1,274 ","3,127 ","1,541 ","1,586 ",,,,,
,高      陽,"1,032 ","1,989 ",983 ,"1,006 ",,将軍野  東,"1,539 ","3,715 ","1,707 ","2,008 ",,,,,
,保  戸  野,"2,579 ","5,580 ","2,551 ","3,029 ",,将軍野  南,"1,601 ","3,707 ","1,743 ","1,964 ",,,,,
,泉,"4,485 ","10,369 ","4,875 ","5,494 ",,将軍野その他,"1,436 ","3,625 ","1,693 ","1,932 ",,,,,
,千      秋,"2,342 ","4,540 ","2,142 ","2,398 ",,港      北,531 ,"1,280 ",606 ,674 ,,,,,
,中      通,"2,076 ","3,800 ","1,709 ","2,091 ",,飯      島,"5,940 ","16,155 ","7,734 ","8,421 ",,,,,
,南      通,"2,067 ","4,042 ","1,864 ","2,178 ",,金      足,"1,221 ","3,285 ","1,532 ","1,753 ",,,,,
,楢      山,"4,121 ","9,189 ","4,166 ","5,023 ",,下  新  城,"1,690 ","4,915 ","2,259 ","2,656 ",,,,,
,茨      島,"2,066 ","4,733 ","2,281 ","2,452 ",,上  新  城,381 ,"1,306 ",567 ,739 ,,,,,
