,,,,人　口　世　帯　表,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成21年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"133,257 ","327,149 ",2.46 ,905.67 ,361.2 ,,前 月 分,"133,294 ","327,300 ","154,510 ","172,790 ",,,,
,,,,,,,増 減 数,-37 ,-151 ,-111 ,-40 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"133,257 ","327,149 ","154,399 ","172,750 ",北部地域,北部地域計,"32,074 ","82,991 ","39,245 ","43,746 ",,,,
,,,,,,,寺      内,"3,957 ","9,715 ","4,836 ","4,879 ",,,,
中央地域,中央地域計,"34,990 ","74,875 ","35,130 ","39,745 ",,外  旭  川,"5,129 ","13,051 ","6,144 ","6,907 ",,,,
,大　    町,"1,608 ","2,907 ","1,316 ","1,591 ",,土崎港中央,"1,927 ","4,741 ","2,105 ","2,636 ",,,,
,旭      北,376 ,698 ,353 ,345 ,,土崎港  東,"1,162 ","2,948 ","1,388 ","1,560 ",,,,
,旭      南,"1,350 ","2,876 ","1,238 ","1,638 ",,土崎港  西,590 ,"1,380 ",705 ,675 ,,,,
,川      元,"1,087 ","2,175 ","1,003 ","1,172 ",,土崎港  南,"1,306 ","3,041 ","1,395 ","1,646 ",,,,
,川      尻,"2,100 ","5,537 ","2,924 ","2,613 ",,土崎港  北,"2,471 ","6,169 ","2,880 ","3,289 ",,,,
,山   　 王,"2,966 ","5,582 ","2,766 ","2,816 ",,土崎港その他,"1,234 ","3,041 ","1,514 ","1,527 ",,,,
,高      陽,"1,025 ","1,952 ",930 ,"1,022 ",,将軍野  東,"1,609 ","3,926 ","1,810 ","2,116 ",,,,
,保  戸  野,"2,715 ","5,971 ","2,686 ","3,285 ",,将軍野  南,"1,642 ","3,910 ","1,784 ","2,126 ",,,,
,泉,"4,545 ","10,525 ","4,993 ","5,532 ",,将軍野その他,"1,383 ","3,620 ","1,686 ","1,934 ",,,,
,千      秋,"2,326 ","4,590 ","2,126 ","2,464 ",,港      北,507 ,"1,285 ",619 ,666 ,,,,
,中      通,"1,900 ","3,579 ","1,590 ","1,989 ",,飯      島,"5,842 ","16,417 ","7,895 ","8,522 ",,,,
,南      通,"2,029 ","4,145 ","1,859 ","2,286 ",,金      足,"1,285 ","3,497 ","1,643 ","1,854 ",,,,
,楢      山,"4,253 ","9,643 ","4,330 ","5,313 ",,下  新  城,"1,632 ","4,821 ","2,214 ","2,607 ",,,,
,茨      島,"2,096 ","4,823 ","2,276 ","2,547 ",,上  新  城,398 ,"1,429 ",627 ,802 ,,,,
,八      橋,"4,614 ","9,872 ","4,740 ","5,132 ",河　　　辺,,"3,149 ","9,677 ","4,598 ","5,079 ",,,,
