５５　経 営 耕 地 面 積 規 模 別 農 家 （ 経 営 体 ） 数 の 推 移,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,各年２月１日現在,
年次,"経営耕地面積規模別農家（経営体数）数
（戸）（経営体）",,,,,対前回調査比（％）,,,,,構成比（％）,,,,,
,0.5ha未満,0.5以上,1.0以上,1.5以上,2.0ha以上,0.5ha未満,0.5以上,1.0以上,1.5以上,2.0ha以上,0.5ha未満,0.5以上,1.0以上,1.5以上,2.0ha以上,
,,1.0未満,1.5未満,2.0未満,,,1.0未満,1.5未満,2.0未満,,,1.0未満,1.5未満,2.0未満,,
昭和50年,"2,201 ","1,573 ","1,061 ",775 ,759 ,99.7 ,92.0 ,91.2 ,81.6 ,89.5 ,34.6 ,24.7 ,16.7 ,12.1 ,11.9 ,
55,"2,031 ","1,461 ",939 ,713 ,788 ,92.3 ,92.9 ,88.5 ,92.0 ,103.8 ,34.2 ,24.6 ,15.8 ,12.0 ,13.3 ,
60,"1,750 ","1,350 ",890 ,672 ,791 ,86.2 ,92.4 ,94.8 ,94.2 ,100.4 ,32.1 ,24.8 ,16.3 ,12.3 ,14.5 ,
平成２年,"1,543 ","1,208 ",823 ,611 ,754 ,88.2 ,89.5 ,92.5 ,90.9 ,95.3 ,31.2 ,24.4 ,16.7 ,12.4 ,15.3 ,
7,"1,301 ","1,038 ",762 ,536 ,704 ,84.3 ,85.9 ,92.6 ,87.7 ,93.4 ,30.0 ,23.9 ,17.6 ,12.3 ,16.2 ,
12,"1,082 ",891 ,654 ,493 ,689 ,83.2 ,85.8 ,85.8 ,92.0 ,97.9 ,28.4 ,23.4 ,17.2 ,12.9 ,18.1 ,
17,511 ,"1,072 ",851 ,679 ,"1,190 ",47.2 ,120.3 ,130.1 ,137.7 ,172.7 ,11.9 ,24.9 ,19.8 ,15.8 ,27.7 ,
22,317 ,788 ,707 ,564 ,"1,119 ",62.0 ,73.5 ,83.1 ,83.1 ,94.0 ,9.1 ,22.5 ,20.2 ,16.1 ,32.0 ,
27,212 ,548 ,498 ,399 ,"1,019 ",66.9 ,69.5 ,70.4 ,70.7 ,91.1 ,7.9 ,20.5 ,18.6 ,14.9 ,38.1 ,
令和２年,167 ,361 ,339 ,265 ,808 ,78.8 ,65.9 ,68.1 ,66.4 ,79.3 ,8.6 ,18.6 ,17.5 ,13.7 ,41.6 ,
資料 農林水産省「世界農林業センサス・農業センサス」、秋田県「秋田県統計書」「世界農林業センサス・農林業センサス（農林業経営体調査）」,,,,,,,,,,,,,,,,
注） １ 平成17年から経営体の概念が変わったため、平成12年までの「農家数」と捉え方が異なる。,,,,,,,,,,,,,,,,
　　 ２ 令和２年から調査対象区分が「個人経営体」に変わったため、平成17年から平成27年までの集計値と対象の捉え方が異なる。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
