,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
  平成２４年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"132,131 ","322,403 ",2.44 ,905.67 ,356.0 ,,前 月 分,"132,161 ","322,548 ","151,812 ","170,736 ",,,,,
,,,,,,,増 減 数,-30 ,-145 ,-56 ,-89 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"132,131 ","322,403 ","151,756 ","170,647 ",北部地域,北部地域計,"31,635 ","81,447 ","38,378 ","43,069 ",,,,,
,,,,,,,寺      内,"3,787 ","9,339 ","4,574 ","4,765 ",,,,,
中央地域,中央地域計,"34,144 ","73,160 ","34,446 ","38,714 ",,外  旭  川,"5,050 ","12,838 ","5,991 ","6,847 ",,,,,
,大　    町,"1,461 ","2,760 ","1,221 ","1,539 ",,土崎港中央,"1,895 ","4,708 ","2,095 ","2,613 ",,,,,
,旭      北,392 ,683 ,373 ,310 ,,土崎港  東,"1,167 ","2,882 ","1,360 ","1,522 ",,,,,
,旭      南,"1,307 ","2,763 ","1,170 ","1,593 ",,土崎港  西,586 ,"1,341 ",676 ,665 ,,,,,
,川      元,983 ,"2,115 ",986 ,"1,129 ",,土崎港  南,"1,223 ","2,917 ","1,355 ","1,562 ",,,,,
,川      尻,"2,121 ","5,479 ","2,883 ","2,596 ",,土崎港  北,"2,458 ","6,092 ","2,824 ","3,268 ",,,,,
,山   　 王,"2,838 ","5,473 ","2,655 ","2,818 ",,土崎港その他,"1,258 ","3,130 ","1,534 ","1,596 ",,,,,
,高      陽,"1,039 ","1,983 ",958 ,"1,025 ",,将軍野  東,"1,517 ","3,731 ","1,725 ","2,006 ",,,,,
,保  戸  野,"2,575 ","5,583 ","2,539 ","3,044 ",,将軍野  南,"1,589 ","3,714 ","1,751 ","1,963 ",,,,,
,泉,"4,393 ","10,305 ","4,860 ","5,445 ",,将軍野その他,"1,411 ","3,620 ","1,701 ","1,919 ",,,,,
,千      秋,"2,293 ","4,527 ","2,129 ","2,398 ",,港      北,536 ,"1,323 ",627 ,696 ,,,,,
,中      通,"2,020 ","3,733 ","1,677 ","2,056 ",,飯      島,"5,888 ","16,234 ","7,784 ","8,450 ",,,,,
,南      通,"2,097 ","4,121 ","1,930 ","2,191 ",,金      足,"1,211 ","3,295 ","1,537 ","1,758 ",,,,,
,楢      山,"4,113 ","9,252 ","4,183 ","5,069 ",,下  新  城,"1,673 ","4,932 ","2,258 ","2,674 ",,,,,
,茨      島,"2,051 ","4,744 ","2,283 ","2,461 ",,上  新  城,386 ,"1,351 ",586 ,765 ,,,,,
