,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
平成２９年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"135,591 ","313,144 ",2.31 ,906.09 ,345.6 ,,前 月 分,"135,775 ","313,506 ","147,823 ","165,683 ",,,,,
,,,,,,,増 減 数,-184 ,-362 ,-167 ,-195 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"135,591 ","313,144 ","147,656 ","165,488 ",北部地域,北部地域計,"32,101 ","78,204 ","36,897 ","41,307 ",,,,,
,,,,,,,寺      内,"3,832 ","8,991 ","4,466 ","4,525 ",,,,,
中央地域,中央地域計,"35,422 ","71,565 ","33,795 ","37,770 ",,外  旭  川,"5,244 ","12,746 ","5,979 ","6,767 ",,,,,
,大　    町,"1,559 ","2,825 ","1,263 ","1,562 ",,土崎港中央,"1,885 ","4,532 ","2,050 ","2,482 ",,,,,
,旭      北,413 ,683 ,367 ,316 ,,土崎港  東,"1,148 ","2,736 ","1,294 ","1,442 ",,,,,
,旭      南,"1,272 ","2,568 ","1,119 ","1,449 ",,土崎港  西,568 ,"1,397 ",676 ,721 ,,,,,
,川      元,"1,054 ","2,049 ",930 ,"1,119 ",,土崎港  南,"1,170 ","2,736 ","1,262 ","1,474 ",,,,,
,川      尻,"2,213 ","5,217 ","2,689 ","2,528 ",,土崎港  北,"2,469 ","5,807 ","2,698 ","3,109 ",,,,,
,山   　 王,"3,106 ","5,679 ","2,797 ","2,882 ",,土崎港その他,"1,357 ","3,073 ","1,476 ","1,597 ",,,,,
,高      陽,"1,071 ","1,917 ",945 ,972 ,,将軍野  東,"1,549 ","3,607 ","1,680 ","1,927 ",,,,,
,保  戸  野,"2,652 ","5,590 ","2,549 ","3,041 ",,将軍野  南,"1,603 ","3,501 ","1,646 ","1,855 ",,,,,
,泉,"4,575 ","10,185 ","4,804 ","5,381 ",,将軍野その他,"1,464 ","3,512 ","1,660 ","1,852 ",,,,,
,千      秋,"2,383 ","4,420 ","2,117 ","2,303 ",,港      北,548 ,"1,216 ",567 ,649 ,,,,,
,中      通,"2,239 ","3,957 ","1,785 ","2,172 ",,飯      島,"6,027 ","15,743 ","7,499 ","8,244 ",,,,,
,南      通,"2,188 ","3,875 ","1,833 ","2,042 ",,金      足,"1,203 ","3,071 ","1,441 ","1,630 ",,,,,
,楢      山,"4,018 ","8,767 ","3,989 ","4,778 ",,下  新  城,"1,659 ","4,406 ","2,023 ","2,383 ",,,,,
,茨      島,"2,163 ","4,480 ","2,143 ","2,337 ",,上  新  城,375 ,"1,130 ",480 ,650 ,,,,,
