,,理容所台帳,,令和４年１０月３１日現在,,,
No.,施設名称,施設所在地,,施設電話,確認年月日,確認番号,
71,理容室　ヘアーポイントＫⅡ,秋田市桜ガ丘二丁目４－６,,018-836-6130,4/19/88,２２５,
72,理容マツオカ,秋田市外旭川八幡田二丁目１３－１４,,018-868-5912,4/25/88,２９２,
73,ヘアーサロンシルクハット,秋田市手形字大松沢４１－１０,,,6/1/88,６７４,
74,カットサロンNOBU,秋田市桜ガ丘一丁目１５－１,,018-836-0312,7/27/88,１２３６,
75,外旭川病院理髪室,秋田市外旭川字三後田１４２,,,9/28/88,１７７３,
76,ヘアーメイクサロン赤石,秋田市中通六丁目２－２０,,018-834-1959,10/7/88,１９０８,
77,牧野理容室,秋田市豊岩豊巻字内縄尻６２－３,,,10/24/88,２０４３,
78,ヘアーサロン誠,秋田市土崎港東一丁目２－２０,,,11/29/88,２４１１,
79,ヘアーサロン近藤,秋田市豊岩小山字狐森４６－４,,,12/12/88,２５８４,
80,理容モリ,秋田市川元小川町２－３３,,018-829-5920,3/14/89,３３８９,
81,カットインフレッシュ,秋田市茨島二丁目２－３６,,,4/19/89,２３３,
82,理容所ニコニコ苑,秋田市下新城中野字琵琶沼１３８－１,,,5/2/89,３９９,
83,メンズサロン銀巴利,秋田市外旭川字八幡田１４０－１３,,018-868-1138,10/7/89,２０８７,
84,ヘアーサロンYABASE,秋田市寺内油田二丁目１－１４,,018-863-9826,12/21/89,２８６０,
85,理容エンゼル,秋田市河辺戸島オソノ９５－２,,018-882-3624,2/19/90,３３５６,
86,ヘアサロンゆわ,秋田市広面字釣瓶町１４０－３,,018-836-4143,4/11/90,１２５,
87,佐藤理容所,秋田市雄和田草川字本田５５,,018-886-2203,5/28/90,６７５,
88,ヘアーサロンゆう,秋田市泉東町１１－５,,,7/19/90,１３２７,
89,カットサロンしゃんす,秋田市広面字堤敷６２－５,,018-835-8955,11/8/90,２４６５,
90,バーバーサカモト,秋田市大町六丁目４－２６,,018-823-6663,11/28/90,２６４３,
91,ヘアーサロンシェイク,秋田市外旭川八柳三丁目１１－３,,018-868-6988,12/13/90,２８６３,
92,島田理容室,秋田市東通三丁目１１－３３,,018-832-1584,12/21/90,２９５９,
93,理容すずらん,秋田市飯島道東二丁目１５－３６,,018-846-1164,12/27/90,３００４,
94,カットハウスこんちゃん,秋田市南通築地３－１２,,,1/30/91,３２８１,
95,理容トヨシマ,秋田市大町一丁目５－４９,,018-823-5731,9/22/97,９,
96,理容室藍夢,秋田市土崎港西五丁目２６ー１,,018-846-7209,10/23/97,１２,
97,ＣｕｔＲｏｏｍ　ひまわり,秋田市新屋南浜町２－１８,,018-864-0641,11/5/97,１４,
98,Thinking hair Ｌｅ　Ｌａｒｋ,秋田市八橋鯲沼町一丁目２２－３,,018-866-8558,12/10/97,１７,
99,ざんぎり理髪店,秋田市河辺大張野字堤下１２６－５,,018-882-4495,4/28/98,６５１,
100,理容 渡部,秋田市新屋田尻沢中町２－４０,,018-828-7519,5/15/98,２,
101,スガワラ,秋田市茨島四丁目１９－８,,018-867-2305,7/22/98,５,
102,こだま理容所,秋田市金足堀内字神田１２－８,,018-873-4007,10/14/98,６,
103,鎌田理容所,秋田市将軍野向山１－２１,,018-845-3129,11/16/98,７,
104,有限会社カット イン セゾン本店,秋田市山王二丁目１０－１５,,018-864-5333,1/27/99,９,
105,ヘアーサロンさくら,秋田市土崎港相染町字浜ナシ山２－３７７,,018-847-0121,7/7/99,３,
106,おしゃれ　ｅｐｏｃｈ,秋田市保戸野通町７－７,,018-824-3061,7/30/99,４,
107,理容みちした,秋田市旭南三丁目８－６,,018-824-4322,11/8/99,６,
108,ヘアーサロン・トシオ,秋田市雄和新波字竹ノ花９０－１,,018-887-2238,12/28/99,４４１８,
109,清水理容室,秋田市飯島西袋一丁目１－１,秋田組合総合病院,018-857-3289,5/29/00,２,
110,散髪屋 えのもと,秋田市広面字樋ノ沖２２－５,,018-835-7573,1/23/01,７,
111,ヘアーサロン ワイズ,秋田市牛島西三丁目１７－９,,018-865-1880,2/7/01,８,
112,ホット スタッフ,秋田市外旭川字小谷地１１３、１１４－１,,018-869-7234,2/27/01,９,
113,ヘアーサロン　イトウ,秋田市手形字蛇野４８,,018-832-5805,4/6/01,１,
114,ｆｒｅｅ ｓｔｙｌｅ,秋田市外旭川八柳三丁目１１－６,ソードパレス１Ｆ,018-868-9228,5/11/01,５,
115,ヘアーサロンあい,秋田市土崎港中央四丁目１０－１７,,018-845-7040,5/29/01,７,
116,バーバー グリーンロード,秋田市御野場六丁目６－１,,018-839-2366,7/10/01,９,
117,カットインプラザＺ 山手台店,秋田市山手台三丁目５－１,,018-839-1400,7/31/01,１１,
118,メンズＫＯＭＡＣＨＩ（小町）,秋田市将軍野南一丁目１０－６８,,018-847-6819,11/21/01,１４,
119,サガ理容所,秋田市楢山本町２－６,,018-834-1939,3/13/02,１６,
120,ヘアーサロン　みどり,秋田市新屋松美町９－４,,018-867-2526,4/2/02,１,
121,ヘアーサロンサニー,秋田市大住三丁目２－１７,,018-832-5816,6/13/02,４,
122,ヨシダ理容室,秋田市保戸野通町６－１８,,018-862-6394,7/29/02,５,
123,カットイン・コーコ,秋田市雄和石田字中大部５０－８,,018-886-4458,8/19/02,２４５６,
124,理容ササキ,秋田市旭南二丁目６－３５,,018-864-8180,9/3/02,７,
125,ウイング,秋田市土崎港中央七丁目４－１７,,018-847-1148,9/30/02,９,
126,イトウ理容所,秋田市雄和石田字中大部５０－１８,,018-886-3084,12/25/02,４８４４,
127,カットハウスオリオン,秋田市土崎港中央一丁目２１－４３,,018-857-0545,3/20/03,１３,
128,イン東京　秋田店,秋田市中通二丁目６－８,,018-825-2827,3/28/03,１４,
129,理容アサヒ,秋田市八橋新川向４－２２,,018-823-2115,3/31/03,１５,
130,ヘア　スタジオ　ヴィヴアン,秋田市広面字碇８０－１,コーポこだま101,018-834-7706,8/5/03,４,
131,有料老人ホーム　ソフィー,秋田市将軍野向山１３－４２,,018-845-8411,8/11/03,５,
132,カット・サロン・こんどう,秋田市茨島六丁目２３－９－１,,018-862-9660,9/4/03,７,
133,ささき理容所,秋田市中通六丁目１－２４,菅兼ビル２Ｆ,018-833-8636,9/10/03,８,
134,理容　サガ,秋田市雄和田草川字山崎山１,,018-886-5370,10/31/03,３９１１,
135,ヘアーショップＡＢＥ,秋田市川元松丘町４－３０,市立秋田総合病院,018-823-4174,4/2/04,１,
136,リラーク,秋田市将軍野南一丁目８－１１,,018-846-9449,6/22/04,４,
137,長谷川理容所,秋田市新屋扇町１２－５０,（五十嵐ｱﾊﾟ-ﾄ内）,,8/7/73,４４４２,
138,理美容ごとう,秋田市上北手猿田字館の下１０９－１,,018-839-2544,11/16/73,５０,
139,中島理容所,秋田市飯島道東三丁目６－２２,,018-857-0757,4/11/74,１１,
140,石井理容所,秋田市雄和田草川字太田３７,,,5/9/74,１６,
141,Barberウノ,秋田市八橋三和町１７－１２,,018-824-1384,5/29/74,１７,
142,バーバータツオ,秋田市金足下刈字北野１０－４,,,6/26/74,２１,
143,理容カガヤ,秋田市外旭川八柳三丁目１３－９,,,7/27/74,２６,
144,理容サトウ,秋田市将軍野堰越３－７,,,9/17/74,３０,
145,加賀谷理容所,秋田市牛島東一丁目５－１６,,018-832-3343,12/9/74,３７,
146,中島理容所,秋田市上新城五十丁字杉崎３１,,,1/11/75,１,
147,理容ワタナベ,秋田市仁井田新田一丁目９－１６,,,1/14/75,２,
148,辻理容所,秋田市仁井田潟中町４－１４,,,6/2/75,１３,
149,ササキ理容所,秋田市雄和新波字本屋敷１７６－２,,,7/7/75,１９,
150,理容ジュン,秋田市仁井田福島一丁目４－１７,,018-833-4956,9/29/75,２５,
151,藤原理容所,秋田市雄和田草川字本田２４１－１５,,,11/7/75,２８,
152,秋田県警察本部理容室,秋田市山王四丁目１－５,,018-863-1111,12/15/75,２８,
153,理容室田口,秋田市茨島四丁目９－１３,,018-823-6561,2/3/76,３５,
154,フラワー理容室,秋田市浜田字滝ノ原４８－２,,,2/17/76,３６,
155,バーバー･ニュー･フレンド,秋田市仁井田新田二丁目４－１,,,3/2/76,３７,
156,理容たんぽぽ,秋田市飯島字飯島水尻３２６－１,,,3/16/76,４０,
157,秋田牛島中央理容院,秋田市牛島東三丁目４－６,,,4/22/76,２,
158,ほそかわ理容所,秋田市新藤田字高梨台４２－９,,018-832-5398,5/4/76,３,
159,鈴木理容所,秋田市八橋大沼町１１－２６,,,5/6/76,４,
160,理容サカタ,秋田市河辺戸島字本町５２－２,,018-882-2440,5/17/76,６,
161,バーバーフジ,秋田市八橋大畑二丁目１－１３,,018-823-8428,9/3/76,１７,
162,菊池理容所,秋田市新屋扇町１２－５０,,018-828-2021,10/9/76,２２,
163,Bar Ber佐藤,秋田市千秋中島町２－８,,018-833-1015,10/19/76,２５,
164,佐藤理容所,秋田市八橋本町五丁目１－１４,,018-862-1522,10/25/76,２４,
165,加藤理髪店,秋田市雄和種沢字山王堂１４５－１,,,11/19/76,２８,
166,バンビ理容所,秋田市牛島西四丁目７－３,,,1/5/77,３２,
167,理容むつ,秋田市保戸野通町７－２,,018-823-8804,1/5/77,３１,
168,石川理容室,秋田市飯島長野上町２－１５,,018-846-2280,5/7/77,５,
169,高山理容所,秋田市外旭川字前谷地３２－１３,,,5/10/77,６,
170,たわらや理容所,秋田市外旭川八柳二丁目１４－４０,,018-868-1221,6/15/77,１０,
171,理容ジュノン,秋田市牛島東四丁目６－９,,018-833-6249,6/17/77,１１,
172,三浦理容所,秋田市飯島西袋三丁目３－７,,018-845-4164,7/7/77,１３,
173,石塚理容室,秋田市添川字境内川原７２－２７,,018-835-4393,7/18/77,１５,
174,荻原理容院,秋田市下北手柳館字向田１７－３,,018-832-8565,7/25/77,１７,
175,理容吉学寺,秋田市外旭川八幡田二丁目６－１５,,018-868-1484,11/11/77,２２,
176,ヘアーサロンシライ,秋田市牛島西四丁目１０－２４,,018-839-7216,12/14/77,２５,
177,安藤理容所,秋田市土崎港南一丁目１－６９,,,3/22/78,４６,
178,大島理容所,秋田市豊岩豊巻字大日沢６１,,018-828-5383,7/8/78,１０,
179,理容アマンド,秋田市山王六丁目３－３,(共和ﾋﾞﾙ1F),018-864-5374,7/28/78,１２,
180,理容小玉,秋田市外旭川字神田４１１－９,,018-864-4616,7/28/78,１３,
181,じゅん理容院,秋田市仁井田新田二丁目１－１３,,018-839-5553,10/6/78,２５,
182,バーバーオオシマ,秋田市土崎港中央三丁目１１－３３,,018-845-1307,10/6/78,２４,
183,小林理容所,秋田市牛島東一丁目２－１８,,018-837-3090,10/28/78,２９,
184,花園理容院,秋田市将軍野東二丁目８－３９,,,11/19/78,３１,
185,ミキ理容室,秋田市御野場二丁目７－１５,,018-839-6508,1/20/79,４５,
186,理容光,秋田市保戸野桜町１０－２,,,2/27/79,４９,
187,富樫理容所,秋田市飯島鼠田四丁目６－２,,018-845-2613,5/19/79,４,
188,ヘアーカット光秀,秋田市太平寺庭字寺庭２１３－１,,018-838-2194,8/2/79,１４,
189,ヘアーサロン鈴木,秋田市添川字境内川原３－２０,,018-835-6077,9/7/79,１８,
190,アクシア,秋田市保戸野八丁１－３０,,018-864-0840,12/4/79,２８,
191,バーバーシラヤマ,秋田市仁井田福島一丁目８－２５,,018-839-3736,2/13/80,３０,
192,理容室畠山,秋田市横森二丁目１－５,,018-834-9270,3/15/80,３３,
193,フレンド,秋田市手形山崎町１１－４０,,,4/8/80,１,
194,北條理容所,秋田市飯島新町二丁目８－２６,,018-845-5493,4/25/80,３１１,
195,カットハウス四樹,秋田市泉南三丁目２２－１,(ｻｲｴ-ﾋﾞﾙ内),018-864-9486,6/17/80,１０７３,
196,理容すがわら,秋田市土崎港中央六丁目１０－３５,,018-845-4852,7/5/80,１５２７,
197,ヒバリ理容室,秋田市将軍野堰越５－２３,,018-845-4174,8/9/80,２４５２,
198,理容室いしやま,秋田市仁井田目長田一丁目５－１９,,018-839-5351,10/20/80,３６２７,
199,理容サトウ,秋田市新屋天秤野４－１８,,018-862-4377,10/24/80,３６７４,
200,理容室スダ,秋田市新屋町字関町後１９０－６４,,,4/11/81,１０１,
201,ヘアーサロンオリオン,秋田市山王中島町１３－３９,,,7/30/81,１９５９,
202,ヘアートウキョウ,秋田市寺内堂ノ沢一丁目８－４０,,,8/10/81,１９６２,
203,理容室サトウ,秋田市新屋高美町７－３２,,,8/10/81,２１５５,
204,理容室佐藤,秋田市仁井田本町二丁目１０－５,,,10/2/81,２７９４,
205,理容いしい,秋田市飯島新町一丁目１０－２１,,,10/16/81,３００２,
206,理容井上,秋田市将軍野南五丁目１１－３０,,,11/13/81,３３６４,
207,理容オオサワ,秋田市旭南一丁目１７－１４,,,11/28/81,３６５１,
208,トシ子理容,秋田市下新城中野字琵琶沼２２３－４,,,3/17/82,５２００,
209,ふなき理容室,秋田市広面字谷内佐渡１８６－１,,018-835-1365,3/17/82,５１３４,
210,理容モリカワ,秋田市大町一丁目７－１３,,018-823-6050,3/27/82,５３１４,
211,理容鎌田,秋田市太平八田字荒巻１３７－２,,018-838-2521,4/6/82,１０２,
212,理容しんどう,秋田市八橋三和町１１－１２,,,4/6/82,５５,
213,秋田県警察運転免許センター(理容),秋田市新屋南浜町１２－１,,018-863-1111,8/3/82,１９４１,
214,ゆき,秋田市八橋三和町１０－３０,,018-862-0157,8/23/82,２３４２,
215,ヘアーサロン菅原,秋田市土崎港北五丁目１－７,,018-846-0431,9/1/82,２２６６,
216,理容小野,秋田市下北手松崎字大巻１４０－５,,018-834-5597,9/16/82,２６７８,
217,ヘアーサロンスポット,秋田市仁井田蕗見町７－３８,,018-839-6997,12/10/82,３８９０,
218,理容成田,秋田市仁井田潟中町１３－１２,,,12/17/82,３９９３,
219,中村理容所,秋田市土崎港中央一丁目８－２６,,018-845-6618,2/16/83,４８７０,
220,理容あぶかわ,秋田市八橋大畑二丁目４－１３,,,3/25/83,５４６７,
221,理容室ハリュウ,秋田市南通みその町１－４,,018-835-8941,5/23/83,９０６,
222,理容サトウ,秋田市保戸野八丁１５－２０,,018-864-0193,6/2/83,１０７０,
223,竹内理容院,秋田市新屋扇町１２－６,,018-828-4239,6/3/83,１１１９,
224,カットサロン高橋,秋田市豊岩石田坂字九十田１１８－８,,018-828-0848,7/14/83,１７９０,
225,アサヒノ理容,秋田市外旭川字鳥谷場１９１,,018-868-0398,10/7/83,２８１８,
226,ヘアーサロンジャンダルム,秋田市外旭川八柳二丁目１６－１３,,018-868-0076,7/9/84,２０４９,
227,ヘアーサロン樹,秋田市広面字家ノ下９１－１,,,7/13/84,２１０９,
228,正美理容院,秋田市手形からみでん４－２５,,,7/19/84,２２５５,
229,ヘアーサロンクミ,秋田市下浜羽川字古堂１００－３,,,7/31/84,２４２４,
230,理容いとう,秋田市飯島鼠田四丁目１－５５,,,11/6/84,４０４４,
231,バーバーサロンアサヒ,秋田市楢山愛宕下４番２７号,,,11/26/84,４３５０,
232,理容川合,秋田市御野場二丁目１３－７,,,12/10/84,４６２３,
233,MATSUDOKO,秋田市川尻総社町１３－１２,,018-862-6950,12/20/84,４７３４,
234,アサヒ理容所,秋田市手形からみでん８－１９,,018-832-7935,1/16/85,４９９９,
235,ケア・チャージ・ショップ・スクエア,秋田市山王中島町２－９,,,3/14/85,６７０３,
236,理容フカイ,秋田市新屋比内町２－３,,018-828-2858,3/27/91,３８６３,
237,カットスペースSASAKI,秋田市牛島東七丁目１０－３,,018-834-6638,4/24/91,３４１,
238,バーバーキタジマ,秋田市東通観音前６－４０,,018-835-1784,4/24/91,３２６,
239,カット家めぐろ,秋田市横森四丁目７－８,,018-831-0562,6/17/91,１０５２,
240,若葉理容所,秋田市土崎港北二丁目１－６,,018-846-2241,6/17/91,１０５３,
241,バーバーショップ ミツル,秋田市新屋船場町５－８,,018-862-7307,8/27/91,１８００,
242,ヘアーショップアベ,秋田市川尻総社町１８－６,,018-862-5033,9/13/91,２０３８,
243,チョッキンハウス　シープ,秋田市飯島松根西町９－５７,,018-846-0355,10/31/91,２５３６,
244,理容タイム,秋田市新屋大川町１５－１０,,018-828-2718,5/1/92,４８３,
245,理容イーストヴィ,秋田市広面字樋ノ下３－４,,018-832-0983,6/4/92,９５０,
246,ミスターとこや,秋田市横森一丁目１６－５０,,018-832-3201,7/17/92,１５３４,
247,加藤理容所,秋田市太平黒沢字稲荷１４６－２,,018-838-2253,8/6/92,１７９３,
248,ファミリースマイル,秋田市飯島字薬師田６－３,,,8/17/92,１８８３,
249,アトリエ･トップス,秋田市御野場新町四丁目２－１０,,018-839-2486,8/31/92,２０４４,
250,ヘアーサロンみさご,秋田市飯島美砂町１－１０,,018-847-0915,10/5/92,２３９１,
251,おしゃれハウスコンパス,秋田市飯島西袋二丁目３－６,,018-847-0242,11/18/92,２９１１,
252,秋田中央交通理容室,秋田市川尻町字大川反１７０－１２７,,018-823-4411,4/5/93,３６,
253,ヘアーサロンクリエイト,秋田市御所野元町二丁目１－４,,018-826-1258,4/20/93,３２０,
254,ヘアーサロンテントク,秋田市泉釜ノ町１９－１５,,,8/24/93,２０８２,
255,理容もてぎ,秋田市土崎港中央七丁目４－４６,,018-846-1653,9/8/93,２２４８,
256,京理容院,秋田市大住一丁目７－３２,,018-835-2979,9/28/93,２４７３,
257,理容大阪,秋田市旭川新藤田東町５－４０,,018-835-5059,12/21/93,３６６９,
258,理容あいば,秋田市楢山南中町６－４５,,018-834-1746,12/21/93,３６６８,
259,理容日新,秋田市新屋栗田町１４－７,,018-828-3627,1/14/94,３９５２,
260,カット イン プラム,秋田市御野場新町二丁目８－１７,,018-839-3777,4/13/94,１３９,
261,ヘアーサロンムトウ,秋田市大町三丁目５－２８,,018-863-2835,4/15/94,１９３,
262,理容ささき,秋田市牛島東七丁目１０－３８,,018-837-1468,4/19/94,２２５,
263,メンズヘアークラブ ナオ,秋田市御野場新町四丁目１－１０,,018-829-0185,5/2/94,４２５,
264,佐藤理容店,秋田市御野場一丁目７－５,,018-839-9878,6/28/94,１２４８,
265,さつき理容所,秋田市旭川新藤田東町５－２０,,018-834-0551,8/22/94,１９７９,
266,秋田魁新報社理容室,秋田市山王臨海町１－１,,018-888-1812,10/20/94,２７７８,
267,やまはつ理容,秋田市牛島字東潟敷６２７,,018-839-7687,11/1/94,２９２５,
268,岡部理容所,秋田市河辺戸島字本町３２３,,018-882-2488,11/21/94,３１７３,
269,ヘアーメイクサロンナイスガイ,秋田市新屋朝日町４－２４,,018-823-8904,11/24/94,３２２３,
270,三浦理容所,秋田市河辺戸島字本町２４,,018-882-2307,11/28/94,３２６４,
271,藤原理容所,秋田市土崎港北一丁目１２－３１,,018-846-3831,12/12/94,３４６６,
272,理容たかや,秋田市河辺三内字野崎６４－１８,,018-883-2203,12/14/94,３５０３,
273,笑美理容室,秋田市茨島六丁目１－２,,,12/21/94,３５８６,
274,髪わざ工房越中谷＆かおそりる～む,秋田市土崎港中央三丁目３－１６,,018-845-0951,12/21/94,３５７８,
275,富士理容所,秋田市旭川南町８－１３,,018-832-8848,12/26/94,３４６８,
276,宇佐美理容所,秋田市下新城青崎字雷田１０５,,018-873-2858,2/2/95,４１０９,
277,ならや理容室,秋田市大町三丁目５－１０,,018-823-7968,2/2/95,４１１７,
278,ヤマザキ理容所,秋田市土崎港北七丁目２－７９,,018-845-4830,2/2/95,４１１１,
279,今野理容所,秋田市仁井田本町三丁目１－３４,,018-839-2704,2/6/95,４１５６,
280,ヘアーサロンカトウ,秋田市飯島松根東町４－３５,,018-845-2532,2/9/95,４２４１,
281,ヘアーサロンゆり,秋田市新屋松美ガ丘北町１８－２５,,018-824-1439,2/23/95,４４３９,
282,カットスタジオアルファ,秋田市楢山南中町２－３,,018-834-7015,3/3/95,４５５９,
283,堀川理容院,秋田市豊岩石田坂字九十田１７２－５,,018-828-5511,3/10/95,４６９３,
284,池田理容所,秋田市豊岩豊巻字上野１８０,,018-828-5071,3/10/95,４６９４,
285,保坂理容所,秋田市上北手荒巻字前田６０,,018-839-2541,3/14/95,４７４３,
286,みうら理容室,秋田市楢山城南町１－８４,,018-834-2552,3/15/95,４７７０,
287,理容ささき,秋田市新屋栗田町１３－２６,,018-828-2631,3/20/95,４７７８,
288,理容やまて,秋田市仁井田蕗見町７－４５,,018-839-1366,3/28/95,４９６６,
289,理容めじろ,秋田市旭川新藤田東町６－３５,,018-832-3663,4/14/95,１５７,
290,有限会社ちょっきん館,秋田市大町二丁目４－２７,,018-862-6706,5/22/95,８０５,
291,ヘアーサロンワカマツ,秋田市川元松丘町５－３０,,018-824-0645,6/7/95,１０７２,
292,理容フラワー,秋田市大住三丁目１－４０,,018-837-6378,7/26/95,１９０３,
293,カットハウス　ヒロ,秋田市新屋沖田町１２－９,,018-828-5744,9/22/95,２８０３,
294,カット イン スズミ,秋田市旭南三丁目１－８,ｱｰﾊﾞﾝﾃｨ旭南,018-864-3007,10/6/95,２９９５,
295,理容アオゾラ,秋田市泉三嶽根９－６,,018-868-6215,11/9/95,３５５７,
296,ヘアーステーション１０５８,秋田市牛島字東潟敷５４１－１,,018-829-1058,11/30/95,３８６６,
297,ヘアーサロンほっと,秋田市土崎港北二丁目２３－２１,,018-846-6356,12/21/95,４２２７,
298,川口床屋,秋田市大町六丁目３－４１,,018-824-1935,1/24/96,４６０９,
299,ヘア－スタジオＫ’ｓ,秋田市新屋松美ガ丘南町２０－６,,018-864-0187,7/19/96,１９０３,
300,理容室遊心苑,秋田市添川字境内川原１９６－１,,018-831-3666,7/31/96,２０８５,
