１３２　新 生 児 の 死 亡 者 数,,,,,,
,,,,,,
,,,,,,各年間　単位：人
年次,新生児死亡者数,,,出生児数,"新生児死亡率
(出生1,000人対)",
,,,,,,
,総数,男,女,,市,国
平成23年, 1 , 1 , － ,"2,265 ",0.4 ,1.1 
24, 1 , 1 , － ,"2,282 ",0.4 ,1.0 
25, － , － , － ,"2,221 ",0.0 ,1.0 
26, － , － , － ,"2,291 ",0.0 ,0.9 
27, － , － , － ,"2,130 ", － ,0.9 
28, 3 , 1 , 2 ,"2,082 ", 1.4 ,0.9 
29, 5 , 4 , 1 ,"1,987 ",2.5 ,0.9 
30, 2 , － , 2 ,"1,911 ",1.0 ,0.9 
令和元年, 2 , 1 , 1 ,"1,793 ",1.1 ,0.9 
２, 1 , 1 , － ,"1,752 ",0.6 ,0.8 
資料　秋田市保健総務課（人口動態調査）,,,,,,
　注）新生児死亡率＝,,１年間の生後４週未満の死亡数,,,"× 1,000",
,,１年間の出生数,,,,
