,,,,人　口　世　帯　表,,,,,,,,,,,
  平成１７年１月１日現在        ,,,,,,,,,　　　　　,秋田市情報政策課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"127,860 ","318,226 ",2.49 ,460.10 ,691.6 ,,前 月 分,"127,786 ","318,173 ","151,526 ","166,647 ",,,,
,,,,,,,増 減 数,74 ,53 ,33 ,20 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"127,860 ","318,226 ","151,559 ","166,667 ",北　部　地 域,北部地域計,"32,134 ","86,130 ","40,973 ","45,157 ",,,,
,,,,,,,寺      内,"4,092 ","10,036 ","5,021 ","5,015 ",,,,
中　央　地　域,中央地域計,"35,665 ","78,041 ","36,840 ","41,201 ",,外  旭  川,"5,036 ","13,404 ","6,393 ","7,011 ",,,,
,大　    町,"1,738 ","3,403 ","1,437 ","1,966 ",,土崎港中央,"2,054 ","5,075 ","2,256 ","2,819 ",,,,
,旭      北,331 ,696 ,328 ,368 ,,土崎港  東,"1,114 ","2,919 ","1,362 ","1,557 ",,,,
,旭      南,"1,364 ","2,949 ","1,292 ","1,657 ",,土崎港  西,561 ,"1,385 ",685 ,700 ,,,,
,川      元,"1,137 ","2,335 ","1,072 ","1,263 ",,土崎港  南,"1,378 ","3,343 ","1,540 ","1,803 ",,,,
,川      尻,"2,181 ","5,530 ","2,840 ","2,690 ",,土崎港  北,"2,459 ","6,408 ","2,987 ","3,421 ",,,,
,山   　 王,"2,795 ","5,275 ","2,670 ","2,605 ",,土崎港その他,"1,172 ","2,980 ","1,480 ","1,500 ",,,,
,高      陽,"1,110 ","2,125 ","1,026 ","1,099 ",,将軍野  東,"1,560 ","3,937 ","1,836 ","2,101 ",,,,
,保  戸  野,"2,752 ","6,174 ","2,829 ","3,345 ",,将軍野  南,"1,792 ","4,369 ","2,036 ","2,333 ",,,,
,泉,"4,504 ","10,512 ","5,006 ","5,506 ",,将軍野その他,"1,385 ","3,716 ","1,790 ","1,926 ",,,,
,千      秋,"2,244 ","4,590 ","2,153 ","2,437 ",,港      北,543 ,"1,362 ",660 ,702 ,,,,
,中      通,"1,723 ","3,293 ","1,436 ","1,857 ",,飯      島,"5,793 ","16,972 ","8,201 ","8,771 ",,,,
,南      通,"2,256 ","4,633 ","2,141 ","2,492 ",,金      足,"1,270 ","3,817 ","1,801 ","2,016 ",,,,
,楢      山,"4,749 ","11,067 ","5,060 ","6,007 ",,下  新  城,"1,508 ","4,822 ","2,223 ","2,599 ",,,,
,茨      島,"2,113 ","5,051 ","2,486 ","2,565 ",,上  新  城,417 ,"1,585 ",702 ,883 ,,,,
,八      橋,"4,668 ","10,408 ","5,064 ","5,344 ",,,,,,,,,,
東　部　地　域,東部地域計,"28,969 ","66,793 ","32,463 ","34,330 ",,○　前月人口増減の内訳,,,,,,,,
,東      通,"3,472 ","6,656 ","3,237 ","3,419 ",,,計,男,女,,,,,
,手      形,"2,432 ","4,553 ","2,369 ","2,184 ",,転    入,588 ,296 ,292 ,,,,,
,手 形（字）,"3,292 ","6,355 ","3,258 ","3,097 ",,転    出,531 ,249 ,282 ,,,,,
,手  形  山,909 ,"2,269 ","1,039 ","1,230 ",,出    生,205 ,100 ,105 ,,,,,
,泉（旭 川）,"1,257 ","3,101 ","1,431 ","1,670 ",,死    亡,209 ,114 ,95 ,,,,,
,旭      川,966 ,"2,439 ","1,150 ","1,289 ",,社会動態,57 ,47 ,10 ,,,,,
,新  藤  田,479 ,"1,298 ",576 ,722 ,,自然動態,-4 ,-14 ,10 ,,,,,
,濁      川,681 ,"1,847 ",904 ,943 ,,増 減 計,53 ,33 ,20 ,,,,,
,添      川,750 ,"2,390 ","1,072 ","1,318 ",,,,,,,,,,
,山      内,103 ,444 ,194 ,250 ,,○　平成１６年１月１日からの累計,,,,,,,,
,仁      別,65 ,196 ,85 ,111 ,,,計,男,女,,,,,
,広      面,"6,887 ","14,226 ","7,040 ","7,186 ",,転    入,"11,996 ","6,454 ","5,542 ",,,,,
,柳      田,639 ,"1,841 ",831 ,"1,010 ",,転    出,"12,028 ","6,487 ","5,541 ",,,,,
,横      森,"1,874 ","4,533 ","2,216 ","2,317 ",,出    生,"2,565 ","1,334 ","1,231 ",,,,,
,桜,"1,673 ","3,589 ","1,785 ","1,804 ",,死    亡,"2,532 ","1,332 ","1,200 ",,,,,
,桜  ガ  丘,772 ,"2,334 ","1,104 ","1,230 ",,社会動態,-32 ,-33 ,1 ,,,,,
,桜　　　台,227 ,804 ,389 ,415 ,,自然動態,33 ,2 ,31 ,,,,,
,大  平  台,352 ,"1,205 ",584 ,621 ,,増 減 計,1 ,-31 ,32 ,,,,,
,下  北  手,"1,269 ","3,797 ","1,852 ","1,945 ",,,,,,,,,,
,太      平,870 ,"2,916 ","1,347 ","1,569 ",,○　平成１２年１０月１日からの累計,,,,,,,,
西部地域,西部地域計,"13,327 ","37,270 ","17,682 ","19,588 ",,,計,男,女,,,,,
,新      屋,"5,738 ","15,357 ","7,219 ","8,138 ",,転    入,"51,861 ","27,974 ","23,887 ",,,,,
,勝      平,"5,335 ","14,132 ","6,891 ","7,241 ",,転    出,"52,330 ","28,461 ","23,869 ",,,,,
,浜      田,806 ,"2,987 ","1,344 ","1,643 ",,出    生,"11,249 ","5,694 ","5,555 ",,,,,
,豊      岩,611 ,"2,208 ","1,016 ","1,192 ",,死    亡,"10,179 ","5,566 ","4,613 ",,,,,
,下      浜,837 ,"2,586 ","1,212 ","1,374 ",,社会動態,-469 ,-487 ,18 ,,,,,
南部地域,南部地域計,"17,765 ","49,992 ","23,601 ","26,391 ",,自然動態,"1,070 ",128 ,942 ,,,,,
,牛  島  東,"2,250 ","5,574 ","2,596 ","2,978 ",,増 減 計,601 ,-359 ,960 ,,,,,
,牛  島  西,"2,183 ","6,003 ","2,839 ","3,164 ",,,,,,,,,,
,牛  島  南,498 ,"1,538 ",754 ,784 ,,※この表は、平成１２年１０月１日現在で,,,,,,,,
,卸      町,314 ,731 ,360 ,371 ,,実施された国勢調査（確定値）結果を基礎に,,,,,,,,
,大      住,"1,291 ","3,199 ","1,527 ","1,672 ",,毎月の住民基本台帳および外国人登録の異動,,,,,,,,
,仁  井  田,"5,355 ","14,194 ","6,793 ","7,401 ",,状況等を基に推計したものです。,,,,,,,,
,御  野  場,"2,633 ","8,144 ","3,794 ","4,350 ",,,,,,,,,,
,御  所  野,"1,901 ","6,030 ","2,835 ","3,195 ",,,,,,,,,,
,四 ツ 小 屋,649 ,"1,917 ",892 ,"1,025 ",,,,,,,,,,
,上  北  手,456 ,"1,908 ",841 ,"1,067 ",,,,,,,,,,
,山　手　台,235 ,754 ,370 ,384 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
