,,,,人　口　世　帯　表,,,,,,,,,,,
  平成１３年１月１日現在        ,,,,,,,,,　　　　　,秋田市企画調整課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"123,226 ","317,868 ",2.58 ,460.10 ,690.9 ,,前 月 分,"123,171 ","317,817 ","152,030 ","165,787 ",,,,
,,,,,,,増 減 数,55 ,51 ,-42 ,93 ,,,,
○　地域別人口世帯表,,,,,,,,,,,,,,,
地  域  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  域  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"123,226 ","317,868 ","151,988 ","165,880 ",北　部　地　域,北部地域計,"30,741 ","86,622 ","41,365 ","45,257 ",,,,
,,,,,,,寺      内,"3,886 ","10,200 ","5,149 ","5,051 ",,,,
中　央　地　域,中央地域計,"35,229 ","79,273 ","37,574 ","41,699 ",,外  旭  川,"4,775 ","13,364 ","6,405 ","6,959 ",,,,
,大　    町,"1,732 ","3,418 ","1,488 ","1,930 ",,土崎港中央,"2,036 ","5,338 ","2,387 ","2,951 ",,,,
,旭      北,362 ,799 ,372 ,427 ,,土崎港  東,"1,099 ","2,933 ","1,393 ","1,540 ",,,,
,旭      南,"1,417 ","3,196 ","1,429 ","1,767 ",,土崎港  西,577 ,"1,454 ",702 ,752 ,,,,
,川      元,"1,132 ","2,375 ","1,089 ","1,286 ",,土崎港  南,"1,383 ","3,500 ","1,601 ","1,899 ",,,,
,川      尻,"2,263 ","5,772 ","2,993 ","2,779 ",,土崎港  北,"2,313 ","6,297 ","2,962 ","3,335 ",,,,
,山   　 王,"2,661 ","5,087 ","2,583 ","2,504 ",,土崎港その他,"1,087 ","2,907 ","1,453 ","1,454 ",,,,
,高      陽,"1,154 ","2,248 ","1,086 ","1,162 ",,将軍野  東,"1,492 ","3,911 ","1,808 ","2,103 ",,,,
,保  戸  野,"2,665 ","6,243 ","2,856 ","3,387 ",,将軍野  南,"1,692 ","4,189 ","1,949 ","2,240 ",,,,
,泉,"4,350 ","10,256 ","4,927 ","5,329 ",,将軍野その他,"1,290 ","3,601 ","1,760 ","1,841 ",,,,
,千      秋,"2,311 ","4,899 ","2,285 ","2,614 ",,港      北,527 ,"1,379 ",652 ,727 ,,,,
,中      通,"1,489 ","2,874 ","1,224 ","1,650 ",,飯      島,"5,563 ","17,084 ","8,299 ","8,785 ",,,,
,南      通,"2,266 ","4,809 ","2,200 ","2,609 ",,金      足,"1,246 ","3,957 ","1,875 ","2,082 ",,,,
,楢      山,"4,656 ","11,172 ","5,110 ","6,062 ",,下  新  城,"1,371 ","4,829 ","2,211 ","2,618 ",,,,
,茨      島,"2,173 ","5,475 ","2,711 ","2,764 ",,上  新  城,404 ,"1,679 ",759 ,920 ,,,,
,八      橋,"4,598 ","10,650 ","5,221 ","5,429 ",,,,,,,,,,
東　部　地　域,東部地域計,"27,947 ","66,091 ","32,378 ","33,713 ",,○　前月人口増減の内訳,,,,,,,,
,東      通,"3,480 ","6,874 ","3,344 ","3,530 ",,,計,男,女,,,,,
,手      形,"2,510 ","4,839 ","2,541 ","2,298 ",,転    入,598 ,280 ,318 ,,,,,
,手 形（字）,"3,320 ","6,557 ","3,394 ","3,163 ",,転    出,580 ,321 ,259 ,,,,,
,手  形  山,842 ,"2,233 ","1,031 ","1,202 ",,出    生,245 ,121 ,124 ,,,,,
,泉（旭 川）,"1,199 ","3,082 ","1,448 ","1,634 ",,死    亡,212 ,122 ,90 ,,,,,
,旭      川,947 ,"2,491 ","1,155 ","1,336 ",,社会動態,18 ,-41 ,59 ,,,,,
,新  藤  田,498 ,"1,375 ",602 ,773 ,,自然動態,33 ,-1 ,34 ,,,,,
,濁      川,663 ,"1,932 ",933 ,999 ,,増 減 計,51 ,-42 ,93 ,,,,,
,添      川,636 ,"2,122 ",941 ,"1,181 ",,,,,,,,,,
,山      内,102 ,474 ,211 ,263 ,,○　平成１２年１月１日からの累計,,,,,,,,
,仁      別,62 ,202 ,95 ,107 ,,,計,男,女,,,,,
,広      面,"6,782 ","14,326 ","7,170 ","7,156 ",,転    入,"12,757 ","6,911 ","5,846 ",,,,,
,柳      田,555 ,"1,673 ",738 ,935 ,,転    出,"12,853 ","6,985 ","5,868 ",,,,,
,横      森,"1,886 ","4,680 ","2,316 ","2,364 ",,出    生,"2,733 ","1,367 ","1,366 ",,,,,
,桜,"1,686 ","3,781 ","1,916 ","1,865 ",,死    亡,"2,323 ","1,290 ","1,033 ",,,,,
,桜  ガ  丘,689 ,"2,245 ","1,069 ","1,176 ",,社会動態,-96 ,-74 ,-22 ,,,,,
,桜　　　台,88 ,328 ,155 ,173 ,,自然動態,410 ,77 ,333 ,,,,,
,下  北  手,"1,152 ","3,804 ","1,886 ","1,918 ",,増 減 計,314 ,3 ,311 ,,,,,
,太      平,850 ,"3,073 ","1,433 ","1,640 ",,,,,,,,,,
西部地域,西部地域計,"12,575 ","36,586 ","17,367 ","19,219 ",,○　平成１２年１０月１日からの累計,,,,,,,,
,新      屋,"5,354 ","14,811 ","6,984 ","7,827 ",,,計,男,女,,,,,
,勝      平,"4,997 ","13,775 ","6,731 ","7,044 ",,転    入,"2,163 ","1,118 ","1,045 ",,,,,
,浜      田,818 ,"3,091 ","1,386 ","1,705 ",,転    出,"1,966 ","1,039 ",927 ,,,,,
,豊      岩,590 ,"2,235 ","1,023 ","1,212 ",,出    生,710 ,368 ,342 ,,,,,
,下      浜,816 ,"2,674 ","1,243 ","1,431 ",,死    亡,602 ,331 ,271 ,,,,,
南部地域,南部地域計,"16,734 ","49,296 ","23,304 ","25,992 ",,社会動態,197 ,79 ,118 ,,,,,
,牛  島  東,"2,192 ","5,655 ","2,633 ","3,022 ",,自然動態,108 ,37 ,71 ,,,,,
,牛  島  西,"2,482 ","7,357 ","3,512 ","3,845 ",,増 減 計,305 ,116 ,189 ,,,,,
,卸      町,289 ,697 ,344 ,353 ,,,,,,,,,,
