２　　市　域　の　変　遷,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
編入年月日,面積(K㎡),人口(人),世　帯,備　　　　　　考,,,,,
明治22年 4月 1日,6.87 ,"29,279 ","6,598 ",市制施行,,,,,
　　　,,,,広山田村(楢山観音前､長沼､宮田､愛宕下)、,,,,,
　　38年 8月 1日,7.19 ,"29,968 ","6,735 ",寺内村（八橋一里塚）、旭川村（泉馬場､,,,,,
,,,,新堰、反町、原の町、手形山崎）編入,,,,,
　　42年12月21日,7.32 ,　　　…,　　　…,旭川村、(手形深田（現秋大敷地）)編入,,,,,
大正13年 4月 1日,11.48 ,"44,600 ","7,180 ",牛島町全域編入,,,,,
　  15年 4月 1日,14.00 ,"49,001 ","8,067 ",川尻村全域編入,,,,,
昭和 8年 3月14日,75.95 ,"55,253 ","9,521 ",旭川村全域編入,,,,,
　  16年 4月 1日,132.09 ,"98,246 ","17,626 ",土崎港町、寺内町、新屋町、広山田村編入,,,,,
,,,,太平、外旭川、飯島、下新城、上新城、,,,,,
　　29年10月 1日,428.88 ,"176,065 ","29,035 ",浜田、豊岩、仁井田、四ツ小屋、上北手、,,,,,
,,,,下北手、下浜村編入,,,,,
　　30年 1月 1日,458.92 ,"181,626 ","29,946 ",金足村編入,,,,,
1/11/05,905.67 ,"318,226 ","127,860 ",河辺町、雄和町編入,,,,,
　資料　秋田市文書法制課,,,,,,,,,
  注）　町村の編入による,,,,,,,,,
