,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
平成２７年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"134,980 ","318,367 ",2.36 ,905.67 ,351.5 ,,前 月 分,"135,014 ","318,530 ","149,790 ","168,740 ",,,,,
,,,,,,,増 減 数,-34 ,-163 ,-57 ,-106 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"134,980 ","318,367 ","149,733 ","168,634 ",北部地域,北部地域計,"32,159 ","79,859 ","37,570 ","42,289 ",,,,,
,,,,,,,寺      内,"3,835 ","9,167 ","4,504 ","4,663 ",,,,,
中央地域,中央地域計,"34,785 ","72,676 ","34,354 ","38,322 ",,外  旭  川,"5,156 ","12,765 ","5,941 ","6,824 ",,,,,
,大　    町,"1,488 ","2,678 ","1,202 ","1,476 ",,土崎港中央,"1,920 ","4,578 ","2,047 ","2,531 ",,,,,
,旭      北,415 ,711 ,403 ,308 ,,土崎港  東,"1,176 ","2,826 ","1,323 ","1,503 ",,,,,
,旭      南,"1,308 ","2,697 ","1,158 ","1,539 ",,土崎港  西,592 ,"1,331 ",658 ,673 ,,,,,
,川      元,987 ,"2,113 ",981 ,"1,132 ",,土崎港  南,"1,241 ","2,842 ","1,322 ","1,520 ",,,,,
,川      尻,"2,173 ","5,430 ","2,859 ","2,571 ",,土崎港  北,"2,517 ","5,929 ","2,752 ","3,177 ",,,,,
,山   　 王,"3,017 ","5,809 ","2,857 ","2,952 ",,土崎港その他,"1,300 ","3,110 ","1,510 ","1,600 ",,,,,
,高      陽,"1,059 ","1,975 ",986 ,989 ,,将軍野  東,"1,535 ","3,646 ","1,672 ","1,974 ",,,,,
,保  戸  野,"2,557 ","5,463 ","2,478 ","2,985 ",,将軍野  南,"1,588 ","3,614 ","1,695 ","1,919 ",,,,,
,泉,"4,518 ","10,290 ","4,862 ","5,428 ",,将軍野その他,"1,434 ","3,579 ","1,677 ","1,902 ",,,,,
,千      秋,"2,322 ","4,410 ","2,113 ","2,297 ",,港      北,543 ,"1,292 ",602 ,690 ,,,,,
,中      通,"2,111 ","3,829 ","1,704 ","2,125 ",,飯      島,"6,020 ","15,940 ","7,633 ","8,307 ",,,,,
,南      通,"2,067 ","3,965 ","1,814 ","2,151 ",,金      足,"1,214 ","3,165 ","1,483 ","1,682 ",,,,,
,楢      山,"4,090 ","9,004 ","4,078 ","4,926 ",,下  新  城,"1,710 ","4,857 ","2,229 ","2,628 ",,,,,
,茨      島,"2,095 ","4,662 ","2,247 ","2,415 ",,上  新  城,378 ,"1,218 ",522 ,696 ,,,,,
