,,,,人　口　世　帯　表,,,,,,,,,,,
  平成１５年１月１日現在        ,,,,,,,,,　　　　　,秋田市情報政策課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"125,832 ","318,836 ",2.53 ,460.10 ,693.0 ,,前 月 分,"125,849 ","318,848 ","152,110 ","166,738 ",,,,
,,,,,,,増 減 数,-17 ,-12 ,14 ,-26 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"125,832 ","318,836 ","152,124 ","166,712 ",北　部　地 域,北部地域計,"31,505 ","86,803 ","41,398 ","45,405 ",,,,
,,,,,,,寺      内,"3,962 ","10,250 ","5,166 ","5,084 ",,,,
中　央　地　域,中央地域計,"35,456 ","78,628 ","37,213 ","41,415 ",,外  旭  川,"4,951 ","13,483 ","6,445 ","7,038 ",,,,
,大　    町,"1,718 ","3,356 ","1,432 ","1,924 ",,土崎港中央,"2,035 ","5,223 ","2,333 ","2,890 ",,,,
,旭      北,343 ,738 ,347 ,391 ,,土崎港  東,"1,097 ","2,888 ","1,361 ","1,527 ",,,,
,旭      南,"1,400 ","3,063 ","1,332 ","1,731 ",,土崎港  西,574 ,"1,468 ",714 ,754 ,,,,
,川      元,"1,165 ","2,407 ","1,119 ","1,288 ",,土崎港  南,"1,381 ","3,413 ","1,565 ","1,848 ",,,,
,川      尻,"2,199 ","5,594 ","2,891 ","2,703 ",,土崎港  北,"2,345 ","6,282 ","2,966 ","3,316 ",,,,
,山   　 王,"2,716 ","5,168 ","2,638 ","2,530 ",,土崎港その他,"1,088 ","2,833 ","1,414 ","1,419 ",,,,
,高      陽,"1,132 ","2,181 ","1,039 ","1,142 ",,将軍野  東,"1,544 ","3,973 ","1,838 ","2,135 ",,,,
,保  戸  野,"2,665 ","6,139 ","2,811 ","3,328 ",,将軍野  南,"1,773 ","4,373 ","2,028 ","2,345 ",,,,
,泉,"4,425 ","10,396 ","4,971 ","5,425 ",,将軍野その他,"1,354 ","3,713 ","1,815 ","1,898 ",,,,
,千      秋,"2,288 ","4,726 ","2,207 ","2,519 ",,港      北,533 ,"1,370 ",656 ,714 ,,,,
,中      通,"1,614 ","3,083 ","1,343 ","1,740 ",,飯      島,"5,750 ","17,184 ","8,311 ","8,873 ",,,,
,南      通,"2,290 ","4,801 ","2,221 ","2,580 ",,金      足,"1,269 ","3,898 ","1,854 ","2,044 ",,,,
