１１３　電　灯 ・ 電　力　需　要　状　況,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
（１）電灯需要,,,,,,,,,,,,,,,,,,各年度
年度,契約口数,,,,,,,,,使　　　用　　　電　　　力　　　量　　（千kWｈ）,,,,,,,,
,総数,定額,従量,,,"時間帯
別電灯","低圧高
稼働
契約",臨時,"公　衆
街路灯",総使用量,定額,従量,,,"時間帯
別電灯","低圧高
稼働契約",臨時,"公　衆
街路灯"
,,,総数,Ａ・Ｂ,Ｃ,,,,,,,総　数,Ａ・Ｂ,Ｃ,,,,
平成元年度,"131,654 ","1,453 ","115,977 ","112,426 ","3,551 ",－ ,－ ,465 ,"13,759 ","354,775 ",678 ,"340,639 ","277,195 ","63,444 ",－ ,－ ,"3,116 ","10,342 "
２,"135,601 ","1,461 ","119,376 ","115,736 ","3,640 ",5 ,－ ,538 ,"14,221 ","372,691 ",689 ,"357,942 ","291,004 ","66,938 ",26 ,－ ,"3,334 ","10,700 "
３,"138,780 ","1,453 ","121,920 ","118,199 ","3,721 ",13 ,－ ,465 ,"14,929 ","393,001 ",695 ,"377,599 ","307,198 ","70,401 ",83 ,－ ,"3,415 ","11,209 "
４,"144,840 ","1,424 ","124,525 ","120,693 ","3,832 ",63 ,－ ,540 ,"18,288 ","416,045 ",693 ,"398,777 ","324,646 ","74,131 ",473 ,－ ,"3,565 ","12,537 "
５,"148,185 ","1,412 ","127,174 ","123,227 ","3,947 ",133 ,－ ,668 ,"18,798 ","436,729 ",690 ,"417,561 ","340,783 ","76,778 ","1,370 ",－ ,"4,134 ","12,974 "
６,"151,780 ","1,399 ","129,851 ","125,787 ","4,064 ",174 ,－ ,"1,036 ","19,320 ","468,794 ",728 ,"448,495 ","367,538 ","80,957 ","1,976 ",－ ,"4,133 ","13,462 "
７,"155,202 ","1,596 ","132,482 ","128,277 ","4,205 ",270 ,－ ,"1,013 ","19,841 ","487,096 ",734 ,"465,934 ","380,446 ","85,488 ","3,017 ",－ ,"3,496 ","13,915 "
８,"159,273 ","2,132 ","135,041 ","130,677 ","4,364 ",370 ,－ ,"1,209 ","20,521 ","509,832 ",920 ,"485,880 ","396,423 ","89,457 ","4,386 ",－ ,"4,154 ","14,492 "
９,"162,941 ","3,023 ","137,227 ","132,730 ","4,497 ",639 ,－ ,821 ,"21,231 ","525,892 ","1,058 ","498,149 ","406,622 ","91,527 ","7,460 ",－ ,"3,780 ","15,445 "
