市町村コード,都道府県名,市町村名,年度,総数（件）,乳幼児・小中高校生（件）,重度身心障害者_65歳未満（件）,重度身心障害者_65歳以上（件）,高齢身体障害者_65～74歳（件）,高齢身体障害者_75歳以上（件）,母子家庭（件）,父子家庭（件）,,,
05212,秋田県,大仙市,2005(平成17),"192,553","63,446","18,324","65,605","8,347","25,736","9,593","1,502",,,
05212,秋田県,大仙市,2006(平成18）,"194,981","61,545","20,500","66,458","9,450","24,887","10,607","1,534",,,
05212,秋田県,大仙市,2007(平成19）,"195,929","58,356","20,901","67,786","10,769","24,610","11,894","1,613",,,
05212,秋田県,大仙市,2008(平成20）,"242,428","97,632","28,802","63,080","10,996","25,920","14,092","1,906",,,
05212,秋田県,大仙市,2009(平成21）,"244,886","98,635","31,087","61,877","10,298","26,280","14,879","1,830",,,
05212,秋田県,大仙市,2010(平成22）,"246,590","99,041","30,892","63,789","10,050","26,934","14,121","1,763",,,
05212,秋田県,大仙市,2011(平成23）,"247,955","98,943","31,445","64,956","8,751","28,212","13,998","1,650",,,
05212,秋田県,大仙市,2012(平成24）,"251,380","101,743","31,342","64,436","8,681","29,518","14,134","1,526",,,
05212,秋田県,大仙市,2013(平成25）,"254,128","103,594","31,469","64,493","8,512","31,360","13,277","1,423",,,
05212,秋田県,大仙市,2014(平成26）,"259,282","104,624","31,626","66,319","8,953","33,329","13,024","1,407",,,
05212,秋田県,大仙市,2015(平成27）,"262,880","110,201","31,976","65,397","8,014","32,833","13,155","1,304",,,
05212,秋田県,大仙市,2016(平成28）,"272,400","120,690","30,489","65,657","7,830","33,062","13,162","1,510",,,
05212,秋田県,大仙市,2017(平成29）,"263,743","114,314","29,629","65,029","7,953","32,688","12,720","1,410",,,
05212,秋田県,大仙市,2018(平成30）,"258,943","113,541","28,397","63,000","7,727","32,710","12,140","1,428",,,
05212,秋田県,大仙市,2019(令和1）,"251,433","109,059","28,561","61,494","7,528","31,902","11,586","1,303",,,
05212,秋田県,大仙市,2020(令和2）,"228,905","94,215","27,460","59,283","7,288","30,080","9,540","1,039",,,
05212,秋田県,大仙市,2021(令和3）,"232,852","103,318","27,318","55,700","7,630","28,484","9,450","952",,,			
