６８　産業中分類別事業所数、従業者、製造品出荷額等の推移,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,"１２月３１日現在
事業所数および従業者数は翌年６月１日現在",,,,,,,,
産　業　中　分　類,平　成　29　年,,,,平　成　30　年,,,,令　和　元　年,,,,対前年比（元年/30年）,,,,
,"事業
所数",従業者数,製造品出荷額等,,"事業
所数",従業者数,製造品出荷額等,,"事業
所数",従業者数,製造品出荷額等,,事業所数,従業者数,製 造 品,,
,,,実　数,構成比,,,実　数,構成比,,,実　数,構成比,,,出荷額等,,
,,（人）,（万円）,（％）,,（人）,（万円）,（％）,,（人）,（万円）,（％）,（％）,（％）,（％）,,
合　　　　計,269 ,"10,782 ","29,146,386 ",100.0,260 ,"10,613 ","30,175,235 ",100.0,257 ,"10,807 ","28,328,051 ",100.0,△ 1.2,1.8,△ 6.1,,
,,,,,,,,,,,,,,,,,
食　　料　　品,53 ,"2,302 ","3,850,962 ",13.2,49 ,"2,249 ","3,853,459 ",12.8,51 ,"2,561 ","3,833,648 ",13.5,4.1,13.9,△ 0.5,,
飲料・たばこ・飼　料,8 ,222 ,"624,281 ",2.1,8 ,244 ,"628,696 ",2.1,8 ,238 ,"604,116 ",2.1,0.0,△ 2.5,△ 3.9,,
繊　　　　　維,13 ,478 ,"228,009 ",0.8,12 ,403 ,"215,467 ",0.7,12 ,378 ,"203,261 ",0.7,0.0,△ 6.2,△ 5.7,,
木材・木製品,18 ,682 ,"3,229,283 ",11.1,18 ,658 ,"3,292,250 ",10.9,18 ,660 ,"3,256,075 ",11.5,0.0,0.3,△ 1.1,,
家具・装備品,5 ,31 ,"41,940 ",0.1,5 ,34 ,"43,560 ",0.1,4 ,27 ,"29,559 ",0.1,△ 20.0,△ 20.6,△ 32.1,,
パルプ・紙・紙加工品,8 ,437 ,"4,140,282 ",14.2,8 ,459 ,"3,725,321 ",12.3,8 ,443 ,"3,691,191 ",13.0,0.0,△ 3.5,△ 0.9,,
印刷・同関連,21 ,488 ,"531,727 ",1.8,21 ,480 ,"527,655 ",1.7,21 ,482 ,"525,632 ",1.9,0.0,0.4,△ 0.4,,
化　　　　　学,6 ,469 ,"1,979,173 ",6.8,8 ,499 ,"2,343,063 ",7.8,8 ,510 ,"2,231,840 ",7.9,0.0,2.2,△ 4.7,,
"石 油 製 品
・石 炭 製 品",2 ,13 ,X,X,2 ,12 ,X,X,2 ,12 ,X,X,0.0,0.0,X,,
プラスチック製品,6 ,80,"354,059 ",1.2,4 ,74,"110,899 ",0.4,4 ,79 ,"142,384 ",0.5,0.0,6.8,28.4,,
ゴ　ム　製　品,2 ,20 ,X,X,2 ,19 ,X,X,1 ,15 ,X,X,△ 50.0,△ 21.1,X,,
"な め し 革・
同製品・毛皮",－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,,
窯業・土石製品,13,336,"1,305,148",4.5,12,341,"1,352,408",4.5,12 ,332 ,"1,231,284 ",4.3,0.0,△ 2.6,△ 9.0,,
鉄　　　　　鋼,7 ,440 ,"982,407 ",3.4,8 ,466 ,"1,075,135 ",3.6,8 ,455 ,"1,037,705 ",3.7,0.0,△ 2.4,△ 3.5,,
非　鉄　金　属,7 ,538 ,"3,020,534 ",10.4,8 ,578 ,"3,407,122 ",11.3,8 ,587 ,"3,225,493 ",11.4,0.0,1.6,△ 5.3,,
金　属　製　品,43 ,"1,084 ","2,928,279 ",10.0,41 ,"1,075 ","3,259,146 ",10.8,41 ,"1,070 ","3,022,030 ",10.7,0.0,△ 0.5,△ 7.3,,
はん用機械器具,2 ,80 ,X,X,1 ,57 ,X,X,2 ,97 ,X,X,100.0,70.2,X,,
生産用機械器具,19 ,403 ,"575,794 ",2.0,19 ,414 ,"645,404 ",2.1,15 ,348 ,"488,856 ",1.7,△ 21.1,△ 15.9,△ 24.3,,
業務用機械器具,7 ,410 ,"1,127,966 ",3.9,7 ,426 ,"1,282,846 ",4.3,8 ,424 ,"1,269,087 ",4.5,14.3,△ 0.5,△ 1.1,,
"電子部品・ﾃﾞﾊﾞｲｽ
・電子回路",8 ,"2,036 ","3,644,088 ",13 ,8 ,"1,903 ","3,843,666 ",12.7,8 ,"1,867 ","2,906,991 ",10.3,0.0,△ 1.9,△ 24.4,,
電気機械器具,3 ,26 ,"14,273",0.0,3 ,24 ,"14,033 ",0.0,3 ,24 ,"14,473 ",0.1,0.0,0.0,3.1,,
情報通信機械器具,2 ,41 ,X,X,2 ,39 ,X,X,2 ,42 ,X,X,0.0,7.7,X,,
輸送用機械器具,2 ,29,X,X,2 ,31,X,X,2 ,34 ,X,X,0.0,9.7,X,,
そ　　の　　他,14,137 ,"240,670 ",0.8,12,128 ,"239,550 ",0.8,11 ,122 ,"229,583 ",0.8,△ 8.3,△ 4.7,△ 4.2,,
資料　秋田市情報統計課「秋田市の工業」,,,,,,,,,,,,,,,,,
注）　対象は従業者４人以上である。　,,,,,,,,,,,,,,,,,
      平成20年から産業中分類が変更。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
