１４２　労働災害の発生状況,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,     各年間 単位：人
年次,死傷者数　           ,,,,,,,,,,,,,
,総数,,製造業,,建設業,,"運輸交通・
貨物取扱業",,林業,,商業,,"その他の
各種事業",
平成24年,(1),423,,65,(1),69,,57,,5,,90,,137
25,(4),367,,68,(2),67,(1),38,(1),2,,65,,127
26,(1),366,,66,(1),78,,48,,4,,67,,103
27,(1),336,(1),65,－,47,,44,,3,,67,,110
28,(5),370,(2),63,(1),56,,49,,5,(2),69,,128
29,(5),378,(1),70,(3),67,(1),51,,5,,67,,118
30,(5),436,(1),83,(2),71,,59,(1),5,,82,(1),136
令和元年,(2),389,,76,(1),62,,46,,3,(1),78,,125
２,(1),399,,55,,56,,47,(1),5,,81,,155
３,,454,,70,,69,,60,,2,,75,,178
資料　秋田労働基準監督署,,,,,,,,,,,,,,
注）　１　本表は同署管内分で、令和３年は未確定値である。(　)内は死亡者で内数。,,,,,,,,,,,,,,
　　　２　死傷者数は休業４日以上とする。なお、死亡者数は休業４日以上に含むものとする。,,,,,,,,,,,,,,
　　　３　総数は鉱業（鉱山保安法適用）を除く。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
