市区町村コード,NO,都道府県名,市区町村名,名称,住所,緯度,経度,設置者,電話番号,SSID,URL,備考
052019,0000000001,秋田県,秋田市,秋田市役所本庁舎,秋田市山王1-1-1,39.719935,140.103619,秋田市企画財政部情報統計課,018-863-2222,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000002,秋田県,秋田市,市民交流プラザ(アルヴェ公共棟),秋田市東通仲町4-1,39.715819,140.131467,秋田市観光文化スポーツ部秋田市民交流プラザ管理室,018-887-5310,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000003,秋田県,秋田市,北部市民サービスセンター(キタスカ),秋田市土崎港西5-3-1,39.760745,140.065257,秋田市市民生活部北部市民サービスセンター,018-845-2261,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000004,秋田県,秋田市,南部市民サービスセンター(なんぴあ),秋田市御野場1-5-1,39.672845,140.135238,秋田市市民生活部南部市民サービスセンター,018-838-1212,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000005,秋田県,秋田市,南部市民サービスセンター別館,秋田市牛島東6-4-5,39.695045,140.124222,秋田市市民生活部南部市民サービスセンター別館,018-853-5735,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000006,秋田県,秋田市,東部市民サービスセンター(いーぱる),秋田市広面字釣瓶町13-3,39.724146,140.151823,秋田市市民生活部東部市民サービスセンター,018-853-1089,AKITACITY_FREE_Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000007,秋田県,秋田市,秋田駅前,秋田県秋田市中通7-1-2,39.716717,140.128966,株式会社秋田ケーブルテレビ,0120-344-037,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000008,秋田県,秋田市,千秋公園,秋田市千秋公園1,39.721848,140.123753,秋田市企画財政部情報統計課,018-888-5468,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000009,秋田県,秋田市,八橋運動公園,秋田県秋田市八橋運動公園1-10,39.720927,140.095644,秋田市企画財政部情報統計課,018-888-5468,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
052019,0000000010,秋田県,秋田市,にぎわい交流館,秋田市中通1-4-1,39.717456,140.122057,秋田市にぎわい交流館AU（あう）,018-853-1133,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,令和２年３月からにぎわい広場も含む
052019,0000000011,秋田県,秋田市,ポートタワーセリオン,秋田市土崎港西1-9-1,39.752706,140.061024,秋田市ポートタワーセリオン,018-857-3381,AkitaCity Wi-Fi,https://www.city.akita.lg.jp/kanko/1015784/1015792.html,
