No.,名称,名称_カナ,住所,電話番号,市町村コード,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,想定収容人数
1,大曲中学校グラウンド,オオマガリチュウガッコウグラウンド,秋田県大仙市若竹町7-17,(0187)63-2222,52124,,1,,1,,1,,,4730
2,十日市第一児童公園,トオカイチダイイチジドウコウエン,秋田県大仙市大曲白金町地内,(0187)66-4908,52124,,1,,1,,,,,150
3,さるびや児童公園,サルビヤジドウコウエン,秋田県大仙市佐野町地内,(0187)66-4908,52124,,1,,1,,,,,180
4,白金児童公園,シロガネジドウコウエン,秋田県大仙市大曲白金町地内,(0187)66-4908,52124,,1,,1,,,,,160
5,若竹第一児童公園,ワカタケダイイチジドウコウエン,秋田県大仙市若竹町地内,(0187)66-4908,52124,,1,,1,,,,,310
6,ねむのき児童公園,ネムノキジドウコウエン,秋田県大仙市大曲通町地内,(0187)66-4908,52124,,1,,1,,,,,220
7,あかしや児童公園,アカシヤジドウコウエン,秋田県大仙市朝日町地内,(0187)66-4908,52124,,1,,1,,,,,530
8,八幡児童公園,ハチマンジドウコウエン,秋田県大仙市大曲丸の内町地内,(0187)66-4908,52124,,1,,1,,,,,230
9,大花児童公園,オオハナジドウコウエン,秋田県大仙市大花町地内,(0187)66-4908,52124,,1,,1,,,,,150
10,大曲駅東広場,オオマガリエキヒガシヒロバ,秋田県大仙市大花町13地内,(0187)63-0011,52124,,1,,1,,1,,,300
11,大曲黒瀬街区公園,オオマガリクロセガイクコウエン,秋田県大仙市大曲黒瀬町地内,(0187)66-4908,52124,,1,,1,,,,,390
12,秋田県立大曲工業高等学校グラウンド,アキタケンリツオオマガリコウギョウコウトウガッコウグラウンド,秋田県大仙市大曲若葉町3-17,(0187)63-4060,52124,,1,,1,,1,,,14275
13,戸巻町児童公園,トマキチョウジドウコウエン,秋田県大仙市大曲戸巻町地内,(0187)66-4908,52124,,1,,1,,,,,130
14,東大曲小学校グラウンド,ヒガシオオマガリショウガッコウグラウンド,秋田県大仙市大曲字下高畑81,(0187)63-1020,52124,,1,,1,,1,,,1000
15,桂公園,カツラコウエン,秋田県大仙市大曲田町地内,(0187)66-4908,52124,,1,,1,,1,,,1700
16,須和町児童公園,スワチョウジドウコウエン,秋田県大仙市大曲須和町1地内,(0187)66-4908,52124,,1,,1,,,,,250
17,大曲小学校グラウンド,オオマガリショウガッコウグラウンド,秋田県大仙市大曲花園町4-88,(0187)63-1018,52124,,1,,1,,1,,,900
18,中央公園,チュウオウコウエン,秋田県大仙市大曲川原町、大曲花園町及び大曲浜町地内,(0187)66-4908,52124,,1,,1,,1,,,2700
19,花園児童公園,ハナゾノジドウコウエン,秋田県大仙市大曲花園町地内,(0187)66-4908,52124,,1,,1,,,,,60
20,秋田県立大曲農業高等学校グラウンド,アキタケンリツオオマガリノウギョウコウトウガッコウグラウンド,秋田県大仙市大曲金谷町26-9,(0187)63-2257,52124,,1,,1,,1,,,2400
21,蓮沼第一児童公園,ハスヌナダイイチジドウコウエン,秋田県大仙市大曲金谷町地内,(0187)66-4908,52124,,1,,1,,,,,60
22,いちょう児童公園,イチョウジドウコウエン,秋田県大仙市大曲日の出町1丁目地内,(0187)66-4908,52124,,1,,1,,,,,180
23,旧大曲南保育園跡地,キュウオオマガリミナミホイクエンアトチ,秋田県大仙市大曲日の出町1-27,(0187)66-4908,52124,,1,,1,,,,,180
24,さくら児童公園,サクラジドウコウエン,秋田県大仙市大曲日の出町1丁目地内,(0187)66-4908,52124,,1,,1,,,,,100
25,大曲市民会館第1駐車場,オオマガリシミンカイカンダイイチチュウシャジョウ,秋田県大仙市大曲日の出町2-472・473,(0187)63-6101,52124,,1,,1,,1,,,1458
26,大曲市民会館第2駐車場,オオマガリシミンカイカンダイニチュウシャジョウ,秋田県大仙市飯田字屋舗通247・248,(0187)63-6101,52124,,1,,1,,1,,,1784
27,大曲中央公民館駐車場,オオマガリチュウオウコウミンカンチュウシャジョウ,秋田県大仙市大曲日の出町2-447,(0187)63-6101,52124,,1,,1,,,,,755
28,住吉町児童公園,スミヨシチョウジドウコウエン,秋田県大仙市大曲住吉町地内,(0187)66-4908,52124,,1,,1,,,,,290
29,花館小学校グラウンド,ハナダテショウガッコウグラウンド,秋田県大仙市泉町地内,(0187)63-1022,52124,,1,,1,,1,,,2500
30,大曲西中学校グラウンド,オオマガリニシチュウガッコウグラウンド,秋田県大仙市内小友字中沢176-1,(0187)68-2222,52124,1,1,,1,,1,1,,2100
31,内小友小学校グラウンド,ウチオトモショウガッコウグラウンド,秋田県大仙市内小友字四ツ村35,(0187)68-2345,52124,,1,,1,,1,,,900
32,大川西根小学校グラウンド,オオカワニシネショウガッコウグラウンド,秋田県大仙市大川西根字小館20,(0187)68-3030,52124,,1,,1,,1,,,800
33,秋田県立大曲支援学校グラウンド,アキタケンリツオオマガリシエンガッコウグラウンド,秋田県大仙市大曲西根字下成沢122,(0187)68-4123,52124,1,1,,1,,1,1,,7402
34,大曲南中学校グラウンド,オオマガリミナミチュウガッコウグラウンド,秋田県大仙市藤木字上野中70-2,(0187)65-2001,52124,,1,,1,,1,,,1500
35,藤木小学校グラウンド,フジキショウガッコウグラウンド,秋田県大仙市藤木字街道下67,(0187)65-2420,52124,,1,,1,,1,,,1000
36,角間川小学校グラウンド,カクマガワショウガッコウグラウンド,秋田県大仙市角間川町字大浦町99,(0187)65-2201,52124,,1,,1,,1,,,1000
37,角間川児童公園,カクマガワジドウコウエン,秋田県大仙市角間川町字四上町地内,(0187)66-4908,52124,,1,,1,,,,,180
38,川港親水公園,カワミナトシンスイコウエン,秋田県大仙市藤木字東八圭及び丙大久保地内,(0187)66-4908,52124,,1,,1,,1,,,350
39,四ツ屋小学校グラウンド,ヨツヤショウガッコウグラウンド,秋田県大仙市四ツ屋字下古道81,(0187)66-1513,52124,,1,,1,,1,,,1000
40,松倉農村広場,マツクラノウソンヒロバ,秋田県大仙市四ツ屋字小又35-1,(0187)63-1111,52124,1,1,,1,,1,1,,400
41,総合公園テニスコート駐車場,ソウゴウコウエンテニスコートチュウシャジョウ,秋田県大仙市内小友字中沢176-14,(0187)68-4567,52124,1,1,,1,,1,1,,3217
42,中川原グラウンド,ナカガワラグラウンド,秋田県大仙市神宮寺字吉貝人着,(0187)72-2111,52124,,1,,1,,1,,,1200
43,神岡小学校グラウンド,カミオカショウガッコウグラウンド,秋田県大仙市神宮寺字館ノ北29,(0187)72-2222,52124,,1,,1,,1,,,1900
44,平和中学校グラウンド,ヘイワチュウガッコウグラウンド,秋田県大仙市神宮寺荒屋20,(0187)72-2211,52124,,1,,1,,1,,,2700
45,かみおか嶽雄館,カミオカガクユウカン,秋田県大仙市神宮寺字下川原前開102,(0187)72-2501,52124,,1,,1,,1,,,1355
46,神岡中央公園,カミオカチュウオウコウエン,秋田県大仙市神宮寺字大坪街道下及び中瀬古川敷地内,(0187)72-4609,52124,,1,,1,,1,,,3781
47,二タ子沢農村公園,フタゴサワノウソンコウエン,秋田県大仙市神宮寺字八石上高野56-1,(0187)72-4609,52124,1,1,,1,,1,1,,2100
48,笹倉公園,ササクラコウエン,秋田県大仙市神宮寺字笹倉1-2,0187-72-2062,52124,1,1,,1,,1,1,,10000
49,太平健康広場,タイヘイケンコウヒロバ,秋田県大仙市神宮寺字鶴ヶ沢出口50-1,(0187)72-2111,52124,1,1,,1,,1,1,,1200
50,神岡野球場,カミオカヤキュウジョウ,秋田県大仙市北楢岡字向堀野2-1,(0187)72-3464,52124,,1,,1,,1,,,1200
51,旧北神小学校グラウンド（音楽交流館）,キュウホクシンショウガッコウグラウンド（オンガクコウリュウカン）,秋田県大仙市北楢岡字嶋151,(0187)72-2111,52124,,1,,1,,1,,,1200
52,道の駅かみおか駐車場,ミチノエキカミオカチュウシャジョウ,秋田県大仙市北楢岡字船戸,(0183)73-3174,52124,,1,,1,,1,,,410
53,八石太平台,ハチコクタイヘイダイ,秋田県大仙市神宮寺字萩の台151-5,(0187)72-2111,52124,1,1,,1,,1,1,,4404
54,神岡カントリーエレベーター,カミオカカントリーエレベーター,秋田県大仙市北楢岡字上龍蔵台191-1,(0187)72-3941,52124,1,1,,1,,1,1,,623
55,西仙北小学校グラウンド,ニシセンボクショウガッコウグラウンド,秋田県大仙市刈和野字上ノ台322,(0187)75-1014,52124,1,,,1,,1,1,,661
56,旧土川小学校グラウンド,キュウツチカワショウガッコウグラウンド,秋田県大仙市土川字半道寺西野1-11外,(0187)75-1111,52124,1,1,,1,,1,1,,547
57,旧大沢郷小学校グラウンド,キュウオオサワゴウショウガッコウグラウンド,秋田県大仙市大沢郷宿字カクマ沢138-1,(0187)75-1111,52124,1,1,,1,,1,1,,1263
58,旧双葉小学校グラウンド,キュウフタバショウガッコウグラウンド,秋田県大仙市強首字上野台1-2,(0187)75-1111,52124,,1,,1,,1,,,601
59,西仙北中学校グラウンド,ニシセンボクチュウガッコウグラウンド,秋田県大仙市刈和野字田中蟻塚12,(0187)75-1108,52124,1,1,,1,,1,1,,1021
60,旧西仙北西中学校グラウンド,キュウニシセンボクニシチュウガッコウ,秋田県大仙市強首字上野台92-1,(0187)78-1111,52124,1,1,,1,,1,1,,1243
61,秋田県立西仙北高等学校グラウンド,アキタケンリツニシセンボクコウトウガッコウグラウンド,秋田県大仙市刈和野字北ノ沢嶋山5-1,(0187)75-1002,52124,1,,,1,,1,1,,726
62,西仙北緑地運動広場,ニシセンボクリョクチウンドウヒロバ,秋田県大仙市強首字上野台23-22,(0187)75-111,52124,1,1,,1,,1,1,,1213
63,大佐沢公園,オオサザワコウエン,秋田県大仙市刈和野字大佐沢,(0187)75-2971,52124,1,,,1,,1,1,,758
64,半道寺運動公園,ハンドウジウンドウコウエン,秋田県大仙市土川字上雨堤1-33,(0187)75-1111,52124,1,,,1,,1,1,,451
65,西仙北スポーツセンター内公園,ニシセンボクスポーツセンターナイコウエン,秋田県大仙市刈和野字小野17,(0187)75-0552,52124,1,1,,1,,1,1,,537
66,大綱交流館駐車場,オオツナコウリュウカンチュウシャジョウ,秋田県大仙市刈和野字愛宕下24-1,(0187)75-1115,52124,,1,,1,,1,,,2995
67,西今泉農村公園,ニシイマイズミノウソンコウエン,秋田県大仙市土川字大楽183-3,(0187)75-1111,52124,1,1,,1,,1,1,,800
68,西仙北農村環境改善センター,ニシセンボクノウソンカンキョウカイゼンセンター,秋田県大仙市土川字刈布沢24-48,(0187)75-1104,52124,1,1,,1,,1,1,,600
69,辰ノ口集生活改善センター,タツノクチセイカツカイゼンセンター,秋田県大仙市土川字小杉山沢ノ内古道沢山2-1,(0187)75-1111,52124,1,,,1,,1,1,,50
70,小杉山地区生涯学習センター,コスギヤマチクショウガイガクシュウセンター,秋田県大仙市土川字小杉山沢ノ内焼山1-2,(0187)75-2807,52124,1,,,1,,1,1,,200
71,小杉山農村公園,コスギヤマノウソンコウエン,秋田県大仙市土川字楯越1-1,(0187)75-2971,52124,1,,,1,,1,1,,900
72,西仙北農村交流施設,ニシセンボクノウソンコウリュウシセツ,秋田県大仙市北野目字堂伝野2,(0187)75-2884,52124,,1,,1,,1,,,400
73,強首地区多目的研修施設,コワクビチクタモクテキケンシュウシセツ,秋田県大仙市強首字上野台1,(0187)77-2121,52124,,1,,1,,1,,,100
74,西仙北林業者等健康増進施設,ニシセンボクリンギョウシャトウケンコウゾウシンシセツ,秋田県大仙市大沢郷宿字横山59-2,(0187)78-1100,52124,,1,,1,,1,,,300
75,西仙北青少年自然の家,ニシセンボクセイショウネンシゼンノイエ,秋田県大仙市円行寺字大場台38,(0187)78-1210,52124,1,1,,1,,1,1,,200
76,刈和野地区コミュニティセンター,カリワノチクコミュニティセンター,秋田県大仙市刈和野字愛宕町10-2,(0187)75-1520,52124,,1,,1,,1,,,70
77,中仙公民館鶯野分館グラウンド,ナカセンコウミンカンウグイスノブンカングラウンド,秋田県大仙市下鶯野字上村1,(0187)56-2322,52124,1,1,,1,,1,1,,300
78,ドンパン広場,ドンパンヒロバ,秋田県大仙市北長野字茶畑地内,(0187)56-2111,52124,,1,,1,,1,,,2900
