,,,,人　口　世　帯　表,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成１８年１月１日現在速報        ,,,,,,,,,　　　　　,秋田市情報政策課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"131,527 ","333,087 ",2.53 ,905.67 ,367.8 ,,前 月 分,"131,499 ","333,152 ","158,151 ","175,001 ",,,,
,,,,,,,増 減 数,28 ,-65 ,-44 ,-21 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"131,527 ","333,087 ","158,107 ","174,980 ",北部地域,北部地域計,"31,607 ","84,867 ","40,327 ","44,540 ",,,,
,,,,,,,寺      内,"3,920 ","9,880 ","4,972 ","4,908 ",,,,
中央地域,中央地域計,"35,011 ","76,882 ","36,347 ","40,535 ",,外  旭  川,"4,960 ","13,140 ","6,213 ","6,927 ",,,,
,大　    町,"1,669 ","3,162 ","1,403 ","1,759 ",,土崎港中央,"1,913 ","4,929 ","2,175 ","2,754 ",,,,
,旭      北,328 ,695 ,334 ,361 ,,土崎港  東,"1,152 ","2,986 ","1,398 ","1,588 ",,,,
,旭      南,"1,320 ","2,852 ","1,233 ","1,619 ",,土崎港  西,581 ,"1,376 ",701 ,675 ,,,,
,川      元,"1,110 ","2,313 ","1,067 ","1,246 ",,土崎港  南,"1,303 ","3,175 ","1,452 ","1,723 ",,,,
,川      尻,"2,143 ","5,802 ","3,101 ","2,701 ",,土崎港  北,"2,456 ","6,338 ","2,951 ","3,387 ",,,,
,山   　 王,"2,855 ","5,326 ","2,682 ","2,644 ",,土崎港その他,"1,203 ","3,023 ","1,524 ","1,499 ",,,,
,高      陽,"1,055 ","2,010 ",966 ,"1,044 ",,将軍野  東,"1,564 ","3,965 ","1,847 ","2,118 ",,,,
,保  戸  野,"2,723 ","6,149 ","2,781 ","3,368 ",,将軍野  南,"1,700 ","4,202 ","1,934 ","2,268 ",,,,
,泉,"4,455 ","10,470 ","4,974 ","5,496 ",,将軍野その他,"1,343 ","3,681 ","1,736 ","1,945 ",,,,
,千      秋,"2,220 ","4,566 ","2,121 ","2,445 ",,港      北,536 ,"1,368 ",667 ,701 ,,,,
,中      通,"1,763 ","3,383 ","1,510 ","1,873 ",,飯      島,"5,774 ","16,753 ","8,100 ","8,653 ",,,,
,南      通,"2,116 ","4,382 ","2,017 ","2,365 ",,金      足,"1,236 ","3,666 ","1,742 ","1,924 ",,,,
,楢      山,"4,439 ","10,439 ","4,736 ","5,703 ",,下  新  城,"1,574 ","4,858 ","2,240 ","2,618 ",,,,
,茨      島,"2,074 ","4,906 ","2,358 ","2,548 ",,上  新  城,392 ,"1,527 ",675 ,852 ,,,,
