人　口　世　帯　表,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成１２年１月１日現在        ,,,,,,,,,,秋田市企画調整課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"122,346 ","316,660 ",2.59 ,460.10 ,688.2 ,,前 月 分,"122,348 ","316,663 ","151,291 ","165,372 ",,,,
,,,,,,,増 減 数,-2 ,-3 ,-27 ,24 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"122,346 ","316,660 ","151,264 ","165,396 ",北　部　地　区,北部地区計,"30,580 ","86,803 ","41,525 ","45,278 ",,,,
,,,,,,,寺      内,"3,884 ","10,264 ","5,210 ","5,054 ",,,,
中　央　地　区,中央地区計,"34,867 ","78,648 ","37,105 ","41,543 ",,外  旭  川,"4,643 ","13,322 ","6,384 ","6,938 ",,,,
,大　    町,"1,715 ","3,498 ","1,507 ","1,991 ",,土崎港中央,"2,057 ","5,436 ","2,409 ","3,027 ",,,,
,旭      北,394 ,840 ,399 ,441 ,,土崎港  東,"1,139 ","3,024 ","1,436 ","1,588 ",,,,
,旭      南,"1,411 ","3,236 ","1,452 ","1,784 ",,土崎港  西,569 ,"1,405 ",679 ,726 ,,,,
,川      元,"1,208 ","2,507 ","1,149 ","1,358 ",,土崎港  南,"1,355 ","3,534 ","1,627 ","1,907 ",,,,
,川      尻,"2,283 ","5,728 ","2,928 ","2,800 ",,土崎港  北,"2,275 ","6,226 ","2,912 ","3,314 ",,,,
,山   　 王,"2,738 ","5,094 ","2,573 ","2,521 ",,土崎港その他,"1,049 ","2,900 ","1,444 ","1,456 ",,,,
,高      陽,"1,144 ","2,233 ","1,088 ","1,145 ",,将軍野  東,"1,506 ","3,935 ","1,827 ","2,108 ",,,,
,保  戸  野,"2,787 ","6,469 ","2,952 ","3,517 ",,将軍野  南,"1,696 ","4,261 ","1,953 ","2,308 ",,,,
,泉,"4,154 ","9,969 ","4,783 ","5,186 ",,将軍野その他,"1,299 ","3,617 ","1,741 ","1,876 ",,,,
,千      秋,"2,339 ","5,105 ","2,360 ","2,745 ",,港      北,543 ,"1,415 ",669 ,746 ,,,,
,中      通,"1,508 ","2,860 ","1,241 ","1,619 ",,飯      島,"5,516 ","17,043 ","8,397 ","8,646 ",,,,
,南      通,"2,206 ","4,787 ","2,165 ","2,622 ",,金      足,"1,219 ","3,997 ","1,865 ","2,132 ",,,,
,楢      山,"4,146 ","10,012 ","4,534 ","5,478 ",,下  新  城,"1,394 ","4,802 ","2,211 ","2,591 ",,,,
,茨      島,"2,177 ","5,550 ","2,726 ","2,824 ",,上  新  城,436 ,"1,622 ",761 ,861 ,,,,
,八      橋,"4,657 ","10,760 ","5,248 ","5,512 ",,,,,,,,,,
東　部　地　区,東部地区計,"27,448 ","65,674 ","32,027 ","33,647 ",,○　前月人口増減の内訳,,,,,,,,
,東      通,"3,487 ","6,972 ","3,332 ","3,640 ",,,計,男,女,,,,,
,手      形,"2,408 ","4,847 ","2,472 ","2,375 ",,転    入,574 ,292 ,282 ,,,,,
,手 形（字）,"3,345 ","6,622 ","3,402 ","3,220 ",,転    出,569 ,316 ,253 ,,,,,
,手  形  山,847 ,"2,283 ","1,028 ","1,255 ",,出    生,228 ,121 ,107 ,,,,,
,泉（旭 川）,"1,146 ","3,051 ","1,416 ","1,635 ",,死    亡,236 ,124 ,112 ,,,,,
,旭      川,939 ,"2,534 ","1,171 ","1,363 ",,社会動態,5 ,-24 ,29 ,,,,,
,新  藤  田,576 ,"1,419 ",629 ,790 ,,自然動態,-8 ,-3 ,-5 ,,,,,
,濁      川,688 ,"2,044 ",989 ,"1,055 ",,増 減 計,-3 ,-27 ,24 ,,,,,
,添      川,603 ,"1,828 ",823 ,"1,005 ",,,,,,,,,,
,山      内,98 ,486 ,204 ,282 ,,○　平成１２年１月１日からの累計,,,,,,,,
,仁      別,63 ,203 ,91 ,112 ,,,計,男,女,,,,,
,広      面,"6,562 ","14,204 ","7,070 ","7,134 ",,転    入,"12,940 ","7,139 ","5,801 ",,,,,
,柳      田,587 ,"1,687 ",761 ,926 ,,転    出,"12,592 ","6,959 ","5,633 ",,,,,
,横      森,"1,817 ","4,488 ","2,207 ","2,281 ",,出    生,"2,743 ","1,427 ","1,316 ",,,,,
,桜,"1,342 ","3,332 ","1,674 ","1,658 ",,死    亡,"2,365 ","1,315 ","1,050 ",,,,,
,桜  ガ  丘,662 ,"2,193 ","1,042 ","1,151 ",,社会動態,348 ,180 ,168 ,,,,,
,桜　　　台,7 ,29 ,15 ,14 ,,自然動態,378 ,112 ,266 ,,,,,
,下  北  手,"1,393 ","4,398 ","2,237 ","2,161 ",,増 減 計,726 ,292 ,434 ,,,,,
,太      平,878 ,"3,054 ","1,464 ","1,590 ",,,,,,,,,,
西部地区,西部地区計,"12,327 ","36,100 ","17,124 ","18,976 ",,○　平成７年１０月１日からの累計,,,,,,,,
,新      屋,"5,114 ","14,358 ","6,754 ","7,604 ",,,計,男,女,,,,,
,勝      平,"4,948 ","13,794 ","6,737 ","7,057 ",,転    入,"56,056 ","30,870 ","25,186 ",,,,,
,浜      田,864 ,"3,063 ","1,364 ","1,699 ",,転    出,"54,066 ","29,957 ","24,109 ",,,,,
,豊      岩,595 ,"2,171 ","1,015 ","1,156 ",,出    生,"12,016 ","6,217 ","5,799 ",,,,,
,下      浜,806 ,"2,714 ","1,254 ","1,460 ",,死    亡,"9,294 ","5,134 ","4,160 ",,,,,
南部地区,南部地区計,"17,124 ","49,435 ","23,483 ","25,952 ",,社会動態,"1,990 ",925 ,"1,065 ",,,,,
