,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
  平成２３年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"131,385 ","323,540 ",2.46 ,905.67 ,357.2 ,,前 月 分,"131,402 ","323,531 ","152,418 ","171,113 ",,,,,
,,,,,,,増 減 数,-17 ,9 ,1 ,8 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"131,385 ","323,540 ","152,419 ","171,121 ",北部地域,北部地域計,"31,401 ","81,718 ","38,552 ","43,166 ",,,,,
,,,,,,,寺      内,"3,746 ","9,315 ","4,556 ","4,759 ",,,,,
中央地域,中央地域計,"34,168 ","73,480 ","34,661 ","38,819 ",,外  旭  川,"4,962 ","12,768 ","5,974 ","6,794 ",,,,,
,大　    町,"1,455 ","2,765 ","1,232 ","1,533 ",,土崎港中央,"1,912 ","4,776 ","2,126 ","2,650 ",,,,,
,旭      北,397 ,700 ,374 ,326 ,,土崎港  東,"1,159 ","2,907 ","1,361 ","1,546 ",,,,,
,旭      南,"1,327 ","2,841 ","1,231 ","1,610 ",,土崎港  西,569 ,"1,328 ",682 ,646 ,,,,,
,川      元,"1,000 ","2,152 ",999 ,"1,153 ",,土崎港  南,"1,256 ","2,993 ","1,394 ","1,599 ",,,,,
,川      尻,"2,132 ","5,482 ","2,875 ","2,607 ",,土崎港  北,"2,473 ","6,145 ","2,863 ","3,282 ",,,,,
,山   　 王,"2,773 ","5,348 ","2,609 ","2,739 ",,土崎港その他,"1,242 ","3,102 ","1,522 ","1,580 ",,,,,
,高      陽,"1,016 ","1,978 ",964 ,"1,014 ",,将軍野  東,"1,517 ","3,781 ","1,762 ","2,019 ",,,,,
,保  戸  野,"2,594 ","5,691 ","2,593 ","3,098 ",,将軍野  南,"1,590 ","3,755 ","1,773 ","1,982 ",,,,,
,泉,"4,368 ","10,245 ","4,841 ","5,404 ",,将軍野その他,"1,402 ","3,613 ","1,703 ","1,910 ",,,,,
,千      秋,"2,283 ","4,556 ","2,119 ","2,437 ",,港      北,527 ,"1,304 ",610 ,694 ,,,,,
,中      通,"2,014 ","3,736 ","1,698 ","2,038 ",,飯      島,"5,789 ","16,236 ","7,784 ","8,452 ",,,,,
,南      通,"2,117 ","4,155 ","1,965 ","2,190 ",,金      足,"1,232 ","3,396 ","1,590 ","1,806 ",,,,,
,楢      山,"4,134 ","9,368 ","4,231 ","5,137 ",,下  新  城,"1,639 ","4,916 ","2,257 ","2,659 ",,,,,
,茨      島,"2,050 ","4,768 ","2,289 ","2,479 ",,上  新  城,386 ,"1,383 ",595 ,788 ,,,,,
