,,,,人　口　世　帯　表,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成２２年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"134,100 ","325,905 ",2.43 ,905.67 ,359.8 ,,前 月 分,"134,071 ","325,989 ","153,751 ","172,238 ",,,,
,,,,,,,増 減 数,29 ,-84 ,-29 ,-55 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"134,100 ","325,905 ","153,722 ","172,183 ",北部地域,北部地域計,"32,173 ","82,419 ","38,937 ","43,482 ",,,,
,,,,,,,寺      内,"3,969 ","9,669 ","4,811 ","4,858 ",,,,
中央地域,中央地域計,"35,173 ","74,491 ","34,990 ","39,501 ",,外  旭  川,"5,134 ","12,935 ","6,096 ","6,839 ",,,,
,大　    町,"1,581 ","2,807 ","1,280 ","1,527 ",,土崎港中央,"1,931 ","4,737 ","2,087 ","2,650 ",,,,
,旭      北,361 ,665 ,339 ,326 ,,土崎港  東,"1,175 ","2,950 ","1,390 ","1,560 ",,,,
,旭      南,"1,377 ","2,883 ","1,242 ","1,641 ",,土崎港  西,579 ,"1,355 ",690 ,665 ,,,,
,川      元,"1,079 ","2,167 ",998 ,"1,169 ",,土崎港  南,"1,290 ","2,964 ","1,367 ","1,597 ",,,,
,川      尻,"2,160 ","5,607 ","2,960 ","2,647 ",,土崎港  北,"2,513 ","6,191 ","2,888 ","3,303 ",,,,
,山   　 王,"2,939 ","5,483 ","2,732 ","2,751 ",,土崎港その他,"1,250 ","3,082 ","1,519 ","1,563 ",,,,
,高      陽,"1,026 ","1,960 ",945 ,"1,015 ",,将軍野  東,"1,593 ","3,867 ","1,784 ","2,083 ",,,,
,保  戸  野,"2,715 ","5,930 ","2,667 ","3,263 ",,将軍野  南,"1,629 ","3,847 ","1,764 ","2,083 ",,,,
,泉,"4,551 ","10,478 ","4,970 ","5,508 ",,将軍野その他,"1,401 ","3,599 ","1,690 ","1,909 ",,,,
,千      秋,"2,350 ","4,572 ","2,094 ","2,478 ",,港      北,519 ,"1,293 ",616 ,677 ,,,,
,中      通,"2,023 ","3,767 ","1,705 ","2,062 ",,飯      島,"5,854 ","16,290 ","7,815 ","8,475 ",,,,
,南      通,"2,050 ","4,125 ","1,835 ","2,290 ",,金      足,"1,289 ","3,450 ","1,631 ","1,819 ",,,,
,楢      山,"4,258 ","9,581 ","4,295 ","5,286 ",,下  新  城,"1,648 ","4,788 ","2,185 ","2,603 ",,,,
,茨      島,"2,097 ","4,739 ","2,241 ","2,498 ",,上  新  城,399 ,"1,402 ",604 ,798 ,,,,
,八      橋,"4,606 ","9,727 ","4,687 ","5,040 ",河　　　辺,,"3,188 ","9,540 ","4,557 ","4,983 ",,,,
