９４　居住世帯の有無別住宅数、人が居住する住宅以外の建物数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,各年１０月１日現在
年次,住　　　　　　　　　宅　　　　　　　　　数,,,,,,,,人が居住する住宅以外の建物数
,総数,居住世帯あり,,,居住世帯なし,,,,
,,総数,同居世帯なし,同居世帯あり,総数,"一時現在者
のみ",空家,建築中,
昭和53年,"87,200 ","80,100 ","79,100 ","1,000 ","7,200 ",400 ,"6,200 ",600 ,700 
58,"97,030 ","88,440 ","87,860 ",580 ,"8,580 ",340 ,"7,860 ",380 ,740 
63,"106,540 ","95,120 ","94,560 ",560 ,"11,420 ",870 ,"10,300 ",250 ,700 
平成５年,"115,100 ","102,670 ","102,020 ",640 ,"12,430 ",600 ,"10,850 ",980 ,600 
10,"127,330 ","115,510 ","114,630 ",880 ,"11,820 ",400 ,"11,150 ",280 ,410 
15,"135,840 ","120,500 ","119,880 ",610 ,"15,340 ",390 ,"14,440 ",520 ,390 
20,"150,170 ","127,740 ","126,710 ","1,020 ","22,430 ",740 ,"21,480 ",210 ,300 
25,"159,130 ","138,090 ","137,400 ",690 ,"21,040 ",450 ,"20,510 ",80 ,160 
30,"157,650 ","136,360 ","134,780 ","1,580 ","21,290 ",140 ,"20,840 ",300 ,140 
資料　総務省統計局「住宅・土地統計調査、住宅統計調査報告」,,,,,,,,,
注）　１　標本調査であるため、個々の数値と総数は一致しない場合がある。,,,,,,,,,
　　　２　平成15年以前は旧秋田市分のみ掲載。,,,,,,,,,
