,,,,人　口　世　帯　表,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成１９年１月１日現在      ,,,,,,,,,　　　　　,秋田市情報政策課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"132,104 ","331,691 ",2.51 ,905.67 ,366.2 ,,前 月 分,"132,045 ","331,718 ","157,251 ","174,467 ",,,,
,,,,,,,増 減 数,59 ,-27 ,-41 ,14 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"132,104 ","331,691 ","157,210 ","174,481 ",北部地域,北部地域計,"31,814 ","84,519 ","40,147 ","44,372 ",,,,
,,,,,,,寺      内,"3,974 ","9,944 ","5,019 ","4,925 ",,,,
中央地域,中央地域計,"34,921 ","76,046 ","35,755 ","40,291 ",,外  旭  川,"4,976 ","13,092 ","6,175 ","6,917 ",,,,
,大　    町,"1,670 ","3,128 ","1,397 ","1,731 ",,土崎港中央,"1,936 ","4,900 ","2,174 ","2,726 ",,,,
,旭      北,315 ,666 ,330 ,336 ,,土崎港  東,"1,147 ","2,987 ","1,405 ","1,582 ",,,,
,旭      南,"1,346 ","2,888 ","1,248 ","1,640 ",,土崎港  西,583 ,"1,372 ",704 ,668 ,,,,
,川      元,"1,096 ","2,298 ","1,048 ","1,250 ",,土崎港  南,"1,340 ","3,180 ","1,469 ","1,711 ",,,,
,川      尻,"2,139 ","5,745 ","3,053 ","2,692 ",,土崎港  北,"2,453 ","6,326 ","2,948 ","3,378 ",,,,
,山   　 王,"2,921 ","5,396 ","2,712 ","2,684 ",,土崎港その他,"1,231 ","3,094 ","1,550 ","1,544 ",,,,
,高      陽,"1,037 ","1,969 ",927 ,"1,042 ",,将軍野  東,"1,603 ","3,992 ","1,870 ","2,122 ",,,,
,保  戸  野,"2,727 ","6,110 ","2,760 ","3,350 ",,将軍野  南,"1,652 ","4,016 ","1,824 ","2,192 ",,,,
,泉,"4,498 ","10,448 ","4,968 ","5,480 ",,将軍野その他,"1,341 ","3,635 ","1,725 ","1,910 ",,,,
,千      秋,"2,170 ","4,450 ","2,055 ","2,395 ",,港      北,529 ,"1,352 ",648 ,704 ,,,,
,中      通,"1,789 ","3,398 ","1,520 ","1,878 ",,飯      島,"5,808 ","16,675 ","8,021 ","8,654 ",,,,
,南      通,"2,075 ","4,296 ","1,926 ","2,370 ",,金      足,"1,253 ","3,612 ","1,716 ","1,896 ",,,,
,楢      山,"4,374 ","10,120 ","4,570 ","5,550 ",,下  新  城,"1,594 ","4,863 ","2,245 ","2,618 ",,,,
,茨      島,"2,100 ","4,929 ","2,345 ","2,584 ",,上  新  城,394 ,"1,479 ",654 ,825 ,,,,
,八      橋,"4,664 ","10,205 ","4,896 ","5,309 ",河　　　辺,,"3,134 ","10,017 ","4,770 ","5,247 ",,,,
