１１６　簡易水道の給水状況（上水道給水区域外）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,各年度末現在,
年度,総数,,,簡易水道,,,小規模水道,,,
,施設数,給水戸数,給水人口,施設数,給水戸数,給水人口,施設数,給水戸数,給水人口,
,,（戸）,（人）,,（戸）,（人）,,（戸）,（人）,
平成23年度,2 ,26 ,65 ,－ ,－ ,－ ,2 ,26 ,65 ,
24,2 ,26 ,62 ,－ ,－ ,－ ,2 , 26 , 62 ,
25,2 ,24 ,56 ,－ ,－ ,－ ,2 , 24 , 56 ,
26,2 ,24 ,54 ,－ ,－ ,－ ,2 ,24 ,54 ,
27,2 ,24 ,54 ,－ ,－ ,－ ,2 ,24 ,54 ,
28,2 ,24 ,54 ,－ ,－ ,－ ,2 ,24 ,54 ,
29,2 ,24 ,54 ,－ ,－ ,－ ,2 ,24 ,54 ,
30,2 ,21 ,46 ,－ ,－ ,－ ,2 ,21 ,46 ,
令和元年度,2 ,20 ,45 ,－ ,－ ,－ ,2 ,20 ,45 ,
２,2 ,20 ,42 ,－ ,－ ,－ ,2 ,20 ,42 ,
資料　雄和市民サービスセンター,,,,,,,,,,
"注）  １　表中で簡易水道は計画給水人口が101人以上5,000人未満、小規模水道は30人以上100人以下をいう。",,,,,,,,,,
　　　２　簡易水道関連数値が｢－｣である理由は、平成19年３月29日付けですべての簡易水道を上水道事業に統合したためである。,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
