６５　経営組織別事業所数,,,,,,,
,,,,,,,
,,,,"平成26年までは各年１２月３１日現在
平成28年以降は翌年６月１日現在",,,
,総数,個人,,会社,,組合その他の法人,
年次,実数,実数,構成比,実数,構成比,実数,構成比
,,,（％）,,（％）,,（％）
平成19年,351 ,13 ,3.7 ,332 ,94.6 ,6 ,1.7 
20,345 ,15 ,4.3 ,323 ,93.6 ,7 ,1.7 
21,314 ,12 ,3.8 ,296 ,94.3 ,6 ,1.9 
22,300 ,7 ,2.3 ,288 ,96.0 ,5 ,1.7 
24,302 ,7 ,2.3 ,291 ,96.4 ,4 ,1.3 
25,300 ,10 ,3.3 ,286 ,95.3 ,4 ,1.3 
26,293 ,10 ,3.4 ,278 ,94.9 ,5 ,1.7 
28,267 ,9 ,3.4 ,254 ,95.1 ,4 ,1.5 
29,269 ,6 ,2.2 ,259 ,96.3 ,4 ,1.5 
30,260 ,5 ,1.9 ,251 ,96.5 ,4 ,1.5 
令和元年,257 ,5 ,1.9 ,248 ,96.5 ,4 ,1.6 
資料　秋田市情報統計課「秋田市の工業」,,,,,,,
　注）　調査対象は従業者４人以上である。,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
