３１　短　　期　　大　　学　　の　　概　　況,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,各年度５月１日現在,,
年度,学校数,学生数（人）,,,,,,,,,,,,,"教員数
（人）",,
,,総計,"商業情報
学科
(商経科)","生活文化
(学)科","栄養学科
(専攻科含む)",文化コミニュケーション科　,音楽科,保育科 ,看護学科,"理学療法
学科","作業療法
学科","工学美術
学科","産業
デザイン
学科","介護福祉
学科",,,
,,,,,,,,,,,,,,,,,
平成24年度,5 ,"1,154 ",－ ,331 ,163 ,－ ,－ ,257 ,－ ,－ ,－ ,111 ,193 ,99 ,90 ,,
25,5 ,"1,018 ",－ ,366 ,153 ,－ ,－ ,259 ,－ ,－ ,－ ,145 ,－ ,95 ,60 ,,
26,5 ,801 ,－ ,323 ,122 ,－ ,－ ,252 ,－ ,－ ,－ ,11 ,－ ,93 ,61 ,,
27,5 ,740 ,－ ,278 ,129 ,－ ,－ ,244 ,－ ,－ ,－ ,1 ,－ ,88 ,62 ,,
28,4 ,733 ,－ ,269 ,143 ,－ ,－ ,251 ,－ ,－ ,－ ,－ ,－ ,70 ,60 ,,
29,4 ,685 ,－ ,265 ,122 ,－ ,－ ,254 ,－ ,－ ,－ ,－ ,－ ,44 ,61 ,,
30,4 ,658 ,－ ,245 ,120 ,－ ,－ ,253 ,－ ,－ ,－ ,－ ,－ ,40 ,59 ,,
令和元年度,4 ,592 ,－ ,214 ,92 ,－ ,－ ,247 ,－ ,－ ,－ ,－ ,－ ,39 ,56 ,,
２,4 ,583 ,－ ,231 ,102 ,－ ,－ ,216 ,－ ,－ ,－ ,－ ,－ ,34 ,59 ,,
３,4 ,594 ,－ ,257 ,98 ,－ ,－ ,205 ,－ ,－ ,－ ,－ ,－ ,34 ,60 ,,
資料　秋田県調査統計課「学校基本調査」（29年度まで）、30年度以降は秋田栄養短期大学、聖霊女子短期大学、日本赤十字秋田短期大学、聖園学園短期大学,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
