地域,年度,総数_新規(件),総数_既済(件),総数_未済(件),一般保護事件_新規(件),一般保護事件_既済(件),一般保護事件_未済(件),道路交通保護事件_新規(件),道路交通保護事件_既済(件),道路交通保護事件_未済(件),その他_新規(件),その他_既済(件),その他_未済(件)
大仙市_仙北市_美郷町管内,2005(平成17),123,150,10,101,111,9,22,39,1,0,0,0
大仙市_仙北市_美郷町管内,2006(平成18）,101,106,5,77,82,4,22,22,1,2,2,-
大仙市_仙北市_美郷町管内,2007(平成19）,78,68,15,60,50,14,18,18,1,0,0,0
大仙市_仙北市_美郷町管内,2008(平成20）,71,76,10,57,61,10,12,13,0,2,2,0
大仙市_仙北市_美郷町管内,2009(平成21）,55,61,4,47,53,4,7,7,0,1,1,0
大仙市_仙北市_美郷町管内,2010(平成22）,76,60,20,65,50,19,11,10,1,0,0,0
大仙市_仙北市_美郷町管内,2011(平成23）,38,50,8,34,46,7,4,4,1,0,0,0
大仙市_仙北市_美郷町管内,2012(平成24）,40,39,9,35,33,9,5,6,0,0,0,0
大仙市_仙北市_美郷町管内,2013(平成25）,38,37,10,33,33,9,5,4,1,0,0,0
大仙市_仙北市_美郷町管内,2014(平成26）,32,36,6,25,28,6,7,8,0,0,0,0
大仙市_仙北市_美郷町管内,2015(平成27）,22,26,2,19,24,1,3,2,1,0,0,0
大仙市_仙北市_美郷町管内,2016(平成28）,18,18,2,15,14,2,3,4,0,0,0,0
大仙市_仙北市_美郷町管内,2017(平成29）,17,17,2,17,17,2,0,0,0,0,0,0
大仙市_仙北市_美郷町管内,2018(平成30）,15,12,5,11,9,4,4,3,1,0,0,0
大仙市_仙北市_美郷町管内,2019(平成31/令和1）,11,13,3,11,12,3,0,1,0,0,0,0
大仙市_仙北市_美郷町管内,2020(令和2）,13,10,6,13,10,6,0,0,0,0,0,0
大仙市_仙北市_美郷町管内,2021(令和3）,15,17,4,14,16,4,1,1,0,0,0,0
