１３０　夜間休日応急診療所の利用者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) 休日診療,,,,,,,,,,,,,,,,各年度間　単位：人,,,,,,,,,,,,,,,,,,,,
年　度,診療日数,患者数,,,,,"１日
平均
患者数",在宅診療,,,二次医療機関,,,,,,,,,,,,,,,,,,,,,,,,,
,,総数,内科,小児科,外科,耳鼻咽喉科,,総数,眼科,婦人科,総数,内科,小児科,外科,耳鼻科,その他,,,,,,,,,,,,,,,,,,,,
平成24年度,27 ,690 , － ,690 , － , － ,25.6 ,313 ,313 , － ,6 , － ,6 , － , － , － ,,,,,,,,,,,,,,,,,,,,
25, － , － , － , － , － , － , － ,304 ,304 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
26, － , － , － , － , － , － , － ,238 ,238 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
27, － , － , － , － , － , － , － ,245 ,245 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
28, － , － , － , － , － , － , － ,198 ,198 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
29, － , － , － , － , － , － , － ,214 ,214 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
30, － , － , － , － , － , － , － ,208 ,208 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
令和元年度, － , － , － , － , － , － , － , 224 , 224 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
２, － , － , － , － , － , － , － ,138 ,138 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
３, － , － , － , － , － , － , － ,146 ,146 , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
(2) 夜間診療,,,,,,,,,,,,,,,,各年度間　単位：人,,,,,,,,,,,,,,,,,,,,
年　度,診療日数,患者数,,,,,"１日
平均
患者数",在宅診療,,,二次医療機関,,,,,,,,,,,,,,,,,,,,,,,,,
,,総数,内科,小児科,外科,耳鼻咽喉科,,総数,眼科,婦人科,総数,内科,小児科,外科,耳鼻科,その他,,,,,,,,,,,,,,,,,,,,
平成24年度,153 ,"1,596 ", － ,"1,262 ", － ,334 ,10.4 , － , － , － ,20 , － ,19 , － , 1 ,0 ,,,,,,,,,,,,,,,,,,,,
25, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
26, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
27, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
28, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
29, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
30, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
令和元年度, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
２, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
３, － , － , － , － , － , － , － , － , － , － , － , － , － , － , － , － ,,,,,,,,,,,,,,,,,,,,
　資料　秋田市保健所「保健衛生事業の概要」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）　二次医療機関は４病院(市立秋田総合病院、秋田厚生医療センター、中通総合病院、秋田赤十字病院),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
