議案等に対する議員の表決状況（令和４年11月定例会）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,令和４年１２月２１日,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,公明党：公明党秋田市議会、共産党：日本共産党秋田市議会議員団,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賛否内容（○：賛成【可決・承認・認定・同意・採択・趣旨採択】、×：反対【否決・不承認・不認定・不同意・不採択】、欠：欠席、除：除斥、退：退席、議：議長）,,,,,,,,,,,,,
番号,,件　名,"議決
結果",秋水会,,,,,,,,,,,,,,フロンティア秋田,,,,,,市民クラブ,,,,,公明党,,,,共産党,,,,そうせい,,議長,,,,,,,,,,,,,
,,,,荻　原　貴　幸,工　藤　知　彦,細　川　信　二,安　井　正　浩,川　口　雅　丈,佐　藤　宏　悦,伊　藤　一　榮,伊　藤　巧　一,熊　谷　重　隆,菅　原　琢　哉,渡　辺　正　宏,小野寺　　　誠,小木田　喜美雄,赤　坂　光　一,山　崎　宗　雄,後　藤　　　良,船　木　　　純,藤　田　 　信,倉　田　芳　浩,小　林　一　夫,安　井　誠　悦,藤　枝　隆　博,見　上　万里子,工　藤　新　一,花　田　清　美,牧　野　　　守,武　田　正　子,石　塚　秀　博,成　沢　淳　子,奈　良　順　子,佐　藤　広　久,鈴　木　　 知,佐　藤　純　子,小　松　　 健,齊　藤 　　勝,岩　谷　政　良,,,,,,,,,,,,,
市長提出,121,秋田市個人情報の保護に関する法律施行条例を設定する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,122,秋田市情報公開・個人情報保護審査会条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,123,秋田市公文書管理条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,124,秋田市職員の定年等に関する条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,125,外国の地方公共団体の機関等に派遣される職員の処遇等に関する条例等の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,126,秋田市職員給与条例等の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,127,秋田市職員の降給の事由に関する条例を設定する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,128,秋田市職員の退職手当に関する条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,129,秋田市職員定数条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
