議案に対する議員の表決状況（令和５年２月定例会）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,令和５年３月７日,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,公明党：公明党秋田市議会、共産党：日本共産党秋田市議会議員団,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賛否内容（○：賛成【可決・承認・認定・同意・採択・趣旨採択】、×：反対【否決・不承認・不認定・不同意・不採択】、欠：欠席、除：除斥、退：退席、議：議長）,,,,,,,,,,,,,
番号,,件　名,"議決
結果",秋水会,,,,,,,,,,,,,,フロンティア秋田,,,,,,市民クラブ,,,,,公明党,,,,共産党,,,,そうせい,,議長,,,,,,,,,,,,,
,,,,荻　原　貴　幸,工　藤　知　彦,細　川　信　二,安　井　正　浩,川　口　雅　丈,佐　藤　宏　悦,伊　藤　一　榮,伊　藤　巧　一,熊　谷　重　隆,菅　原　琢　哉,渡　辺　正　宏,小野寺　　　誠,小木田　喜美雄,赤　坂　光　一,山　崎　宗　雄,後　藤　　　良,船　木　　　純,藤　田　 　信,倉　田　芳　浩,小　林　一　夫,安　井　誠　悦,藤　枝　隆　博,見　上　万里子,工　藤　新　一,花　田　清　美,牧　野　　　守,武　田　正　子,石　塚　秀　博,成　沢　淳　子,奈　良　順　子,佐　藤　広　久,鈴　木　　 知,佐　藤　純　子,小　松　　 健,齊　藤 　　勝,岩　谷　政　良,,,,,,,,,,,,,
市長提出,18,令和４年度秋田市一般会計補正予算（第10号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,19,令和４年度秋田市土地区画整理会計補正予算（第３号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,20,令和４年度秋田市市有林会計補正予算（第１号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,21,令和４年度秋田市市営墓地会計補正予算（第２号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,22,令和４年度秋田市廃棄物発電会計補正予算（第２号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,23,令和４年度秋田市病院事業債管理会計補正予算（第１号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,24,令和４年度秋田市学校給食費会計補正予算（第３号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,25,令和４年度秋田市国民健康保険事業会計補正予算（第２号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
,26,令和４年度秋田市介護保険事業会計補正予算（第３号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,○,○,○,議,,,,,,,,,,,,,
