１５　人 口 集 中 地 区 の 推 移,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,各年１０月１日現在,
年次,人　 口　 集　 中　 地　 区,,,,,,,全　　  市,,,
,面積,,人口,,人口密度,全市に占める割合,,面積,人口,人口密度,
,実数,対前回比,実数,対前回比,,面積,人口,,,,
,（Km2）,（％）,（人）,（％）,(人/Km2),（％）,（％）,（Km2）,（人）,(人/Km2),
昭和35年,15.20 , － ,"123,823", － ,"8,146.3 ",3.31 ,60.8 ,458.92 ,"203,661 ",443.8 ,
40,18.90 ,124.3 ,"136,587 ",110.3 ,"7,226.8 ",4.12 ,63.1 ,458.89 ,"216,607 ",472.0 ,
45,23.90 ,126.5 ,"156,002 ",114.2 ,"6,527.3 ",5.21 ,66.1 ,458.88 ,"235,873 ",514.0 ,
50,32.00 ,133.9 ,"188,836 ",121.0 ,"5,901.1 ",6.97 ,72.3 ,458.93 ,"261,246 ",569.3 ,
55,38.70 ,120.9 ,"217,056 ",114.9 ,"5,608.7 ",8.43 ,76.2 ,459.26 ,"284,863 ",620.3 ,
60,45.40 ,117.3 ,"239,334 ",110.3 ,"5,271.7 ",9.89 ,80.7 ,459.26 ,"296,400 ",645.4 ,
平成２年,48.50 ,106.8 ,"249,533 ",104.3 ,"5,145.0 ",10.55 ,82.5 ,459.61 ,"302,362 ",657.9 ,
７,50.40 ,103.9 ,"259,620 ",104.0 ,"5,151.2 ",10.96 ,83.2 ,459.89 ,"311,948 ",678.3 ,
12,52.40 ,104.0 ,"265,711 ",102.3 ,"5,070.8 ",11.39 ,83.7 ,460.10 ,"317,625 ",690.3 ,
17,53.60 ,102.3 ,"263,485 ",99.2 ,"4,915.8 ",5.92 ,79.1 ,905.67 ,"333,109 ",367.8 ,
22,53.99 ,100.7 ,"254,970 ",96.8 ,"4,722.5 ",5.96 ,78.8 ,905.67 ,"323,600 ",357.3 ,
27,54.76 ,101.4 ,"250,569 ",98.3 ,"4,575.8 ",6.04 ,79.3 ,906.09 ,"315,814 ",348.5 ,
令和２年,54.85 ,100.2 ,"245,611 ",98.0 ,"4,477.9 ",6.05 ,79.8 ,906.07 ,"307,672 ",339.6 ,
　資料　総務省統計局「国勢調査報告」,,,,,,,,,,,
"　　注）　人口集中地区とは、原則として①人口密度の高い(１K㎡当たり4,000人以上）調査区が互いに隣接して、②人口5,000人以上を有し、",,,,,,,,,,,
"　　　　③人口密度が１K㎡当たり4,000人以上となる地域をいう。",,,,,,,,,,,
