４９　農　業　の　地　区　別　現　況,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,令和２年２月１日現在,,,,,
地区別,個人経営体数（経営体）,"農業
従事者（人）",経 営 耕 地 面 積 （ha）,,,,経営耕地面積規模別経営体数（経営体）,,,,,,,,,,
,,,総数,田,樹園地,畑,0.5ha,0.5以上,1.0以上,1.5以上,2.0以上,3.0ha,,,,,
,,,,,,,未満,1.0未満,1.5未満,2.0未満,3.0未満,以上,,,,,
総　　数,"1,940 ","4,690 ","5,187 ","4,984 ",27 ,176 ,167 ,361 ,339 ,265 ,300 ,508 ,,,,,
旧秋田市,93 ,223 ,135 ,128 ,0.3 ,6 ,16 ,28 ,16 ,10 ,14 ,9 ,,,,,
太　　平,137 ,323 ,420 ,394 ,4.8 ,21 ,13 ,24 ,14 ,18 ,22 ,46 ,,,,,
外 旭 川,55 ,126 ,248 ,247 , - ,1 ,5 ,11 ,7 ,3 ,10 ,19 ,,,,,
飯　　島,74 ,185 ,225 ,218 ,0.5 ,6 ,8 ,15 ,8 ,13 ,9 ,21 ,,,,,
下 新 城,108 ,255 ,319 ,294 ,5.9 ,20 ,8 ,18 ,22 ,11 ,21 ,28 ,,,,,
上 新 城,105 ,261 ,295 ,288 ,1.8 ,5 ,5 ,20 ,21 ,11 ,18 ,30 ,,,,,
浜　　田,11 ,22 ,11 ,10 , - ,1 ,2 ,5 ,2 , - ,2 , - ,,,,,
豊　　岩,61 ,129 ,201 ,197 , - ,5 ,6 ,11 ,11 ,8 ,7 ,18 ,,,,,
仁 井 田,74 ,186 ,123 ,115 ,0.2 ,7 ,7 ,24 ,14 ,11 ,9 ,9 ,,,,,
四ツ小屋,88 ,208 ,199 ,187 ,0.2 ,12 ,6 ,13 ,16 ,17 ,16 ,20 ,,,,,
上 北 手,73 ,161 ,147 ,144 , - ,3 ,11 ,14 ,17 ,8 ,8 ,15 ,,,,,
下 北 手,58 ,147 ,141 ,123 ,0.6 ,17 ,5 ,14 ,11 ,8 ,8 ,12 ,,,,,
下　　浜,50 ,106 ,135 ,131 ,2.6 ,2 ,2 ,9 ,10 ,5 ,11 ,13 ,,,,,
金　　足,144 ,364 ,375 ,366 , - ,9 ,12 ,23 ,18 ,24 ,29 ,38 ,,,,,
和　　田,274 ,684 ,733 ,710 ,3.0 ,19 ,21 ,58 ,53 ,36 ,32 ,74 ,,,,,
岩見三内,99 ,205 ,221 ,208 ,5.6 ,7 ,13 ,23 ,25 ,9 ,11 ,18 ,,,,,
戸 米 川,84 ,215 ,273 ,264 , - ,9 ,4 ,9 ,13 ,7 ,10 ,41 ,,,,,
種　　平,75 ,187 ,232 ,215 ,1.5 ,16 ,4 ,11 ,15 ,12 ,13 ,20 ,,,,,
大 正 寺,113 ,258 ,292 ,289 , - ,3 ,6 ,13 ,26 ,22 ,17 ,29 ,,,,,
川　　添,164 ,445 ,462 ,456 , - ,6 ,13 ,18 ,20 ,32 ,33 ,48 ,,,,,
　資料　農林水産省「世界農林業ｾﾝｻｽ・農林業ｾﾝｻｽ」,,,,,,,,,,,,,,,,,
　　注）１　対象は、個人経営体である。,,,,,,,,,,,,,,,,,
　    　２　経営耕地面積（ha）の総数は、端数調整のため各地区の合計数値と誤差がある。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
