４４　主 要 文 化 施 設 の 利 用 状 況 （ Ⅳ ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,各年度末現在、各年度間,,,,,,,,,,,,,,,,,,,,,
年度,児童館,,,,,コミュニティセンター,,,,,新屋ガラス工房,,,野外音楽堂,,,,,,,,,,,,,,,,,,,,,,,
,施設数,"平均開館
日数",利用者数（人）,,,施設数,"平均開館
日数",利用者数（人）,,,開館日数,利用者数（人）,,利用日数,利用者数（人）,,,,,,,,,,,,,,,,,,,,,,
,,,総数,１館平均,"１日１館
平均",,,総数,１館平均,"１日１館
平均",,総数,1日平均,,総数,1日平均,,,,,,,,,,,,,,,,,,,,,
,,（日）,,,,,（日）,,,,（日）,,,（日）,,,,,,,,,,,,,,,,,,,,,,,
平成24年度,43 ,289 ,"522,902 ","12,161 ",42 ,24 ,358 ,"653,552 ","27,231 ",76 ,－,－,－,12 ,330 ,28 ,,,,,,,,,,,,,,,,,,,,,
25,43 ,292 ,"553,183 ","12,864 ",44 ,24 ,358 ,"624,584 ","26,024 ",73 ,－,－,－,21 ,281 ,13 ,,,,,,,,,,,,,,,,,,,,,
26,44 ,291 ,"564,999 ","12,841 ",44 ,24 ,358 ,"638,625 ","26,609 ",74 ,－,－,－,7 ,316 ,45 ,,,,,,,,,,,,,,,,,,,,,
27,44 ,292 ,"567,619 ","12,900 ",44 ,24 ,359 ,"634,410 ","26,434 ",74 ,－,－,－,5 ,64 ,13 ,,,,,,,,,,,,,,,,,,,,,
28,42 ,292 ,"563,729 ","13,422 ",46 ,27 ,358 ,"662,167 ","24,525 ",69 ,－,－,－,7 ,"1,517 ",217 ,,,,,,,,,,,,,,,,,,,,,
29,42 ,291 ,"566,292 ","13,483 ",46 ,27 ,358 ,"663,979 ","24,592 ",69 ,216 ,"21,921 ",101 ,7 ,"3,540 ",506 ,,,,,,,,,,,,,,,,,,,,,
30,42 ,290 ,"568,498 ","13,536 ",47 ,29 ,358 ,"663,646 ","22,896 ",64 ,306 ,"32,099 ",105 ,25 ,"2,115 ",85 ,,,,,,,,,,,,,,,,,,,,,
令和元年度,42 ,270 ,"506,485 ","12,059 ",44 ,30 ,359 ,"631,949 ","21,065 ",59 ,306 ,"31,551 ",103 ,22 ,"4,630 ",210 ,,,,,,,,,,,,,,,,,,,,,
２,42 ,291 ,"444,249 ","10,577 ",36 ,31 ,358 ,"469,862 ","15,156 ",42 ,286 ,"20,102 ",70 ,16 ,680 ,43 ,,,,,,,,,,,,,,,,,,,,,
３,42 ,291 ,"438,421 ","10,438 ",35 ,31 ,358 ,"508,224 ","16,394 ",46 ,308 ,"25,964 ",84 ,－,－,－,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,秋田城跡歴史資料館,,,,文化創造館,,,赤れんが郷土館,,,民俗芸能伝承館,,,土崎みなと歴史伝承館,,,佐竹史料館,,,,,,,,,,,,,,,,,,,,
,開館日数,入館者数(人),,蔵品数,開館日数,入館者数(人),,開館日数,入館者数(人),,開館日数,入館者数(人),,開館日数,入館者数(人),,開館日数,入館者数(人),,,,,,,,,,,,,,,,,,,
,,総数,１日平均,,,総数,１日平均,,総数,１日平均,,総数,１日平均,,総数,1日平均,,総数,１日平均,,,,,,,,,,,,,,,,,,
,(日),,,,(日),,,(日),,,(日),,,（日）,,,(日),,,,,,,,,,,,,,,,,,,,
平成24年度,244 ,"3,008 ",12 ,"9,894 ",－,－,－,332 ,"20,269 ",61 ,359 ,"48,231 ",134 ,－,－,－,341 ,"11,987 ",35 ,,,,,,,,,,,,,,,,,,
25,244 ,"3,006 ",12 ,"10,003 ",－,－,－,333 ,"21,313 ",64 ,359 ,"50,593 ",141 ,－,－,－,342 ,"12,620 ",37 ,,,,,,,,,,,,,,,,,,
26,244 ,"4,187 ",17 ,"10,137 ",－,－,－,333 ,"20,826 ",63 ,359 ,"50,181 ",140 ,－,－,－,334 ,"14,820 ",44 ,,,,,,,,,,,,,,,,,,
27,196 ,"2,821 ",14 ,"10,244 ",－,－,－,334 ,"21,333 ",64 ,360 ,"47,513 ",132 ,－,－,－,343 ,"14,078 ",41 ,,,,,,,,,,,,,,,,,,
28,344 ,"11,435 ",33 ,"10,385 ",－,－,－,340 ,"20,723 ",61 ,359 ,"45,150 ",126 ,－,－,－,339 ,"14,082 ",42 ,,,,,,,,,,,,,,,,,,
29,359 ,"8,132 ",22 ,"10,535 ",－,－,－,340 ,"23,742 ",70 ,359 ,"50,690 ",141 ,7 ,"3,407 ",487 ,335 ,"14,726 ",44 ,,,,,,,,,,,,,,,,,,
30,359 ,"10,123 ",28 ,"10,651 ",－,－,－,343 ,"22,681 ",66 ,359 ,"51,791 ",144 ,312 ,"40,148 ",129 ,336 ,"16,095 ",48 ,,,,,,,,,,,,,,,,,,
令和元年度,360 ,"10,339 ",29 ,"10,748 ",－,－,－,249 ,"19,265 ",77 ,360 ,"54,822 ",152 ,311 ,"25,625 ",82 ,345 ,"17,449 ",51 ,,,,,,,,,,,,,,,,,,
２,336 ,"4,887 ",15 ,"10,878 ",9 ,"3,007 ",334 ,321 ,"8,500 ",26 ,335 ,"16,820 ",50 ,288 ,"14,042 ",49 ,323 ,"6,721 ",21 ,,,,,,,,,,,,,,,,,,
３,359 ,"5,132 ",14 ,"10,960 ",306 ,"76,864 ",251 ,340 ,"9,230 ",27 ,359 ,"19,708 ",55 ,307 ,"13,553 ",44 ,331 ,"6,494 ",20 ,,,,,,,,,,,,,,,,,,
　資料　各施設,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）１　秋田城跡出土品収蔵庫は平成27年10月13日に閉館し、秋田城跡歴史資料館として平成28年４月16日にオープン。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　新屋ガラス工房は平成29年７月15日にオープン。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　３　土崎みなと歴史伝承館は平成30年３月24日にオープン。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　４　文化創造館は令和３年３月21日にオープン。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
