NO,市町村コード,都道府県名,市区町村名,名称,名称_カナ,文化財分類,種類,住所,電話番号,員数（数）,員数（単位）,所有者等,文化財指定日,備考
1,052124,秋田県,大仙市,線刻千手観音等鏡像,センコクセンジュカンノントウキョウゾウ,国指定国宝,工芸品,秋田県大仙市豊川字観音堂57,0187-63-8972,1,面,水神社,1953/11/14,中仙地域
2,052124,秋田県,大仙市,古四王神社本殿,コシオウジンジャホンデン,国指定重要文化財,建造物,秋田県大仙市大曲字古四王際30,0187-63-8972,1,棟,古四王神社,1953/11/14,大曲地域
3,052124,秋田県,大仙市,絹本著色当麻曼荼羅図,ケンポンチャクショクタイママンダラズ,国指定重要文化財,絵画,秋田県大仙市角間川町字東本町82,0187-63-8972,1,幅,浄蓮寺,1953/11/14,大曲地域
4,052124,秋田県,大仙市,刈和野の大綱引き,カリワノノオオツナヒキ,国指定重要無形民俗文化財,,秋田県大仙市刈和野,0187-63-8972,,,刈和野大綱引保存会,1984/1/19,西仙北地域
5,052124,秋田県,大仙市,払田柵跡,ホッタノサクアト,国指定史跡,,秋田県大仙市払田字仲谷地 ほか,0187-63-8972,,,大仙市 ほか,1931/3/30,仙北地域
6,052124,秋田県,大仙市,旧池田氏庭園,キュウイケダシテイエン,国指定名勝,,秋田県大仙市高梨字大嶋 ほか,0187-63-8972,,,大仙市 ほか,2004/2/27,仙北地域
7,052124,秋田県,大仙市,強首樅峰苑（旧小山田家住宅）,コワクビショウホウエン（キュウオヤマダケジュウタク）,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,1999/10/14,西仙北地域
8,052124,秋田県,大仙市,秋田県立農業科学館曲屋,アキタケンリツノウギョウカガクカンマガリヤ,国登録有形文化財,建造物,秋田県大仙市内小友字中沢171-4,0187-63-8972,1,棟,秋田県,2000/4/28,大曲地域
9,052124,秋田県,大仙市,奥田酒造店店舗兼主屋,オクダシュゾウテンテンポケンシュオク,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2009/4/28,協和地域
10,052124,秋田県,大仙市,秋田南外の仕事着,アキタナンガイノシゴトギ,国登録有形民俗文化財,,秋田県大仙市南外字松木田193-1,0187-63-8972,341,点,大仙市,2014/3/10,南外地域
11,052124,秋田県,大仙市,旧本郷家住宅主屋,キュウホンゴウケジュウタクシュオク,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域
12,052124,秋田県,大仙市,旧本郷家住宅洋館,キュウホウゴウケジュウタクヨウカン,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域
13,052124,秋田県,大仙市,旧本郷家住宅文庫蔵,キュウホンゴウケジュウタクブンコグラ,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域
14,052124,秋田県,大仙市,旧本郷家住宅味噌蔵,キュウホンゴウケジュウタクミソグラ,国登録有形文化財,建造物,秋田県大仙市角間川町字西中上町19-5,0187-63-8972,1,棟,大仙市,2016/11/29,大曲地域
15,052124,秋田県,大仙市,旧池田家住宅洋館,キュウイケダケジュウタクヨウカン,国指定重要文化財,建造物,秋田県大仙市高梨字大嶋1,0187-63-8972,1,棟,大仙市,2017/11/28,仙北地域
16,052124,秋田県,大仙市,鈴木酒造店事務所兼主屋,スズキシュゾウテンジムショケンオモヤ,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2020/4/3,中仙地域
17,052124,秋田県,大仙市,鈴木酒造店上座敷,スズキシュゾウテンカミノザシキ,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2020/4/3,中仙地域
18,052124,秋田県,大仙市,鈴木酒造店文庫蔵,スズキシュゾウテンブンコグラ,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2020/4/3,中仙地域
19,052124,秋田県,大仙市,鈴木酒造店前蔵,スズキシュゾウテンマエグラ,国登録有形文化財,建造物,秋田県大仙市内,0187-63-8972,1,棟,個人,2020/4/3,中仙地域
