市町村コード,都道府県名,市町村名,年度,歳出目的区分,決算額（千円）
052124,秋田県,大仙市,2005(平成17),議会費,501818
052124,秋田県,大仙市,2005(平成17),総務費,6558435
052124,秋田県,大仙市,2005(平成17),民生費,10162691
052124,秋田県,大仙市,2005(平成17),衛生費,4446699
052124,秋田県,大仙市,2005(平成17),労働費,312171
052124,秋田県,大仙市,2005(平成17),農林水産業費,3974949
052124,秋田県,大仙市,2005(平成17),商工費,1560626
052124,秋田県,大仙市,2005(平成17),土木費,6763131
052124,秋田県,大仙市,2005(平成17),消防費,1656020
052124,秋田県,大仙市,2005(平成17),教育費,4618930
052124,秋田県,大仙市,2005(平成17),災害復旧費,40460
052124,秋田県,大仙市,2005(平成17),公債費,6272858
052124,秋田県,大仙市,2005(平成17),諸支出金,40085
052124,秋田県,大仙市,2006(平成18）,議会費,297695
052124,秋田県,大仙市,2006(平成18）,総務費,5776846
052124,秋田県,大仙市,2006(平成18）,民生費,10026144
052124,秋田県,大仙市,2006(平成18）,衛生費,4545078
052124,秋田県,大仙市,2006(平成18）,労働費,335295
052124,秋田県,大仙市,2006(平成18）,農林水産業費,3536276
052124,秋田県,大仙市,2006(平成18）,商工費,1331112
052124,秋田県,大仙市,2006(平成18）,土木費,7244309
052124,秋田県,大仙市,2006(平成18）,消防費,1611980
052124,秋田県,大仙市,2006(平成18）,教育費,5524596
052124,秋田県,大仙市,2006(平成18）,災害復旧費,16142
052124,秋田県,大仙市,2006(平成18）,公債費,6313167
052124,秋田県,大仙市,2006(平成18）,諸支出金,40029
052124,秋田県,大仙市,2007(平成19）,議会費,296677
052124,秋田県,大仙市,2007(平成19）,総務費,6235247
052124,秋田県,大仙市,2007(平成19）,民生費,10229423
052124,秋田県,大仙市,2007(平成19）,衛生費,4559743
052124,秋田県,大仙市,2007(平成19）,労働費,187529
052124,秋田県,大仙市,2007(平成19）,農林水産業費,3086683
052124,秋田県,大仙市,2007(平成19）,商工費,1221529
052124,秋田県,大仙市,2007(平成19）,土木費,5119766
052124,秋田県,大仙市,2007(平成19）,消防費,1588246
052124,秋田県,大仙市,2007(平成19）,教育費,6371514
052124,秋田県,大仙市,2007(平成19）,災害復旧費,522826
052124,秋田県,大仙市,2007(平成19）,公債費,6610762
052124,秋田県,大仙市,2007(平成19）,諸支出金,40388
052124,秋田県,大仙市,2008(平成20）,議会費,294520
052124,秋田県,大仙市,2008(平成20）,総務費,5781653
052124,秋田県,大仙市,2008(平成20）,民生費,10680821
052124,秋田県,大仙市,2008(平成20）,衛生費,4558183
052124,秋田県,大仙市,2008(平成20）,労働費,181860
052124,秋田県,大仙市,2008(平成20）,農林水産業費,2854404
052124,秋田県,大仙市,2008(平成20）,商工費,1609131
052124,秋田県,大仙市,2008(平成20）,土木費,5003491
052124,秋田県,大仙市,2008(平成20）,消防費,1679570
052124,秋田県,大仙市,2008(平成20）,教育費,5042948
052124,秋田県,大仙市,2008(平成20）,災害復旧費,52858
052124,秋田県,大仙市,2008(平成20）,公債費,6489557
052124,秋田県,大仙市,2008(平成20）,諸支出金,30000
052124,秋田県,大仙市,2009(平成21）,議会費,282411
052124,秋田県,大仙市,2009(平成21）,総務費,6790797
052124,秋田県,大仙市,2009(平成21）,民生費,10854878
052124,秋田県,大仙市,2009(平成21）,衛生費,4759695
052124,秋田県,大仙市,2009(平成21）,労働費,235174
052124,秋田県,大仙市,2009(平成21）,農林水産業費,3019666
052124,秋田県,大仙市,2009(平成21）,商工費,1430079
052124,秋田県,大仙市,2009(平成21）,土木費,6594588
052124,秋田県,大仙市,2009(平成21）,消防費,1627409
052124,秋田県,大仙市,2009(平成21）,教育費,5249119
052124,秋田県,大仙市,2009(平成21）,災害復旧費,13636
052124,秋田県,大仙市,2009(平成21）,公債費,6680615
052124,秋田県,大仙市,2009(平成21）,諸支出金,30000
052124,秋田県,大仙市,2010(平成22）,議会費,285881
052124,秋田県,大仙市,2010(平成22）,総務費,7094135
052124,秋田県,大仙市,2010(平成22）,民生費,12143794
052124,秋田県,大仙市,2010(平成22）,衛生費,4721258
052124,秋田県,大仙市,2010(平成22）,労働費,218036
052124,秋田県,大仙市,2010(平成22）,農林水産業費,2949146
052124,秋田県,大仙市,2010(平成22）,商工費,1686344
052124,秋田県,大仙市,2010(平成22）,土木費,5672356
052124,秋田県,大仙市,2010(平成22）,消防費,1619743
052124,秋田県,大仙市,2010(平成22）,教育費,6388667
052124,秋田県,大仙市,2010(平成22）,災害復旧費,180916
052124,秋田県,大仙市,2010(平成22）,公債費,6740257
052124,秋田県,大仙市,2010(平成22）,諸支出金,241577
052124,秋田県,大仙市,2011(平成23）,議会費,383297
052124,秋田県,大仙市,2011(平成23）,総務費,5095121
052124,秋田県,大仙市,2011(平成23）,民生費,12614070
052124,秋田県,大仙市,2011(平成23）,衛生費,5208932
052124,秋田県,大仙市,2011(平成23）,労働費,249736
052124,秋田県,大仙市,2011(平成23）,農林水産業費,3191305
052124,秋田県,大仙市,2011(平成23）,商工費,1832750
052124,秋田県,大仙市,2011(平成23）,土木費,5820449
052124,秋田県,大仙市,2011(平成23）,消防費,1749981
052124,秋田県,大仙市,2011(平成23）,教育費,4685018
052124,秋田県,大仙市,2011(平成23）,災害復旧費,342264
052124,秋田県,大仙市,2011(平成23）,公債費,6143371
052124,秋田県,大仙市,2011(平成23）,諸支出金,0
052124,秋田県,大仙市,2012(平成24）,議会費,335112
052124,秋田県,大仙市,2012(平成24）,総務費,5087380
052124,秋田県,大仙市,2012(平成24）,民生費,12387008
