１４１　　雇　　用　　保　　険　　＜ Ⅲ ＞,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
（３）失業給付金支給状況,,,,,,,,,,,,,,,,,,,,,,,     各年度間 単位：千円,
年度,求職者給付,,,,,,,,,,,,,特例求職者給付,,日雇求職者給付,,就職者促進給付,,,,"高年齢求職者
給付金",,
,支給総額,基本手当,,技能習得手当,,,,,,寄宿手当,,傷病手当,,特例一時金,,"日雇労働
求職者
給付金",,"就業手当
再就職手当
常用就職支度手当　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　就業促進定着手当",,"移転費
求職活動支援費",,,,
,,,,受講手当,,"特定職種
受講手当",,通所手当,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"受給者
実人員",支給額,"受給者
実人員",支給額,"受給者
実人員",支給額,"受給者
実人員",支給額,"受給者
実人員",支給額,"受給者
実人員",支給額,受給者数,支給額,"受給者
実人員",支給額,支給人員,支給額,支給人員,支給額,受給者数,支給額,
,,,,,,,,,,,,,,,,,,,,,,,,
平成24年度,"2,576,336 ","23,116 ","2,542,117 ","1,515 ","11,872 ", － , － ,"1,737 ","12,417 ", － , － ,72 ,"9,929 ","1,080 ","207,741 ", 2 , 38 ,"1,504 ","352,201 ", － , － ,535 ,"103,439 ",
25,"2,335,161 ","20,868 ","2,208,212 ","1,178 ","8,288 ", － , － ,"1,565 ","11,370 ", － , － ,66 ,"7,291 ",994 ,"190,536 ", － , － ,"1,627 ","396,651 ", － , － ,600 ,"118,526 ",
26,"2,048,876 ","18,979 ","2,022,303 ","1,181 ","8,094 ", － , － ,"1,579 ","11,700 ", － , － ,47 ,"6,779 ",906 ,"175,419 ", － , － ,"1,710 ","393,616 ", － , － ,633 ,"126,903 ",
27,"1,920,234 ","17,666 ","1,889,587 ","1,326 ","9,264 ", － , － ,"1,789 ","11,954 ", － , － ,63 ,"9,341 ",825 ,"157,683 ", － , － ,"1,979 ","445,052 ", 2 , 368 ,773 ,"153,507 ",
28,"1,815,322 ","16,245 ","1,784,075 ","1,162 ","8,015 ", － , － ,"1,517 ","11,205 ", － , － ,80 ,"12,025 ",778 ,"148,529 ", － , － ,"1,974 ","463,598 ", 1 , 140 ,853 ,"175,761 ",
29,"1,834,490 ","15,938 ","1,807,143 ","1,162 ","8,116 ", － , － ,"1,536 ","10,482 ", － , － ,77 ,"8,748 ",699 ,"136,522 ", － , － ,"1,879 ","532,052 ", 67 ," 1,302 ",844 ,"169,738 ",
30,"1,736,710 ","15,299 ","1,715,253 ","1,064 ","7,382 ", － , － ,"1,399 ","9,449 ", 5 , 57 ,39 ,"4,567 ",666 ,"129,781 ", － , － ,"1,927 ","575,095 ",48 ,"2,020 ","1,061 ","218,468 ",
令和元年度,"1,916,114 ","16,777 ","1,896,119 ",980 ,"6,894 ", － , － ,"1,428 ","8,835 ", － , － ,29 ,"4,266 ",625 ,"122,801 ", － , － ,"2,155 ","665,745 ",69 ,"2,688 ","1,106 ","233,812 ",
２,"2,653,881 ","21,276 ","2,623,688 ","1,068 ","7,161 ", － , － ,"1,671 ","10,654 ", － , － ,86 ,"12,377 ",570 ,"112,575 ", － , － ,"1,816 ","555,426 ",34 ,"1,372 ","1,236 ","246,587 ",
３,"2,240,976 ","17,227 ","1,992,313 ","1,073 ","7,421 ", - , - ,"1,705 ","11,321 ", - , - ,57 ,"9,863 ",557 ,"108,672 ", - , - ,"1,813 ","596,746 ",27 ,902 ,"1,381 ","288,702 ",
　資料　秋田公共職業安定所,,,,,,,,,,,,,,,,,,,,,,.,,
　　注）１　本表は、同職安管内分である。,,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　千円未満の端数を四捨五入しているため、内訳と合計が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,
　　　　３　就職者促進給付の「移転費、求職活動支援費」欄は、平成28年度までは移転費のみの計上である。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
