開設者名,施設名,市町村名,住所,電話番号,許可番号,許可区分,有効期間の開始日,有効期間の終了日
有限会社矢野薬品,矢野薬局,秋田市,泉中央五丁目18番12号,018-863-5005,04-072800,薬局,4/29/17,4/28/23
株式会社至誠堂下山薬局本店,元町薬局,秋田市,御所野元町四丁目14番31号,018-893-5391,04-1000711,薬局,6/1/17,5/31/23
株式会社サルース,南秋調剤薬局　土崎店,秋田市,土崎港中央一丁目17番30号,018-816-0401,04-073100,薬局,6/15/17,6/14/23
株式会社スプリング,スプリング調剤薬局,秋田市,御所野地蔵田二丁目１番７号,018-829-2786,04-073000,薬局,6/15/17,6/14/23
有限会社テクノワールド,みさき薬局,秋田市,土崎港東四丁目6番31号,018-845-8989,04-062700,薬局,6/18/17,6/17/23
有限会社中央薬局,中央薬局　勝平店,秋田市,新屋勝平町２番32号 ,018-864-5392,04-058700,薬局,8/15/17,8/14/23
株式会社いわま薬局,外旭川いわま薬局,秋田市,外旭川字待合13番地６,018-893-6555,04-1000719,薬局,9/9/17,9/8/23
有限会社みつば薬局,プライム薬局,秋田市,中通二丁目６番44号 ニュー金座街ビル４Ｆ,018-833-5334,04-1000720,薬局,9/9/17,9/8/23
株式会社アミック,薬局エール　自衛隊通店,秋田市,土崎港東四丁目４番68号 ,018-847-3991,04-058800,薬局,9/13/17,9/12/23
有限会社みどりケアサービス,さわやか薬局　新屋店,秋田市,新屋表町４番１号,018-888-8371,04-063200,薬局,9/22/17,9/21/23
有限会社加賀屋薬局,ほどの薬局,秋田市,保戸野八丁２番10号,018-865-2535,04-073400,薬局,10/1/17,9/30/23
有限会社加賀屋薬局,勝又薬局,秋田市,横森三丁目１番４号,018-834-3240,04-073500,薬局,10/1/17,9/30/23
株式会社ピー・アンド・エス,なでしこ薬局,秋田市,山王新町19番30号,018-893-6800,04-1000728,薬局,10/7/17,10/6/23
株式会社サノ・ファーマシー,佐野薬局　赤沼店,秋田市,広面字近藤堰添48番地１,018-853-7555,09-101-000043,薬局,11/9/17,11/8/23
佐藤　晃子,専仁堂薬局,秋田市,牛島東一丁目２番７号,018-835-4645,09-101-000044,薬局,11/29/17,11/28/23
有限会社リースリング,マリン薬局,秋田市,土崎港相染町字大谷地36番地38,018-857-2325,04-059300,薬局,12/15/17,12/14/23
有限会社城東薬局,城東薬局,秋田市,広面字鍋沼56番地１ ,018-831-6777,04-042900,薬局,12/25/17,12/24/23
株式会社グッドネイバー,小泉薬局,秋田市,南通亀の町14番20号,018-832-3981,04-001900,薬局,1/1/18,12/31/23
株式会社サノ・ファーマシー,佐野薬局　中央店,秋田市,川元山下町７番35号,018-824-6222,04-064500,薬局,1/1/18,12/31/23
株式会社サノ・ファーマシー,山王佐野薬局,秋田市,山王中園町３番11号　カメイビル１階,018-823-3371,04-064200,薬局,1/1/18,12/31/23
株式会社サノ・ファーマシー,追分佐野薬局,秋田市,下新城中野字琵琶沼226番地１,018-873-7002,04-064300,薬局,1/1/18,12/31/23
株式会社サノ・ファーマシー,八橋佐野薬局,秋田市,八橋本町三丁目１番45号 ユニバースビル１階,018-883-4088,04-064400,薬局,1/1/18,12/31/23
株式会社ピー・アンド・エス,コスモス薬局,秋田市,仁井田新田一丁目１番40号,018-829-0555,04-1000734,薬局,1/1/18,12/31/23
有限会社かわた薬品,みるく調剤薬局,秋田市,八橋田五郎二丁目13番17号,018-827-6433,04-074100,薬局,1/23/18,1/22/24
能登　泰之,ハーモニー薬局,秋田市,仁井田二ツ屋一丁目３番44号,018-831-3911,04-1000737,薬局,2/1/18,1/31/24
株式会社サノ・ファーマシー,佐野調剤薬局,秋田市,保戸野通町４番15号,018-864-0866,04-1000738,薬局,2/13/18,2/12/24
有限会社中通薬局,雄和薬局,秋田市,雄和妙法字上大部133番地３ ,018-886-5027,04-049700,薬局,3/1/18,2/29/24
株式会社きららホールディングス,きらら調剤薬局,秋田市,川元開和町１番35号 東和ビル１Ｆ,018-827-5288,09-101-000045,薬局,3/9/18,3/8/24
株式会社至誠堂下山薬局本店,いちご調剤薬局,秋田市,川元山下町７番22号,018-853-4321,04-1000745,薬局,4/1/18,3/31/24
有限会社亀の町薬局,有限会社亀の町薬局,秋田市,南通亀の町４番１号,018-834-0143,04-035000,薬局,ggg2018年4月1日,ggg2024年3月31日
有限会社八橋薬局,やばせ薬局,秋田市,寺内堂ノ沢一丁目４番15号,018-846-1233,09-101-000047,薬局,4/1/18,3/31/24
有限会社リミックス,サン薬局,秋田市,飯島飯田一丁目１番１号,018-880-2833,04-064900,薬局,4/14/18,4/13/24
株式会社エスワイエス,河畔薬局　秋田店,秋田市,南通亀の町３番18号,018-836-7517,04-000200,薬局,4/15/18,4/14/24
株式会社舛屋薬局,株式会社舛屋薬局,秋田市,土崎港中央三丁目４番35号,018-845-4181,04-1000752,薬局,5/1/18,4/30/24
株式会社メディハーツ,すずらん薬局　飯島店,秋田市,飯島飯田一丁目５番５号,018-857-0770,04-065100,薬局,5/17/18,5/16/24
有限会社グリム薬局,グリム薬局,秋田市,中通五丁目７番40号 ,018-832-0385,04-043700,薬局,5/18/18,5/17/24
有限会社小町堂薬局,小町堂薬局,秋田市,御野場二丁目13番11号,018-839-0795,04-000600,薬局,6/1/18,5/31/24
一般財団法人丁酉会,丁酉会薬局,秋田市,広面字糠塚118番地１ ,018-835-8788,04-030800,薬局,6/13/18,6/12/24
有限会社藤花会,藤井薬局,秋田市,手形字中谷地325番地,018-832-9383,04-000300,薬局,6/23/18,6/22/24
株式会社ホーク,やよい薬局,秋田市,旭北栄町５番18号,018-864-8334,04-065800,薬局,8/1/18,7/31/24
有限会社手塚薬局,御野場ひかり薬局,秋田市,仁井田新田二丁目15番30号,018-889-9002,04-065900,薬局,8/1/18,7/31/24
有限会社メディアス,ほの花調剤薬局　いずみ店,秋田市,泉北三丁目17番17号,018-838-6206,04-075000,薬局,8/3/18,8/2/24
有限会社オーテス,和田薬局,秋田市,土崎港中央六丁目15番12号 ,018-846-3417,04-051200,薬局,8/15/18,8/14/24
株式会社ピー・アンド・エス,アイリス薬局,秋田市,牛島東五丁目９番39号,018-835-6040,04-074900,薬局,8/16/18,8/15/24
株式会社青龍,あらや調剤薬局,秋田市,新屋元町23番５号,018-827-3047,09-101-000049,薬局,9/1/18,8/31/24
有限会社赤井,さくら薬局　御野場店,秋田市,仁井田新田二丁目13番22号,018-892-6565,04-075400,薬局,9/4/18,9/3/24
株式会社サノ・ファーマシー,佐野薬局　御野場店,秋田市,仁井田本町五丁目７番６号,018-853-6722,09-101-000053,薬局,9/11/18,9/10/24
株式会社舛屋薬局,舛屋薬局　ひがし店,秋田市,土崎港東三丁目２番23号,018-880-5210,04-066200,薬局,9/29/18,9/28/24
クオール株式会社,クオール薬局　秋田飯島店,秋田市,飯島字堀川83番地１,018-880-5189,09-101-000050,薬局,10/1/18,9/30/24
株式会社アインファーマシーズ,アイン薬局　保戸野店,秋田市,保戸野中町１番25号,018-883-1300,09-101-000052,薬局,10/1/18,9/30/24
株式会社ファーマみらい,共創未来　土崎みなと薬局,秋田市,土崎港中央五丁目６番26号,018-857-3214,09-101-000051,薬局,ggg2018年10月1日,ggg2024年9月30日
株式会社ホーク,港中央薬局,秋田市,新屋大川町15番１号,018-828-9060,04-075600,薬局,10/1/18,9/30/24
有限会社小池調剤薬局,調剤薬局　エンゼル,秋田市,広面字鍋沼35番地,018-825-5885,04-1000762,薬局,10/1/18,9/30/24
株式会社山田相談薬局,株式会社山田相談薬局,秋田市,大町一丁目６番21号,018-863-0063,04-052000,薬局,10/3/18,10/2/24
株式会社いわま薬局,大町いわま薬局,秋田市,大町三丁目４番40号,018-893-5777,09-101-000054,薬局,10/15/18,10/14/24
株式会社いわま薬局,旭南いわま薬局,秋田市,旭南一丁目１番６号,018-893-5677,09-101-000055,薬局,10/15/18,10/14/24
株式会社アミック,中通六丁目薬局,秋田市,中通六丁目１番55号,018-834-6037,04-031300,薬局,10/30/18,10/29/24
有限会社赤井,みわ薬局,秋田市,八橋三和町13番16号 ,018-823-5115,04-036500,薬局,11/4/18,11/3/24
株式会社いわま薬局,アルヴェいわま薬局,秋田市,東通仲町４番１号 秋田拠点センターアルヴェ１階,018-884-0911,04-076000,薬局,12/1/18,11/30/24
有限会社市民薬局,あけぼの薬局,秋田市,川元開和町１番１号,018-866-8669,04-1000770,薬局,12/1/18,11/30/24
株式会社青龍,長尾薬局　御野場店,秋田市,御野場新町四丁目７番25号,018-839-8301,09-101-000056,薬局,3/1/19,2/28/25
株式会社フォーベル,ライフ薬局なかこうじ,秋田市,中通二丁目２番７号 トラストワンビル21　４階,018-827-5837,09-101-000057,薬局,ggg2019年3月6日,ggg2025年3月5日
有限会社赤井,セントラル薬局南通店,秋田市,南通宮田１番８号,018-887-5171,09-101-000058,薬局,3/18/19,3/17/25
株式会社池田薬局,池田薬局　ポプラ店,秋田市,中通四丁目１番40号,018-835-1535,09-101-000059,薬局,4/1/19,3/31/25
有限会社中央薬局,中央薬局　将軍野店,秋田市,将軍野青山町３番16号,018-853-6877,04-076200,薬局,4/1/19,3/31/25
株式会社ピー・アンド・エス,ユーカリ薬局,秋田市,飯島字長山下128番地４,018-874-9101,09-101-000002,薬局,4/11/19,4/10/25
株式会社神成堂,かんなり堂薬局フォンテ店,秋田市,中通二丁目８番１号 フォンテAKITA402-1,018-827-3820,09-101-000001,薬局,4/11/19,4/10/25
有限会社赤井,赤井ごしょの薬局,秋田市,御所野元町五丁目３番４号,018-892-7505,04-066600,薬局,4/16/19,4/15/25
