都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考,
52124,1,秋田県,大仙市,大曲駅前こども園,オオマガリエキマエコドモエン,認定こども園（保育所型）,秋田県大仙市大曲通町1-43,　,39.46385,140.47805,大曲駅から徒歩5分,駐車スペース9台,0187-63-5118,,0187-73-6420,,社会福祉法人大曲保育会,2016/3/28,175,0歳から,月火水木金土,7:00,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,2,秋田県,大仙市,大曲中央こども園,オオマガリチュウオウコドモエン,認定こども園（幼保連携型）,秋田県大仙市大曲花園町4-88,　,39.45422,140.47516,大曲駅から車で5分,駐車スペース12台,0187-62-1027,,0187-73-5201,,社会福祉法人大曲保育会,2019/4/1,170,0歳から,月火水木金土,7:00,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,3,秋田県,大仙市,四ツ屋こども園,ヨツヤコドモエン,認定こども園（幼保連携型）,秋田県大仙市四ツ屋字西下瀬159,　,39.49287,140.50079,北大曲駅から徒歩6分,駐車スペース12台,0187-66-1517,,0187-73-5315,,社会福祉法人大曲保育会,2019/4/1,95,0歳から,月火水木金土,7:00,19:00,認定区分・利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,4,秋田県,大仙市,角間川保育園,カクマガワホイクエン,認可私立保育所,秋田県大仙市角間川町字八幡前47,　,39.40263,140.48319,大曲駅から車で15分,駐車スペース10台,0187-65-2731,,0187-73-5857,,社会福祉法人大曲保育会,1982/4/1,50,0歳から,月火水木金土,7:30,18:30,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,5,秋田県,大仙市,内小友保育園,ウチオトモホイクエン,認可私立保育所,秋田県大仙市内小友字仙北屋3-1,　,39.41953,140.44944,大曲駅から車で13分,駐車スペース12台,0187-68-2034,,0187-73-5834,,社会福祉法人大曲保育会,1964/9/1,50,0歳から,月火水木金土,7:30,18:30,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,6,秋田県,大仙市,大川西根保育園,オオカワニシネホイクエン,認可私立保育所,秋田県大仙市大曲西根字小館218,　,39.4494,140.45411,大曲駅から車で10分,駐車スペース10台,0187-68-3530,,0187-73-5960,,社会福祉法人大曲保育会,1964/9/1,60,0歳から,月火水木金土,7:00,18:30,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,7,秋田県,大仙市,藤木保育園,フジキホイクエン,認可私立保育所,秋田県大仙市藤木字甲本藤木79-2,　,39.41205,140.49551,大曲駅から車で11分,駐車スペース12台,0187-65-2825,,0187-88-8839,,社会福祉法人大曲保育会,1965/7/1,40,0歳から,月火水木金土,7:30,18:30,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,8,秋田県,大仙市,大曲乳児保育園,オオマガリニュウジホイクエン,認可私立保育所,秋田県大仙市大曲住吉町2-29,　,39.44838,140.48575,大曲駅から車で5分,駐車スペース10台,0187-62-3080,,0187-62-8815,,社会福祉法人大曲保育会,1971/4/1,50,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,0歳児～2歳児まで受入,
52124,9,秋田県,大仙市,大曲東保育園,オオマガリヒガシホイクエン,認可私立保育所,秋田県大仙市大曲須和町1丁目3-53,　,39.45624,140.4828,大曲駅から徒歩16分,駐車スペース5台,0187-63-2347,,0187-73-5284,,社会福祉法人大曲保育会,1973/12/1,110,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
52124,10,秋田県,大仙市,大曲南保育園,オオマガリミナミホイクエン,認可私立保育所,秋田県大仙市大曲住吉町2-62,　,39.44822,140.48514,大曲駅から車で5分,駐車スペース23台,0187-63-1314,,0187-73-5105,,社会福祉法人大曲保育会,1975/4/1,170,0歳から,月火水木金土,7:00,19:00,利用区分により利用時間が異なる,有,http://www.oomagarihoikukai.jp/,,
