１１８　 二酸化窒素(NO２）濃度の測定結果,,,,,,,,,,,
,,,,,,,,,,,
（１）環境基準との比較,,,,,,,,,,令和３年度,
項            目,,,山王,土崎,新屋,堀川,将軍野,仁井田,自排茨島,広面,
有  効  測  定 日 数(日),,,363 ,363 ,361 ,361 ,344 ,364 ,363 ,363 ,
測　　定　　時　　間(時間),,,"8,674 ","8,631 ","8,590 ","8,661 ","8,206 ","8,631 ","8,681 ","8,667 ",
１時間値 の 最 高 値(ppm),,,0.047 ,0.041 ,0.070 ,0.039 ,0.043 ,0.054 ,0.053 ,0.046 ,
"１日平均値の
年　間　９８　％　値(ppm)",,,0.013 ,0.016 ,0.017 ,0.007 ,0.011 ,0.016 ,0.017 ,0.012 ,
１日平均値が０.０６ppmを,,,,,,,,,,,
　　　　　超えた日数(日),,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
　　　　　　その割合(％),,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
"98％ 値評価による
１日平均値が０.０６ppmを
　　　　　超えた日数(日)",,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
,,,,,,,,,,,
（２）年平均値の推移,,,,,,,,各年度間　単位：ppm,,,
年　度,山王,土崎,新屋,堀川,将軍野,仁井田,自排茨島,広面,,,
平成24年度,0.010 ,0.011 ,0.007 ,0.004 ,0.004 ,0.006 ,0.015 ,0.006 ,,,
25,0.011 ,0.010 ,0.007 ,0.004 ,0.005 ,0.006 ,0.014 ,0.006 ,,,
26,0.012 ,0.009 ,0.006 ,0.004 ,0.005 ,0.005 ,0.013 ,0.005 ,,,
27,0.012 ,0.009 ,0.007 ,0.003 ,0.005 ,0.005 ,0.012 ,0.004 ,,,
28,0.007 ,0.008 ,0.007 ,0.003 ,0.004 ,0.006 ,0.011 ,0.005 ,,,
29,0.006 ,0.008 ,0.006 ,0.003 ,0.004 ,0.005 ,0.011 ,0.004 ,,,
30,0.006 ,0.008 ,0.006 ,0.003 ,0.004 ,0.005 ,0.010 ,0.004 ,,,
令和元年度,0.005 ,0.007 ,0.006 ,0.003 ,0.004 ,0.005 ,0.009 ,0.003 ,,,
２,0.005 ,0.007 ,0.005 ,0.003 ,0.004 ,0.005 ,0.009 ,0.004 ,,,
３,0.005 ,0.006 ,0.005 ,0.003 ,0.004 ,0.005 ,0.008 ,0.004 ,,,
　資料　秋田市環境保全課,,,,,,,,,,,
　　注）１　オゾンを用いる化学発光法による測定。,,,,,,,,,,,
　　　　２　環境基準：１時間値の１日平均値が0.04ppmから0.06ppmまでのゾーン内又はそれ以下であること。,,,,,,,,,,,
　　　　３　自排茨島局は、自動車排出ガス測定局である。,,,,,,,,,,,
