１６７　救　急　車　の　出　動　状　況,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年間,,,,,,,,
年次,出動件数（件）,,,,,,,,,,,,,,,１日平均出動件数,搬送人員,"不搬送
件数",,,,,,,,
,総 数,火災,自然災害,水難,交通,労働災害,運動競技,一般負傷,加害,自損行為,急病,その他,,,,,,,,,,,,,,
,,,,,,,,,,,,総数,転院搬送,医師搬送,その他,（件）,（人）,（件）,,,,,,,,
平成25年,"11,492 ",71 , － ,6 ,774 ,90 ,94 ,"1,596 ",49 ,159 ,"7,733 ",920 ,739 , 4 ,177 ,31.5 ,"10,720 ",875 ,,,,,,,,
26,"11,644 ",65 ,1 ,7 ,798 ,94 ,88 ,"1,592 ",40 ,155 ,"7,888 ",916 ,734 , 6 ,176 ,31.9 ,"10,911 ",830 ,,,,,,,,
27,"11,405 ",52 , 1 ,9 ,786 ,87 ,74 ,"1,521 ",43 ,135 ,"7,821 ",875 ,686 ,9 ,180 ,31.2 ,"10,759 ",742 ,,,,,,,,
28,"11,645 ",59 , 1 ,6 ,817 ,101 ,122 ,"1,656 ",44 ,117 ,"7,901 ",821 ,672 , 2 ,147 ,31.9 ,"10,995 ",737 ,,,,,,,,
29,"11,939 ",58 , 2 ,9 ,818 ,102 ,108 ,"1,629 ",41 ,118 ,"8,231 ",823 ,679 ,2 ,142 ,32.7 ,"11,279 ",746 ,,,,,,,,
30,"12,128 ",43 , 2 ,12 ,712 ,107 ,107 ,"1,778 ",31 ,121 ,"8,361 ",854 ,697 ,1 ,156 ,33.2 ,"11,421 ",779 ,,,,,,,,
令和元年,"12,216 ",55 , － ,7 ,699 ,97 ,93 ,"1,746 ",36 ,125 ,"8,465 ",893 ,745 ,3 ,145 ,33.5 ,"11,542 ",759 ,,,,,,,,
２,"11,343 ",64 ,3 ,14 ,594 ,101 ,55 ,"1,516 ",31 ,137 ,"7,975 ",853 ,684 ,6 ,163 ,31.1 ,"10,542 ",866 ,,,,,,,,
３,"12,314 ",63 ,7 ,2 ,671 ,126 ,65 ,"1,825 ",38 ,160 ,"8,478 ",879 ,712 ,6 ,161 ,33.7 ,"11,517 ",866 ,,,,,,,,
４,"13,772 ",59 ,1 ,15 ,620 ,105 ,69 ,"1,929 ",39 ,139 ,"9,919 ",877 ,678 ,3 ,196 ,37.7 ,"12,520 ","1,312 ",,,,,,,,
　資料　秋田市消防本部救急課,,,,,,,,,,,,,,,,,,,,,,,,,,
