地域,年度,総数_新規(件),総数_既済(件),総数_未済(件),通常事件_新規(件),通常事件_既済(件),通常事件_未済(件),その他_新規(件),その他_既済(件),その他_未済(件)
大仙市_仙北市_美郷町管内,2005(平成17),89,91,28,81,83,28,8,8,0
大仙市_仙北市_美郷町管内,2006(平成18）,69,76,21,59,66,21,10,10,0
大仙市_仙北市_美郷町管内,2007(平成19）,57,71,7,51,65,7,6,6,0
大仙市_仙北市_美郷町管内,2008(平成20）,87,57,37,86,56,37,1,1,0
大仙市_仙北市_美郷町管内,2009(平成21）,66,82,21,56,72,21,10,10,0
大仙市_仙北市_美郷町管内,2010(平成22）,68,66,23,49,48,22,19,18,1
大仙市_仙北市_美郷町管内,2011(平成23）,65,79,9,52,65,9,13,14,0
大仙市_仙北市_美郷町管内,2012(平成24）,42,46,5,30,34,5,12,12,0
大仙市_仙北市_美郷町管内,2013(平成25）,48,44,9,26,22,9,22,22,0
大仙市_仙北市_美郷町管内,2014(平成26）,42,36,15,33,27,15,9,9,0
大仙市_仙北市_美郷町管内,2015(平成27）,36,39,12,30,33,12,6,6,0
大仙市_仙北市_美郷町管内,2016(平成28）,48,47,13,36,35,13,12,12,0
大仙市_仙北市_美郷町管内,2017(平成29）,57,60,10,40,44,9,17,16,1
大仙市_仙北市_美郷町管内,2018(平成30）,33,34,9,26,26,9,7,8,0
大仙市_仙北市_美郷町管内,2019(平成31/令和1）,47,29,27,42,24,27,5,5,0
大仙市_仙北市_美郷町管内,2020(令和2）,33,56,4,24,47,4,9,9,0
大仙市_仙北市_美郷町管内,2021(令和3）,29,26,7,21,18,7,8,8,0
