市町村コード,都道府県名,市町村名,年度,被保険者数_総数（人）,被保険者数_第1号被保険者_強制（人）,被保険者数_第1号被保険者_任意（人）,被保険者数_第3号被保険者（人）,免除者数_総数（人）,免除者数_法定（人）,免除者数_申請（人）,,,
05212,秋田県,大仙市,2004(平成16),"22,687","17,295",94,"5,298","4,468",762,"3,706",,,
05212,秋田県,大仙市,2005(平成17),"22,333","16,967",111,"5,255","5,089",794,"4,295",,,
05212,秋田県,大仙市,2006(平成18）,"21,417","16,198",113,"5,106","5,272",782,"4,490",,,
05212,秋田県,大仙市,2007(平成19）,"20,427","15,385",137,"4,905","5,068",788,"4,280",,,
05212,秋田県,大仙市,2008(平成20）,"20,042","15,245",120,"4,677","5,646",817,"4,829",,,
05212,秋田県,大仙市,2009(平成21）,"19,235","14,415",144,"4,676","5,223","1,007","4,216",,,
05212,秋田県,大仙市,2010(平成22）,"18,298","13,652",142,"4,504","4,645",892,"3,753",,,
05212,秋田県,大仙市,2011(平成23）,"17,415","12,965",119,"4,331","4,662",908,"3,754",,,
05212,秋田県,大仙市,2012(平成24）,"16,670","12,307",95,"4,268","4,794",924,"3,870",,,
05212,秋田県,大仙市,2013(平成25）,"15,642","11,392",86,"4,164","4,604",890,"3,714",,,
05212,秋田県,大仙市,2014(平成26）,"14,482","10,313",80,"4,089","4,404",869,"3,535",,,
05212,秋田県,大仙市,2015(平成27）,"13,244","9,243",68,"3,933","3,856",851,"3,005",,,
05212,秋田県,大仙市,2016(平成28）,"12,129","8,374",82,"3,673","3,598",835,"2,763",,,
05212,秋田県,大仙市,2017(平成29）,"11,166","7,646",63,"3,457","3,418",807,"2,611",,,
05212,秋田県,大仙市,2018(平成30）,"10,548","7,222",71,"3,255","3,207",808,"2,399",,,
05212,秋田県,大仙市,2019(令和1）,"10,016","6,830",69,"3,117","3,149",800,"2,349",,,
05212,秋田県,大仙市,2020(令和2）,"9,783","6,775",64,"2,944","3,146",803,"2,343",,,
05212,秋田県,大仙市,2021(令和3）,"9,212","6,444",65,"2,703","3,071",814,"2,257",,,			
