１０４　公　営　住　宅,,,,
,,,,
（１）市営住宅,,,,各年４月１日現在　単位：戸
年次,総数,,,
,総数,耐火造,簡易耐火造,木造
,,,,
平成25年,"2,392 ","2,119 ",228 , 45 
26,"2,392 ","2,119 ",228 , 45 
27,"2,392 ","2,119 ",228 ,45 
28,"2,390 ","2,119 ",208 ,63 
29,"2,388 ","2,119 ",188 ,81 
30,"2,384 ","2,119 ",160 ,105 
31,"2,384 ","2,119 ",160 ,105 
令和２年,"2,384 ","2,119 ",160 ,105 
３,"2,384 ","2,119 ",160 ,105 
４,"2,384 ","2,119 ",160 ,105 
　資料　秋田市住宅整備課,,,,
,,,,
（２）県営住宅,,,,各年４月１日現在　単位：戸
年 次,総数,,,
,総数,耐火造,簡易耐火造,木造
,,,,
平成25年,"1,789 ","1,530 ",78（準耐火）,181 
26,"1,789 ","1,530 ",78（準耐火）,181 
27,"1,789 ","1,530 ",78（準耐火）,181 
28,"1,789 ","1,530 ",78（準耐火）,181 
29,"1,789 ","1,530 ",78（準耐火）,181 
30,"1,789 ","1,530 ",78（準耐火）,181 
31,"1,789 ","1,530 ",78（準耐火）,181 
令和２年,"1,789 ","1,530 ",78（準耐火）,181 
３,"1,789 ","1,530 ",78（準耐火）,181 
４,"1,789 ","1,530 ",78（準耐火）,181 
　資料　秋田県建築住宅課,,,,
