４２　短期大学卒業者の進路状況,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,各年３月卒業者　単位：人
暦年・学科,卒業者総数,,,進学者,,就職者,,"就職
進学者",左記以外の者,"死亡・
不詳"
,計,男,女,男,女,男,女,,,
平成25年,556 ,39 ,517 , 5 ,49 ,23 ,411 , － ,65 , － 
26,568 ,45 ,523 , 2 ,46 ,30 ,421 , － ,69 , － 
27,445 ,31 ,414 ,1 ,24 ,27 ,370 , － ,23 , － 
28,352 ,22 ,330 ,1 ,9 ,21 ,315 , － ,6 , － 
29,395 ,29 ,366 ,1 ,18 ,28 ,341 , － ,7 , － 
30,335 ,17 ,318 , － ,14 ,16 ,296 , － ,9 , － 
31,349 ,18 ,331 , － ,12 ,17 ,310 , － ,10 , － 
令和２年,289 ,17 ,272 ,2 ,22 ,13 ,245 , － ,7 , － 
３,290 ,21 ,269 ,2 ,8 ,19 ,255 , － ,6 , － 
４,275 ,12 ,263 ,1 ,19 ,11 ,229 , － ,15 , － 
,,,,,,,,,,
介護福祉学科,12 ,3 ,9 , － , － ,3 ,8 , － ,1 , － 
生活文化科,115 , － ,115 , － ,15 , － ,87 , － ,13 , － 
栄養学科,40 ,3 ,37 ,1 ,3 ,2 ,33 , － ,1 , － 
"専攻科
（健康栄養専攻）", 12 , － , 12 , － , － , － , 12 , － , － , － 
保育科, 96 , 6 , 90 , － ,1 ,6 ,89 , － , － , － 
　資料　秋田栄養短期大学、聖霊女子短期大学、聖園学園短期大学、日本赤十字秋田短期大学、秋田公立美術,,,,,,,,,,
　　　工芸短期大学,,,,,,,,,,
　　注）１　秋田公立美術工芸短期大学は、平成28年以降卒業者なし。,,,,,,,,,,
        ２　秋田栄養短期大学の各年卒業者には前年９月卒業者も含む。,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
