地域,年度,総数_新規(件),総数_既済(件),総数_未済(件),民事訴訟事件_新規(件),民事訴訟事件_既済(件),民事訴訟事件_未済(件),督促事件_新規(件),督促事件_既済(件),督促事件_未済(件),民事調停事件_新規(件),民事調停事件_既済(件),民事調停事件_未済(件),その他_新規(件),その他_既済(件),その他_未済(件)
大仙市(中仙地域を除く)_美郷町管内,2005(平成17),1439,1436,102,216,235,16,408,407,9,440,418,74,375,376,3
大仙市(中仙地域を除く)_美郷町管内,2006(平成18）,1217,1272,47,215,206,25,379,383,5,284,343,15,339,340,2
大仙市(中仙地域を除く)_美郷町管内,2007(平成19）,859,864,42,190,193,22,290,295,0,223,219,19,156,157,1
大仙市(中仙地域を除く)_美郷町管内,2008(平成20）,874,836,80,232,207,47,319,317,2,158,147,30,165,165,1
大仙市(中仙地域を除く)_美郷町管内,2009(平成21）,1052,1042,90,396,364,79,373,374,1,92,115,7,191,189,3
大仙市(中仙地域を除く)_美郷町管内,2010(平成22）,793,822,61,349,371,57,236,237,0,60,64,3,148,150,1
大仙市(中仙地域を除く)_美郷町管内,2011(平成23）,648,647,62,300,309,48,192,187,5,39,35,7,117,116,2
大仙市(中仙地域を除く)_美郷町管内,2012(平成24）,422,447,37,150,172,26,140,143,2,34,32,9,98,100,0
大仙市(中仙地域を除く)_美郷町管内,2013(平成25）,351,357,31,120,122,24,114,115,1,37,41,5,80,79,1
大仙市(中仙地域を除く)_美郷町管内,2014(平成26）,283,278,36,86,86,24,99,98,2,35,33,7,63,61,3
大仙市(中仙地域を除く)_美郷町管内,2015(平成27）,272,292,16,94,104,14,97,97,2,21,28,0,60,63,0
大仙市(中仙地域を除く)_美郷町管内,2016(平成28）,297,298,15,90,93,11,138,140,0,14,10,4,55,55,0
大仙市(中仙地域を除く)_美郷町管内,2017(平成29）,241,248,8,63,67,7,112,112,0,8,11,1,58,58,0
大仙市(中仙地域を除く)_美郷町管内,2018(平成30）,319,306,21,86,81,12,150,149,1,20,16,5,63,60,3
大仙市(中仙地域を除く)_美郷町管内,2019(平成31/令和1）,274,274,21,83,78,17,125,125,1,8,13,0,58,58,3
大仙市(中仙地域を除く)_美郷町管内,2020(令和2）,200,201,20,59,65,11,91,88,4,12,11,1,38,37,4
大仙市(中仙地域を除く)_美郷町管内,2021(令和3）,192,197,15,51,53,9,90,93,1,14,11,4,37,40,1
