都道府県又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_ｶﾅ,名称_英語,住所,説明
5212,1,秋田県,大仙市,大曲ファミリースキー場,オオマガリファミリースキージョウ,,秋田県大仙市内小友字中沢176-25,最大斜度25度、全長550ｍの緩やかなスロープが広がる初心者向けのスキー場。４色に光るカラーライトの中で夜９時までナイタースキーを楽しむことができます。スキー教室や様々なイベントを開催。
5212,2,秋田県,大仙市,花火伝統文化継承資料館「はなび・アム」,ハナビデントウブンカケイショウシリョウカン「ハナビ・アム」,"HANABI Tradition and Culture Preservation Museum""HANABI-UM""",秋田県大仙市大曲大町7-19,「花火のまち」を象徴する施設として平成30年（2018年）8月5日にオープンしました。3階では様々な花火資料や、影絵作家・藤城清治氏の作品「大曲の花火」（レプリカ）をご覧いただけます。4階では花火の歴史等が掲載されたパネルや、花火映像を4面マルチスクリーンに映す「はなびシアター」、作成した花火をスクリーンで打ち上げ体験できる「はなび創作工房」等があります。
5212,3,秋田県,大仙市,かみおか温泉　嶽の湯,カミオカオンセン　ダケノユ,Kamioka Onsen Dake no Yu,秋田県大仙市神宮寺字下川原前開86-1,青い空と緑のコントラストが美しく開放感溢れる自然の中で、露天風呂や寝湯など、のんびりとした湯を楽しめます。
5212,4,秋田県,大仙市,道の駅かみおか「茶屋っこ一里塚」,ミチノエキカミオカ「チャヤッコイチリヅカ」,"Kamioka Roadside Rest Area ""Chayakko Ichi""",秋田県大仙市北楢岡字船戸187,国道13号沿いにあるドライバーのくつろぎ空間。道路情報コーナーや休息室、トイレのほかにレストラン、展示ギャラリー、物産館などの旅の楽しさを広げる施設も人気を集め、にぎやかなふれあいの場となっています。名前の由来となる一里塚は、今でもなお道の両側にその形をとどめており、県指定史跡となっています。
5212,5,秋田県,大仙市,福乃友（福乃友酒造）,フクノトモ（フクノトモシュゾウ）,Fukunotomo,秋田県大仙市神宮寺字本郷野82-6,酒銘は当時の当主・福田氏と、杜氏の高橋友五郎の名前から一字ずつ取って「福乃友」と命名されました。「雄物川」の近くに位置し、軟水の地下水に恵まれ、地酒「福乃友」の蔵として地域の人々に愛飲されています。低温長期醗酵の昔ながらの伝統的醸造法により、一本一本じっくりとお酒を仕込んでいます。
5212,6,秋田県,大仙市,刈穂酒造,カリホシュゾウ,Kariho Sake Brewery,秋田県大仙市神宮寺字神宮寺275,大正2年（1913年）、神宮寺酒造として創業しました。百人一首の最初の歌としても知られている天智天皇の詠んだ「秋の田のかりほの庵のとまをあらみわが衣手は露にぬれつつ」という歌に由来しております。伝統的な山廃仕込みによる味わいのある辛口純米酒と、清冽な香味を持つ吟醸酒が特長で、全ての酒を昔ながらの酒槽（さかふね）で丁寧にしぼる、日本でも稀有な酒蔵です。
5212,7,秋田県,大仙市,西仙北ぬく森温泉　ユメリア,ニシセンボクヌクモリオンセン　ユメリア,Nishisemboku Nukumori-Onsen Yumeria,秋田県大仙市刈和野字山北ノ沢5番地の4,和風浴室と洋風浴室があり、一日ごとに男湯と女湯が入れ替わります。和風浴室は、自然石を生かした露店岩風呂を楽しめ、洋風浴室は露店ジャグジー風呂から鳥海山を展望できます。
5212,8,秋田県,大仙市,秀よし（鈴木酒造）,ヒデヨシ（スズキシュゾウ）,Hideyoshi,秋田県大仙市長野字二日町9,中仙地域は昔から豊富な湧き水を利用した酒造りが盛んでした。中でも、銘柄「秀よし」は、秋田佐竹藩のご用命を受けて造られた伝統ある逸品。豊かな泉と良質な米がもたらす味は、歴史が息づく酒造から一滴一滴命を吹き込まれて醸し出されます。※当酒蔵の主だった建造物七棟が、国登録有形文化財に指定
5212,9,秋田県,大仙市,道の駅なかせん「ドンパン節の里」,ミチノエキナカセン「ドンパンブシノサト」,"Nakasen Roadside Rest Area ""Donpan Bushi no sato""",秋田県大仙市長野字高畑95-1,国道105号沿いにある道の駅で、休憩室ではドンパン節の発祥についてビデオ等で紹介しています。こめこめプラザ売店では、杜仲製等の地域特産品を始め秋田県内のお土産品を販売しています。清酒「秀よし」醸造元の鈴木酒造店が経営するレストラン「蔵人（くらんど）」では酒粕や醸造酒を使った酒蔵ならではのメニューをお楽しみいただけます。
5212,10,秋田県,大仙市,協和温泉　四季の湯,キョウワオンセン　シキノユ,Kyowa Onsen Shiki no Yu,秋田県大仙市協和船岡字庄内214番地,四季の湯の温泉は源泉掛け流し。カルシウム・ナトリウム硫酸温泉で肌に優しく、疲労回復等にも効果があります。
