５１　農 業 就 業 人 口 の 推 移,,,,,,,,
,,,,,,,,
,,,,,,,,各年２月１日現在　単位：人 
年次,総数,,,"自営農業
にのみ従事",,"主に自営農業従事
(他産業にも従事)",,"１農家
当たり農業
就業人口"
,,,,,,,,
,計,男,女,男,女,男,女,
昭和50年,"8,994 ","2,823 ","6,171 ","1,848 ","5,327 ",975 ,844 ,1.4 
55,"7,411 ","2,294 ","5,117 ","1,545 ","4,619 ",749 ,498 ,1.2 
60,"6,688 ","2,183 ","4,505 ","1,554 ","4,173 ",629 ,332 ,1.2 
平成２年,"6,414 ","2,178 ","4,236 ","1,752 ","3,985 ",426 ,251 ,1.3 
７,"5,855 ","2,107 ","3,748 ","1,693 ","3,507 ",414 ,241 ,1.3 
12,"4,793 ","1,875 ","2,918 ","1,587 ","2,759 ",288 ,159 ,1.5 
17,"6,512 ","2,916 ","3,596 ",…,…,…,…,1.5 
22,"5,466 ","2,566 ","2,900 ",…,…,…,…,1.6 
27,"3,928 ","1,983 ","1,945 ",…,…,…,…,1.5 
令和２年,…,…,…,…,…,…,…,…
　資料　農林水産省「世界農林業ｾﾝｻｽ・農業ｾﾝｻｽ」、秋田県「秋田県統計書」,,,,,,,,
　　注）　対象は、平成７年までは自給的農家を含めた総農家とし、平成12年から販売農家のみを対象とする。,,,,,,,,
　　　　なお、令和２年から調査していない。,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
