市町村コード,都道府県名,市町村名,年度,4か月健診受診者数（人）,4か月健診受診率（％）,7か月健診受診者数（人）,7か月健診受診率（％）,10か月児検診受診者数（人）,10か月児検診受診率（％）,1歳6か月児健診受診者数（人）,1歳6か月児健診受診率（％）,3歳児健診受診者数（人）,3歳児健診受診率（％）,1歳6か月児歯科健診受診者数（人）,1歳6か月児歯科健診受診率（％）,2歳6か月児歯科健診受診者数（人）,2歳6か月児歯科健診受診率（％）,3歳児歯科健診受診者数（人）,3歳児歯科健診受診率（％）
05212,秋田県,大仙市,2005(平成17),585 ,98.0 ,573 ,96.6 ,543 ,90.0 ,619 ,98.1 ,584 ,97.0 ,619 ,98.1 ,556 ,88.1 ,584 ,97.0 
05212,秋田県,大仙市,2006(平成18）,590 ,99.0 ,566 ,97.4 ,555 ,91.1 ,576 ,97.8 ,592 ,96.9 ,576 ,97.8 ,571 ,92.5 ,592 ,96.9 
05212,秋田県,大仙市,2007(平成19）,643 ,99.2 ,616 ,97.9 ,588 ,93.6 ,590 ,97.5 ,588 ,96.6 ,590 ,97.5 ,571 ,94.7 ,588 ,96.6 
05212,秋田県,大仙市,2008(平成20）,570 ,99.1 ,589 ,99.3 ,561 ,92.4 ,633 ,96.5 ,614 ,97.8 ,633 ,96.5 ,570 ,93.9 ,614 ,97.8 
05212,秋田県,大仙市,2009(平成21）,513 ,97.7 ,521 ,97.4 ,521 ,92.0 ,557 ,95.5 ,527 ,95.6 ,557 ,95.5 ,598 ,89.8 ,527 ,95.6 
05212,秋田県,大仙市,2010(平成22）,554 ,98.8 ,555 ,97.4 ,511 ,94.1 ,517 ,98.9 ,642 ,96.8 ,517 ,98.9 ,542 ,95.6 ,642 ,97.0 
05212,秋田県,大仙市,2011(平成23）,485 ,99.4 ,502 ,99.4 ,506 ,92.2 ,568 ,97.9 ,566 ,97.6 ,571 ,98.0 ,508 ,95.3 ,570 ,98.0 
05212,秋田県,大仙市,2012(平成24）,521 ,99.0 ,527 ,98.5 ,491 ,96.8 ,505 ,99.4 ,530 ,98.1 ,505 ,99.4 ,588 ,95.8 ,530 ,98.1 
05212,秋田県,大仙市,2013(平成25）,516 ,97.9 ,481 ,97.4 ,469 ,92.1 ,541 ,96.4 ,597 ,96.9 ,541 ,96.4 ,504 ,95.8 ,597 ,96.9 
05212,秋田県,大仙市,2014(平成26）,484 ,99.8 ,509 ,98.5 ,508 ,96.0 ,477 ,96.4 ,503 ,97.5 ,476 ,96.2 ,505 ,95.1 ,503 ,97.5 
05212,秋田県,大仙市,2015(平成27）,519 ,99.8 ,511 ,96.6 ,470 ,96.3 ,516 ,99.4 ,531 ,99.3 ,515 ,99.2 ,506 ,98.3 ,530 ,99.1 
05212,秋田県,大仙市,2016(平成28）,468 ,100.0 ,474 ,99.6 ,462 ,94.7 ,508 ,99.8 ,499 ,98.6 ,508 ,99.8 ,475 ,93.1 ,499 ,98.6 
05212,秋田県,大仙市,2017(平成29）,456 ,99.6 ,454 ,99.6 ,434 ,95.0 ,477 ,99.8 ,506 ,98.8 ,477 ,99.8 ,503 ,98.0 ,505 ,98.7 
05212,秋田県,大仙市,2018(平成30）,428 ,99.8 ,436 ,99.5 ,437 ,97.1 ,459 ,99.8 ,503 ,99.6 ,459 ,99.8 ,465 ,98.1 ,503 ,99.6 
05212,秋田県,大仙市,2019(令和1）,331 ,100.0 ,361 ,99.7 ,396 ,95.7 ,416 ,99.0 ,433 ,98.4 ,415 ,98.8 ,422 ,92.3 ,433 ,98.4 
05212,秋田県,大仙市,2020(令和2）,373 ,98.4 ,21 ,95.5 ,44 ,100.0 ,425 ,99.8 ,514 ,99.0 ,421 ,99.1 ,0 ,0.0 ,507 ,98.1 
