,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
平成２８年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"135,230 ","315,383 ",2.33 ,906.09 ,348.1 ,,前 月 分,"135,370 ","315,682 ","148,816 ","166,866 ",,,,,
,,,,,,,増 減 数,-140 ,-299 ,-127 ,-172 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"135,230 ","315,383 ","148,689 ","166,694 ",北部地域,北部地域計,"31,925 ","78,842 ","37,189 ","41,653 ",42011,,,,
,,,,,,,寺      内,"3,812 ","9,084 ","4,493 ","4,591 ",4647,,,,
中央地域,中央地域計,"35,412 ","72,054 ","34,014 ","38,040 ",,外  旭  川,"5,193 ","12,760 ","5,988 ","6,772 ",6779,,,,
,大　    町,"1,565 ","2,830 ","1,261 ","1,569 ",,土崎港中央,"1,896 ","4,600 ","2,077 ","2,523 ",2514,,,,
,旭      北,412 ,672 ,369 ,303 ,,土崎港  東,"1,153 ","2,775 ","1,316 ","1,459 ",1489,,,,
,旭      南,"1,302 ","2,625 ","1,142 ","1,483 ",,土崎港  西,567 ,"1,374 ",668 ,706 ,673,,,,
,川      元,"1,037 ","2,046 ",942 ,"1,104 ",,土崎港  南,"1,183 ","2,792 ","1,291 ","1,501 ",1492,,,,
,川      尻,"2,193 ","5,235 ","2,686 ","2,549 ",,土崎港  北,"2,468 ","5,868 ","2,728 ","3,140 ",3152,,,,
,山   　 王,"3,157 ","5,794 ","2,868 ","2,926 ",,土崎港その他,"1,329 ","3,058 ","1,472 ","1,586 ",1577,,,,
,高      陽,"1,070 ","1,946 ",966 ,980 ,,将軍野  東,"1,525 ","3,598 ","1,681 ","1,917 ",1976,,,,
,保  戸  野,"2,638 ","5,592 ","2,552 ","3,040 ",,将軍野  南,"1,606 ","3,555 ","1,666 ","1,889 ",1898,,,,
,泉,"4,550 ","10,232 ","4,835 ","5,397 ",,将軍野その他,"1,444 ","3,508 ","1,660 ","1,848 ",1871,,,,
,千      秋,"2,369 ","4,430 ","2,118 ","2,312 ",,港      北,543 ,"1,251 ",575 ,676 ,689,,,,
,中      通,"2,221 ","3,976 ","1,794 ","2,182 ",,飯      島,"5,992 ","15,871 ","7,561 ","8,310 ",8302,,,,
,南      通,"2,191 ","3,904 ","1,840 ","2,064 ",,金      足,"1,201 ","3,133 ","1,464 ","1,669 ",1662,,,,
,楢      山,"4,045 ","8,868 ","4,013 ","4,855 ",,下  新  城,"1,644 ","4,470 ","2,063 ","2,407 ",2591,,,,
,茨      島,"2,169 ","4,545 ","2,173 ","2,372 ",,上  新  城,369 ,"1,145 ",486 ,659 ,699,,,,
